Year,Series,Principal Export,Main Country of Destination,Units,Value
2018,Price per unit (vatu per kilogram/litre),Cocoa,ITALY,vatu per kilogram/litre,284
2018,Price per unit (vatu per kilogram/litre),Cocoa,AUSTRALIA,vatu per kilogram/litre,106
2018,Price per unit (vatu per kilogram/litre),Cocoa,NEW ZEALAND,vatu per kilogram/litre,143
2018,Price per unit (vatu per kilogram/litre),Coconut oil,MALAYSIA,vatu per kilogram/litre,109
2018,Price per unit (vatu per kilogram/litre),Coconut oil,NEW ZEALAND,vatu per kilogram/litre,114
2018,Price per unit (vatu per kilogram/litre),Coconut oil,AUSTRALIA,vatu per kilogram/litre,98
2018,Price per unit (vatu per kilogram/litre),Coconut oil,NEW CALEDONIA,vatu per kilogram/litre,312
2018,Price per unit (vatu per kilogram/litre),Coconut oil,FRENCH POLYNESIA,vatu per kilogram/litre,114
2018,Price per unit (vatu per kilogram/litre),Copra,PHILIPPINES,vatu per kilogram/litre,52
2018,Price per unit (vatu per kilogram/litre),Copra,BANGLADESH,vatu per kilogram/litre,80
2018,Price per unit (vatu per kilogram/litre),Copra,AUSTRALIA,vatu per kilogram/litre,75
2018,Price per unit (vatu per kilogram/litre),Kava,UNITED STATES OF AMERICA,vatu per kilogram/litre,2760
2018,Price per unit (vatu per kilogram/litre),Kava,FIJI,vatu per kilogram/litre,3323
2018,Price per unit (vatu per kilogram/litre),Kava,KIRIBATI,vatu per kilogram/litre,3560
2018,Price per unit (vatu per kilogram/litre),Kava,NEW CALEDONIA,vatu per kilogram/litre,2900
2018,Price per unit (vatu per kilogram/litre),Kava,"CHINA, PEOPLES REPUBLIC OF",vatu per kilogram/litre,3191
2018,Price per unit (vatu per kilogram/litre),Wood,HONG KONG,vatu per kilogram/litre,2816
2018,Price per unit (vatu per kilogram/litre),Wood,"CHINA, PEOPLES REPUBLIC OF",vatu per kilogram/litre,1038
2018,Price per unit (vatu per kilogram/litre),Wood,VIET NAM,vatu per kilogram/litre,2791
2018,Price per unit (vatu per kilogram/litre),Wood,NEW CALEDONIA,vatu per kilogram/litre,221
2018,Price per unit (vatu per kilogram/litre),Wood,FIJI,vatu per kilogram/litre,5331
2019,Price per unit (vatu per kilogram/litre),,,vatu per kilogram/litre,280
2019,Price per unit (vatu per kilogram/litre),Beef,,vatu per kilogram/litre,564
2019,Price per unit (vatu per kilogram/litre),Cocoa,,vatu per kilogram/litre,158
2019,Price per unit (vatu per kilogram/litre),Coconut oil,,vatu per kilogram/litre,81
2019,Price per unit (vatu per kilogram/litre),Copra,,vatu per kilogram/litre,36
2019,Price per unit (vatu per kilogram/litre),Kava,,vatu per kilogram/litre,3395
2019,Price per unit (vatu per kilogram/litre),Wood,,vatu per kilogram/litre,177
2019,Price per unit (vatu per kilogram/litre),Beef,AUSTRALIA,vatu per kilogram/litre,556
2019,Price per unit (vatu per kilogram/litre),Beef,JAPAN,vatu per kilogram/litre,562
2019,Price per unit (vatu per kilogram/litre),Beef,SOLOMON ISLANDS,vatu per kilogram/litre,614
2019,Price per unit (vatu per kilogram/litre),Cocoa,MALAYSIA,vatu per kilogram/litre,156
2019,Price per unit (vatu per kilogram/litre),Cocoa,INDONESIA,vatu per kilogram/litre,126
2019,Price per unit (vatu per kilogram/litre),Cocoa,AUSTRALIA,vatu per kilogram/litre,275
2019,Price per unit (vatu per kilogram/litre),Cocoa,NEW ZEALAND,vatu per kilogram/litre,300
2019,Price per unit (vatu per kilogram/litre),Cocoa,UNITED KINGDOM,vatu per kilogram/litre,189
2019,Price per unit (vatu per kilogram/litre),Ccoconut oil,MALAYSIA,vatu per kilogram/litre,78
2019,Price per unit (vatu per kilogram/litre),Ccoconut oil,BANGLADESH,vatu per kilogram/litre,80
2019,Price per unit (vatu per kilogram/litre),Ccoconut oil,INDIA,vatu per kilogram/litre,84
2019,Price per unit (vatu per kilogram/litre),Ccoconut oil,SINGAPORE,vatu per kilogram/litre,113
2019,Price per unit (vatu per kilogram/litre),Ccoconut oil,NEW ZEALAND,vatu per kilogram/litre,114
2019,Price per unit (vatu per kilogram/litre),Copra,PHILIPPINES,vatu per kilogram/litre,34
2019,Price per unit (vatu per kilogram/litre),Copra,BANGLADESH,vatu per kilogram/litre,58
2019,Price per unit (vatu per kilogram/litre),Copra,AUSTRALIA,vatu per kilogram/litre,1167
2019,Price per unit (vatu per kilogram/litre),Kava,FIJI,vatu per kilogram/litre,3180
2019,Price per unit (vatu per kilogram/litre),Kava,KIRIBATI,vatu per kilogram/litre,3810
2019,Price per unit (vatu per kilogram/litre),Kava,NEW CALEDONIA,vatu per kilogram/litre,3063
2019,Price per unit (vatu per kilogram/litre),Kava,UNITED STATES OF AMERICA,vatu per kilogram/litre,3457
2019,Price per unit (vatu per kilogram/litre),Kava,"CHINA, PEOPLES REPUBLIC OF",vatu per kilogram/litre,3752
2019,Price per unit (vatu per kilogram/litre),Wood,"CHINA, PEOPLES REPUBLIC OF",vatu per kilogram/litre,138
2019,Price per unit (vatu per kilogram/litre),Wood,VIET NAM,vatu per kilogram/litre,4588
2019,Price per unit (vatu per kilogram/litre),Wood,NEW CALEDONIA,vatu per kilogram/litre,212
2019,Price per unit (vatu per kilogram/litre),Wood,AUSTRALIA,vatu per kilogram/litre,2346
2019,Price per unit (vatu per kilogram/litre),Wood,FRANCE,vatu per kilogram/litre,22924
2020,Price per unit (vatu per kilogram/litre),,,vatu per kilogram/litre,84
2020,Price per unit (vatu per kilogram/litre),Beef,,vatu per kilogram/litre,543
2020,Price per unit (vatu per kilogram/litre),Cocoa,,vatu per kilogram/litre,8
2020,Price per unit (vatu per kilogram/litre),Coconut Oil,,vatu per kilogram/litre,115
2020,Price per unit (vatu per kilogram/litre),Copra,,vatu per kilogram/litre,143
2020,Price per unit (vatu per kilogram/litre),Kava,,vatu per kilogram/litre,3354
2020,Price per unit (vatu per kilogram/litre),Wood,,vatu per kilogram/litre,1200
2020,Price per unit (vatu per kilogram/litre),Beef,JAPAN,vatu per kilogram/litre,567
2020,Price per unit (vatu per kilogram/litre),Beef,AUSTRALIA,vatu per kilogram/litre,518
2020,Price per unit (vatu per kilogram/litre),Beef,SOLOMON ISLANDS,vatu per kilogram/litre,561
2020,Price per unit (vatu per kilogram/litre),Cocoa,MALAYSIA,vatu per kilogram/litre,194
2020,Price per unit (vatu per kilogram/litre),Cocoa,INDONESIA,vatu per kilogram/litre,156
2020,Price per unit (vatu per kilogram/litre),Cocoa,ITALY,vatu per kilogram/litre,194
2020,Price per unit (vatu per kilogram/litre),Cocoa,NEW ZEALAND,vatu per kilogram/litre,847
2020,Price per unit (vatu per kilogram/litre),Cocoa,AUSTRALIA,vatu per kilogram/litre,291
2020,Price per unit (vatu per kilogram/litre),Coconut oil,SRI LANKA,vatu per kilogram/litre,101
2020,Price per unit (vatu per kilogram/litre),Coconut oil,MALAYSIA,vatu per kilogram/litre,83
2020,Price per unit (vatu per kilogram/litre),Coconut oil,AUSTRALIA,vatu per kilogram/litre,109
2020,Price per unit (vatu per kilogram/litre),Coconut oil,NETHERLANDS,vatu per kilogram/litre,128
2020,Price per unit (vatu per kilogram/litre),Coconut oil,SINGAPORE,vatu per kilogram/litre,68
2020,Price per unit (vatu per kilogram/litre),Copra,PHILIPPINES,vatu per kilogram/litre,41
2020,Price per unit (vatu per kilogram/litre),Copra,BANGLADESH,vatu per kilogram/litre,61
2020,Price per unit (vatu per kilogram/litre),Kava,FIJI,vatu per kilogram/litre,2581
2020,Price per unit (vatu per kilogram/litre),Kava,NEW CALEDONIA,vatu per kilogram/litre,3090
2020,Price per unit (vatu per kilogram/litre),Kava,KIRIBATI,vatu per kilogram/litre,4352
2020,Price per unit (vatu per kilogram/litre),Kava,UNITED STATES OF AMERICA,vatu per kilogram/litre,7328
2020,Price per unit (vatu per kilogram/litre),Kava,"CHINA, PEOPLES REPUBLIC OF",vatu per kilogram/litre,2385
2020,Price per unit (vatu per kilogram/litre),Wood,NEW CALEDONIA,vatu per kilogram/litre,81
2020,Price per unit (vatu per kilogram/litre),Wood,"CHINA, PEOPLES REPUBLIC OF",vatu per kilogram/litre,77
2020,Price per unit (vatu per kilogram/litre),Wood,CZECH REPUBLIC,vatu per kilogram/litre,10
2020,Price per unit (vatu per kilogram/litre),Wood,AUSTRALIA,vatu per kilogram/litre,608
2020,Price per unit (vatu per kilogram/litre),Wood,FIJI,vatu per kilogram/litre,111
2021,Price per unit (vatu per kilogram/litre),,,vatu per kilogram/litre,84
2021,Price per unit (vatu per kilogram/litre),Beef,,vatu per kilogram/litre,543
2021,Price per unit (vatu per kilogram/litre),Cocoa,,vatu per kilogram/litre,8
2021,Price per unit (vatu per kilogram/litre),Coconut Oil,,vatu per kilogram/litre,115
2021,Price per unit (vatu per kilogram/litre),Copra,,vatu per kilogram/litre,143
2021,Price per unit (vatu per kilogram/litre),Kava,,vatu per kilogram/litre,3354
2021,Price per unit (vatu per kilogram/litre),Wood,,vatu per kilogram/litre,1200
2021,Price per unit (vatu per kilogram/litre),Beef,JAPAN,vatu per kilogram/litre,480
2021,Price per unit (vatu per kilogram/litre),Beef,NEW ZEALAND,vatu per kilogram/litre,566
2021,Price per unit (vatu per kilogram/litre),Beef,PAPUA NEW GUINEA,vatu per kilogram/litre,520
2021,Price per unit (vatu per kilogram/litre),Beef,SOLOMON ISLANDS,vatu per kilogram/litre,597
2021,Price per unit (vatu per kilogram/litre),Cocoa,MALAYSIA,vatu per kilogram/litre,199
2021,Price per unit (vatu per kilogram/litre),Cocoa,INDONESIA,vatu per kilogram/litre,3
2021,Price per unit (vatu per kilogram/litre),Cocoa,NEW CALEDONIA,vatu per kilogram/litre,194
2021,Price per unit (vatu per kilogram/litre),Cocoa,AUSTRALIA,vatu per kilogram/litre,228
2021,Price per unit (vatu per kilogram/litre),Cocoa,FRENCH POLYNESIA,vatu per kilogram/litre,524
2021,Price per unit (vatu per kilogram/litre),Coconut oil,MALAYSIA,vatu per kilogram/litre,109
2021,Price per unit (vatu per kilogram/litre),Coconut oil,SRI LANKA,vatu per kilogram/litre,103
2021,Price per unit (vatu per kilogram/litre),Coconut oil,SINGAPORE,vatu per kilogram/litre,134
2021,Price per unit (vatu per kilogram/litre),Coconut oil,FIJI,vatu per kilogram/litre,140
2021,Price per unit (vatu per kilogram/litre),Coconut oil,AUSTRALIA,vatu per kilogram/litre,134
2021,Price per unit (vatu per kilogram/litre),Copra,PHILIPPINES,vatu per kilogram/litre,160
2021,Price per unit (vatu per kilogram/litre),Copra,BANGLADESH,vatu per kilogram/litre,94
2021,Price per unit (vatu per kilogram/litre),Copra,UNITED ARAB EMIRATES,vatu per kilogram/litre,101
2021,Price per unit (vatu per kilogram/litre),Copra,MALAYSIA,vatu per kilogram/litre,70
2021,Price per unit (vatu per kilogram/litre),Kava,FIJI,vatu per kilogram/litre,2341
2021,Price per unit (vatu per kilogram/litre),Kava,KIRIBATI,vatu per kilogram/litre,5122
2021,Price per unit (vatu per kilogram/litre),Kava,UNITED STATES OF AMERICA,vatu per kilogram/litre,5456
2021,Price per unit (vatu per kilogram/litre),Kava,NEW CALEDONIA,vatu per kilogram/litre,2654
2021,Price per unit (vatu per kilogram/litre),Kava,"CHINA, PEOPLES REPUBLIC OF",vatu per kilogram/litre,2689
2021,Price per unit (vatu per kilogram/litre),Wood,"CHINA, PEOPLES REPUBLIC OF",vatu per kilogram/litre,1329
2021,Price per unit (vatu per kilogram/litre),Wood,HONG KONG,vatu per kilogram/litre,3266
2021,Price per unit (vatu per kilogram/litre),Wood,AUSTRALIA,vatu per kilogram/litre,102
2021,Price per unit (vatu per kilogram/litre),Wood,NEW CALEDONIA,vatu per kilogram/litre,93
