Year,Series,Major Industry,Value
2017,Total value in VT (millions),Human health and social work activities,             187 
2017,Total value in VT (millions),Information and communication,"          6,038 "
2017,Total value in VT (millions),Manufacturing,"          4,577 "
2017,Total value in VT (millions),Mining and quarrying,             723 
2017,Total value in VT (millions),Other service activities,               30 
2017,Total value in VT (millions),"Professional, scientific and technical activities","          1,437 "
2017,Total value in VT (millions),Public administration and defence; compulsory social security,"        18,076 "
2017,Total value in VT (millions),Real estate activities,"          1,015 "
2017,Total value in VT (millions),Transportation and storage,"          7,469 "
2017,Total value in VT (millions),"Water supply; sewerage, waste management and remediation activities",             108 
2017,Total value in VT (millions),Wholesale and retail trade; repair of motor vehicles and motorcycles,"        51,118 "
2017,Total value in VT (millions),Not available,"      206,708 "
2017,Proportion of industry (percentage),Accommodation and food service activities,                 2 
2017,Proportion of industry (percentage),Administrative and support service activities,                 1 
2017,Proportion of industry (percentage),"Agriculture, forestry and fishing",                 0 
2017,Proportion of industry (percentage),"Arts, entertainment and recreation",                 0 
2017,Proportion of industry (percentage),Construction,                 1 
2017,Proportion of industry (percentage),Education,                 0 
2017,Proportion of industry (percentage),"Electricity, gas, steam and air conditioning supply",                 1 
2017,Proportion of industry (percentage),Financial and insurance activities,                 1 
2017,Proportion of industry (percentage),Human health and social work activities,                 0 
2017,Proportion of industry (percentage),Information and communication,                 2 
2017,Proportion of industry (percentage),Manufacturing,                 1 
2017,Proportion of industry (percentage),Mining and quarrying,                 0 
2017,Proportion of industry (percentage),Other service activities,                 0 
2017,Proportion of industry (percentage),"Professional, scientific and technical activities",                 0 
2017,Proportion of industry (percentage),Public administration and defence; compulsory social security,                 6 
2017,Proportion of industry (percentage),Real estate activities,                 0 
2017,Proportion of industry (percentage),Transportation and storage,                 2 
2017,Proportion of industry (percentage),"Water supply; sewerage, waste management and remediation activities",                 0 
2017,Proportion of industry (percentage),Wholesale and retail trade; repair of motor vehicles and motorcycles,               16 
2017,Proportion of industry (percentage),Not available,               65 
2018,Total value in VT (millions),,"      336,438 "
2018,Total value in VT (millions),Accommodation and food service activities,"          6,246 "
2018,Total value in VT (millions),Administrative and support service activities,"          4,332 "
2018,Total value in VT (millions),"Agriculture, forestry and fishing","          1,286 "
2018,Total value in VT (millions),"Arts, entertainment and recreation",             426 
2018,Total value in VT (millions),Construction,"          3,547 "
2018,Total value in VT (millions),Education,               15 
2018,Total value in VT (millions),"Electricity, gas, steam and air conditioning supply","          4,138 "
2018,Total value in VT (millions),Financial and insurance activities,"          1,821 "
2018,Total value in VT (millions),Human health and social work activities,             194 
2018,Total value in VT (millions),Information and communication,"          6,123 "
2018,Total value in VT (millions),Manufacturing,"          4,441 "
2018,Total value in VT (millions),Mining and quarrying,             713 
2018,Total value in VT (millions),Other service activities,               23 
2018,Total value in VT (millions),"Professional, scientific and technical activities","          1,171 "
2018,Total value in VT (millions),Public administration and defence; compulsory social security,"        21,218 "
2018,Total value in VT (millions),Real estate activities,             971 
2018,Total value in VT (millions),Transportation and storage,"          6,827 "
2018,Total value in VT (millions),"Water supply; sewerage, waste management and remediation activities",             119 
2018,Total value in VT (millions),Wholesale and retail trade; repair of motor vehicles and motorcycles,"        41,365 "
2018,Total value in VT (millions),Not available,"      231,463 "
2018,Proportion of industry (percentage),Accommodation and food service activities,                 2 
