Year,Series,Commodity,Country,Value,
2017,Price per unit (vatu per kilogram/litre),Wood,Hong Kong,3471,
2017,Price per unit (vatu per kilogram/litre),Wood,Australia,4059,
2017,Price per unit (vatu per kilogram/litre),Wood,New Caledonia,1982,
2018,Price per unit (vatu per kilogram/litre),Beef,,492,
2018,Price per unit (vatu per kilogram/litre),Cocoa,,182,
2018,Price per unit (vatu per kilogram/litre),Coconut oil,,110,
2018,Price per unit (vatu per kilogram/litre),Copra,,61,
2018,Price per unit (vatu per kilogram/litre),Kava,,3098,
2018,Price per unit (vatu per kilogram/litre),Wood,,1367,
2018,Price per unit (vatu per kilogram/litre),Beef,Japan,474,
2018,Price per unit (vatu per kilogram/litre),Beef,Solomon Islands,485,
2018,Price per unit (vatu per kilogram/litre),Beef,Papua New Guinea,552,
2018,Price per unit (vatu per kilogram/litre),Beef,Australia,552,
2018,Price per unit (vatu per kilogram/litre),Cocoa,Malaysia,186,
2018,Price per unit (vatu per kilogram/litre),Cocoa,Indonesia,155,
2018,Price per unit (vatu per kilogram/litre),Cocoa,Italy,284,
2018,Price per unit (vatu per kilogram/litre),Cocoa,Australia,106,
2018,Price per unit (vatu per kilogram/litre),Cocoa,New Zealand,143,
2018,Price per unit (vatu per kilogram/litre),Coconut oil,Malaysia,109,
2018,Price per unit (vatu per kilogram/litre),Coconut oil,New Zealand,114,
2018,Price per unit (vatu per kilogram/litre),Coconut oil,Australia,98,
2018,Price per unit (vatu per kilogram/litre),Coconut oil,New Caledonia,312,
2018,Price per unit (vatu per kilogram/litre),Copra,Philippines,52,
2018,Price per unit (vatu per kilogram/litre),Copra,Bangladesh,80,
2018,Price per unit (vatu per kilogram/litre),Kava,United States of America,2760,
2018,Price per unit (vatu per kilogram/litre),Kava,Fiji,3323,
2018,Price per unit (vatu per kilogram/litre),Kava,Kiribati,3560,
2018,Price per unit (vatu per kilogram/litre),Kava,New Caledonia,2900,
2018,Price per unit (vatu per kilogram/litre),Kava,China,3191,
2018,Price per unit (vatu per kilogram/litre),Wood,Hong Kong,2816,
2018,Price per unit (vatu per kilogram/litre),Wood,China,1038,
2018,Price per unit (vatu per kilogram/litre),Wood,Vietnam,2791,
2018,Price per unit (vatu per kilogram/litre),Wood,New Caledonia,221,
2019,Price per unit (vatu per kilogram/litre),Beef,,564,
2019,Price per unit (vatu per kilogram/litre),Cocoa,,158,
2019,Price per unit (vatu per kilogram/litre),Coconut oil,,81,
2019,Price per unit (vatu per kilogram/litre),Copra,,36,
2019,Price per unit (vatu per kilogram/litre),Kava,,3395,
2019,Price per unit (vatu per kilogram/litre),Wood,,177,
2019,Price per unit (vatu per kilogram/litre),Beef,Australia,556,
2019,Price per unit (vatu per kilogram/litre),Beef,Japan,562,
2019,Price per unit (vatu per kilogram/litre),Beef,Solomon Islands,614,
2019,Price per unit (vatu per kilogram/litre),Cocoa,Malaysia,156,
2019,Price per unit (vatu per kilogram/litre),Cocoa,Indonesia,126,
2019,Price per unit (vatu per kilogram/litre),Cocoa,Australia,275,
2019,Price per unit (vatu per kilogram/litre),Cocoa,New Zealand,300,
2019,Price per unit (vatu per kilogram/litre),Cocoa,United Kingdom,189,
2019,Price per unit (vatu per kilogram/litre),Coconut oil,Malaysia,78,
2019,Price per unit (vatu per kilogram/litre),Coconut oil,Bangladesh,80,
2019,Price per unit (vatu per kilogram/litre),Coconut oil,India,84,
2019,Price per unit (vatu per kilogram/litre),Coconut oil,Singapore,113,
2019,Price per unit (vatu per kilogram/litre),Coconut oil,New Zealand,114,
2019,Price per unit (vatu per kilogram/litre),Copra,Philippines,34,
2019,Price per unit (vatu per kilogram/litre),Copra,Bangladesh,58,
2019,Price per unit (vatu per kilogram/litre),Kava,Fiji,3180,
2019,Price per unit (vatu per kilogram/litre),Kava,Kiribati,3810,
2019,Price per unit (vatu per kilogram/litre),Kava,New Caledonia,3063,
2019,Price per unit (vatu per kilogram/litre),Kava,United States of America,3457,
2019,Price per unit (vatu per kilogram/litre),Kava,China,3752,
2019,Price per unit (vatu per kilogram/litre),Wood,China,138,
2019,Price per unit (vatu per kilogram/litre),Wood,Vietnam,4588,
2019,Price per unit (vatu per kilogram/litre),Wood,New Caledonia,212,
2019,Price per unit (vatu per kilogram/litre),Wood,Australia,2346,
2020,Price per unit (vatu per kilogram/litre),Beef,,552,
2020,Price per unit (vatu per kilogram/litre),Cocoa,,192,
2020,Price per unit (vatu per kilogram/litre),Coconut oil,,96,
2020,Price per unit (vatu per kilogram/litre),Copra,,43,
2020,Price per unit (vatu per kilogram/litre),Kava,,3412,
2020,Price per unit (vatu per kilogram/litre),Wood,,87,
2020,Price per unit (vatu per kilogram/litre),Beef,Japan,567,
2020,Price per unit (vatu per kilogram/litre),Beef,Australia,518,
2020,Price per unit (vatu per kilogram/litre),Beef,Solomon Islands,561,
2020,Price per unit (vatu per kilogram/litre),Cocoa,Malaysia,194,
2020,Price per unit (vatu per kilogram/litre),Cocoa,Indonesia,156,
2020,Price per unit (vatu per kilogram/litre),Cocoa,Italy,194,
2020,Price per unit (vatu per kilogram/litre),Cocoa,New Zealand,847,
2020,Price per unit (vatu per kilogram/litre),Cocoa,Australia,291,
2020,Price per unit (vatu per kilogram/litre),Coconut oil,Sri Lanka,101,
2020,Price per unit (vatu per kilogram/litre),Coconut oil,Malaysia,83,
2020,Price per unit (vatu per kilogram/litre),Coconut oil,Australia,109,
2020,Price per unit (vatu per kilogram/litre),Coconut oil,Netherlands,128,
2020,Price per unit (vatu per kilogram/litre),Coconut oil,Singapore,68,
2020,Price per unit (vatu per kilogram/litre),Copra,Philippines,41,
2020,Price per unit (vatu per kilogram/litre),Copra,Bangladesh,61,
2020,Price per unit (vatu per kilogram/litre),Kava,Fiji,2581,
2020,Price per unit (vatu per kilogram/litre),Kava,New Caledonia,3090,
2020,Price per unit (vatu per kilogram/litre),Kava,Kiribati,4352,
2020,Price per unit (vatu per kilogram/litre),Kava,United States of America,7328,
2020,Price per unit (vatu per kilogram/litre),Kava,China,2385,
2020,Price per unit (vatu per kilogram/litre),Wood,New Caledonia,81,
2020,Price per unit (vatu per kilogram/litre),Wood,China,77,
2020,Price per unit (vatu per kilogram/litre),Wood,Australia,608,
2021,Price per unit (vatu per kilogram/litre),Beef,,543,
2021,Price per unit (vatu per kilogram/litre),Cocoa,,8,
2021,Price per unit (vatu per kilogram/litre),Coconut oil,,115,
2021,Price per unit (vatu per kilogram/litre),Copra,,143,
2021,Price per unit (vatu per kilogram/litre),Kava,,3354,
2021,Price per unit (vatu per kilogram/litre),Wood,,1200,
2021,Price per unit (vatu per kilogram/litre),Beef,Japan,480,
2021,Price per unit (vatu per kilogram/litre),Beef,New Zealand,566,
2021,Price per unit (vatu per kilogram/litre),Beef,Papua New Guinea,520,
2021,Price per unit (vatu per kilogram/litre),Beef,Solomon Islands,597,
2021,Price per unit (vatu per kilogram/litre),Cocoa,Malaysia,199,
2021,Price per unit (vatu per kilogram/litre),Cocoa,Indonesia,3,
2021,Price per unit (vatu per kilogram/litre),Cocoa,New Caledonia,194,
2021,Price per unit (vatu per kilogram/litre),Cocoa,Australia,228,
2021,Price per unit (vatu per kilogram/litre),Cocoa,French Polynesia,524,
2021,Price per unit (vatu per kilogram/litre),Coconut oil,Malaysia,109,
2021,Price per unit (vatu per kilogram/litre),Coconut oil,Sri Lanka,103,
2021,Price per unit (vatu per kilogram/litre),Coconut oil,Singapore,134,
2021,Price per unit (vatu per kilogram/litre),Coconut oil,Fiji,140,
2021,Price per unit (vatu per kilogram/litre),Coconut oil,Australia,134,
2021,Price per unit (vatu per kilogram/litre),Copra,Philippines,160,
2021,Price per unit (vatu per kilogram/litre),Copra,Bangladesh,94,
2021,Price per unit (vatu per kilogram/litre),Copra,United Arab Emirates,101,
2021,Price per unit (vatu per kilogram/litre),Copra,Malaysia,70,
2021,Price per unit (vatu per kilogram/litre),Kava,Fiji,2341,
2021,Price per unit (vatu per kilogram/litre),Kava,Kiribati,5122,
2021,Price per unit (vatu per kilogram/litre),Kava,United States of America,5456,
2021,Price per unit (vatu per kilogram/litre),Kava,New Caledonia,2654,
2021,Price per unit (vatu per kilogram/litre),Kava,China,2689,
2021,Price per unit (vatu per kilogram/litre),Wood,China,1329,
2021,Price per unit (vatu per kilogram/litre),Wood,Hong Kong,3266,
2021,Price per unit (vatu per kilogram/litre),Wood,Australia,102,
2021,Price per unit (vatu per kilogram/litre),Wood,New Caledonia,93,
2022,Price per unit (vatu per kilogram/litre),Beef,,606,
2022,Price per unit (vatu per kilogram/litre),Cocoa,,197,
2022,Price per unit (vatu per kilogram/litre),Coconut oil,,253,
2022,Price per unit (vatu per kilogram/litre),Copra,,129,
2022,Price per unit (vatu per kilogram/litre),Kava,,3558,
2022,Price per unit (vatu per kilogram/litre),Wood,,1388,
2022,Price per unit (vatu per kilogram/litre),Beef,New Zealand,613,
2022,Price per unit (vatu per kilogram/litre),Beef,Papua New Guinea,596,
2022,Price per unit (vatu per kilogram/litre),Beef,Solomon Islands,650,
2022,Price per unit (vatu per kilogram/litre),Cocoa,Malaysia,196,
2022,Price per unit (vatu per kilogram/litre),Coconut Oil,Australia,146,
2022,Price per unit (vatu per kilogram/litre),Coconut Oil,Fiji,111,
2022,Price per unit (vatu per kilogram/litre),Coconut Oil,Malaysia,220,
2022,Price per unit (vatu per kilogram/litre),Coconut Oil,Philippines,353,
2022,Price per unit (vatu per kilogram/litre),Coconut Oil,Singapore,143,
2022,Price per unit (vatu per kilogram/litre),Copra,Bangladesh,107,
2022,Price per unit (vatu per kilogram/litre),Copra,Malaysia,99,
2022,Price per unit (vatu per kilogram/litre),Copra,Philippines,135,
2022,Price per unit (vatu per kilogram/litre),Kava,China,2003,
2022,Price per unit (vatu per kilogram/litre),Kava,Fiji,2476,
2022,Price per unit (vatu per kilogram/litre),Kava,Kiribati,5658,
2022,Price per unit (vatu per kilogram/litre),Kava,New Caledonia,2549,
2022,Price per unit (vatu per kilogram/litre),Kava,United States of America,5411,
2022,Price per unit (vatu per kilogram/litre),Wood,China,1432,
2022,Price per unit (vatu per kilogram/litre),Wood,Hong Kong,2330,
2022,Price per unit (vatu per kilogram/litre),Wood,New Caledonia,155,
2023,Price per unit (vatu per kilogram/litre),Beef,,658,
2023,Price per unit (vatu per kilogram/litre),Cocoa,,329,
2023,Price per unit (vatu per kilogram/litre),Coconut Oil,,100,
2023,Price per unit (vatu per kilogram/litre),Copra,,51,
2023,Price per unit (vatu per kilogram/litre),Kava,,4123,
2023,Price per unit (vatu per kilogram/litre),Wood,,260,
2023,Price per unit (vatu per kilogram/litre),Beef,Papua New Guinea,646,
2023,Price per unit (vatu per kilogram/litre),Beef,Solomon Islands,744,
2023,Price per unit (vatu per kilogram/litre),Cocoa,Indonesia,315,
2023,Price per unit (vatu per kilogram/litre),Cocoa,Malaysia,338,
2023,Price per unit (vatu per kilogram/litre),Cocoa,New Caledonia,288,
2023,Price per unit (vatu per kilogram/litre),Coconut Oil,Australia,191,
2023,Price per unit (vatu per kilogram/litre),Coconut Oil,Malaysia,90,
2023,Price per unit (vatu per kilogram/litre),Coconut Oil,Singapore,81,
2023,Price per unit (vatu per kilogram/litre),Coconut Oil,Taiwan,107,
2023,Price per unit (vatu per kilogram/litre),Copra,Bangladesh,82,
2023,Price per unit (vatu per kilogram/litre),Copra,Malaysia,75,
2023,Price per unit (vatu per kilogram/litre),Copra,Philippines,49,
2023,Price per unit (vatu per kilogram/litre),Kava,China,2839,
2023,Price per unit (vatu per kilogram/litre),Kava,Fiji,2489,
2023,Price per unit (vatu per kilogram/litre),Kava,Kiribati,6087,
2023,Price per unit (vatu per kilogram/litre),Kava,New Caledonia,2452,
2023,Price per unit (vatu per kilogram/litre),Kava,United States of America,6618,
2023,Price per unit (vatu per kilogram/litre),Wood,China,259,
2024,Price per unit (vatu per kilogram/litre),Beef,,115,
2024,Price per unit (vatu per kilogram/litre),Cocoa,,14,
2024,Price per unit (vatu per kilogram/litre),Coconut oil,,34,
2024,Price per unit (vatu per kilogram/litre),Copra,,9,
2024,Price per unit (vatu per kilogram/litre),Kava,,1338,
2024,Price per unit (vatu per kilogram/litre),Wood,,51,
2024,Price per unit (vatu per kilogram/litre),Beef,Papua New Guinea,76,
2024,Price per unit (vatu per kilogram/litre),Beef,Solomon Islands,171,
2024,Price per unit (vatu per kilogram/litre),Beef,Australia,223,
2024,Price per unit (vatu per kilogram/litre),Cocoa,Malaysia,143,
2024,Price per unit (vatu per kilogram/litre),Cocoa,Indonesia,4,
2024,Price per unit (vatu per kilogram/litre),Cocoa,India,694,
2024,Price per unit (vatu per kilogram/litre),Cocoa,New Caledonia,37,
2024,Price per unit (vatu per kilogram/litre),Cocoa,United States of America,3523,
2024,Price per unit (vatu per kilogram/litre),Coconut Oil,Malaysia,31,
2024,Price per unit (vatu per kilogram/litre),Coconut Oil,Singapore,36,
2024,Price per unit (vatu per kilogram/litre),Coconut Oil,Taiwan,42,
2024,Price per unit (vatu per kilogram/litre),Coconut Oil,Australia,29,
2024,Price per unit (vatu per kilogram/litre),Copra,Philippines,9,
2024,Price per unit (vatu per kilogram/litre),Kava,Kiribati,2087,
2024,Price per unit (vatu per kilogram/litre),Kava,United States of America,2510,
2024,Price per unit (vatu per kilogram/litre),Kava,China,1002,
2024,Price per unit (vatu per kilogram/litre),Kava,Fiji,727,
2024,Price per unit (vatu per kilogram/litre),Kava,New Caledonia,706,
2024,Price per unit (vatu per kilogram/litre),Wood,China,50,
2024,Price per unit (vatu per kilogram/litre),Wood,Hong Kong,128,
