Year,Major Industry,Minor Industry,Value
2015,Manufacturing,Manufacture of refined petroleum products,
2015,Manufacturing,Manufacture of rubber products,2
2015,Manufacturing,Manufacture of sports goods,
2015,Manufacturing,"Manufacture of structural metal products, tanks, reservoirs and steam generators",6
2015,Manufacturing,Manufacture of vegetable and animal oils and fats,7
2015,Manufacturing,"Manufacture of wearing apparel, except fur apparel",12
2015,Human health and social work activities,Medical and dental practice activities,17
2015,Mining and quarrying,Mining and quarrying n.e.c.,1
2015,"Agriculture, forestry and fishing",Mixed farming,1
2015,Financial and insurance activities,Monetary intermediation,4
2015,Information and communication,"Motion picture, video and television programme activities",2
2015,Wholesale and retail trade; repair of motor vehicles and motorcycles,Non-specialized wholesale trade,3
2015,Administrative and support service activities,Office administrative and support activities,14
2015,Administrative and support service activities,Organization of conventions and trade shows,2
2015,"Arts, entertainment and recreation",Other amusement and recreation activities,38
2015,Education,Other education,21
2015,Financial and insurance activities,"Other financial service activities, except insurance and pension funding activities",40
2015,Human health and social work activities,Other human health activities,28
2015,Transportation and storage,Other land transport,565
2015,Manufacturing,Other manufacturing n.e.c.,7
2015,Other service activities,Other personal service activities,32
2015,"Professional, scientific and technical activities","Other professional, scientific and technical activities n.e.c.",113
2015,Administrative and support service activities,Other reservation service and related activities,4
2015,Construction,Other specialized construction activities,25
2015,Wholesale and retail trade; repair of motor vehicles and motorcycles,Other specialized wholesale,18
2015,Information and communication,Other telecommunications activities,10
2015,Transportation and storage,Passenger air transport,10
2015,"Professional, scientific and technical activities",Photographic activities,15
2015,"Agriculture, forestry and fishing",Plant propagation,
2015,Transportation and storage,Postal activities,3
2015,Education,Pre-primary and primary education,13
2015,Manufacturing,Printing and service activities related to printing,18
2015,Administrative and support service activities,Private security activities,32
2015,Manufacturing,"Processing and preserving of fish, crustaceans and molluscs",
2015,Manufacturing,Processing and preserving of fruit and vegetables,
2015,Manufacturing,Processing and preserving of meat,1
2015,Public administration and defence; compulsory social security,Provision of services to the community as a whole,
2015,Information and communication,"Publishing of books, periodicals and other publishing activities",6
2015,Mining and quarrying,"Quarrying of stone, sand and clay",10
2015,Information and communication,Radio broadcasting,2
2015,Real estate activities,Real estate activities on a fee or contract basis,56
2015,Real estate activities,Real estate activities with own or leased property,11
2015,"Water supply; sewerage, waste management and remediation activities",Remediation activities and other waste management services,5
2015,Administrative and support service activities,Renting and leasing of motor vehicles,27
2015,Administrative and support service activities,"Renting and leasing of other machinery, equipment and tangible goods",47
2015,Administrative and support service activities,Renting and leasing of personal and household goods,4
2015,Other service activities,Repair of computers and communication equipment,16
2015,Manufacturing,"Repair of fabricated metal products, machinery and equipment",44
2015,Other service activities,Repair of personal and household goods,12
2015,Information and communication,Reproduction of recorded media,
2015,Accommodation and food service activities,Restaurants and mobile food service activities,251
2015,Wholesale and retail trade; repair of motor vehicles and motorcycles,Retail sale in non-specialized stores,550
2015,Wholesale and retail trade; repair of motor vehicles and motorcycles,Retail sale of automotive fuel in specialized stores,19
2015,Wholesale and retail trade; repair of motor vehicles and motorcycles,Retail sale of cultural and recreation goods in specialized stores,14
2015,Wholesale and retail trade; repair of motor vehicles and motorcycles,"Retail sale of food, beverages and tobacco in specialized stores",24
2015,Wholesale and retail trade; repair of motor vehicles and motorcycles,Retail sale of information and communications equipment in specialized stores,18
2015,Wholesale and retail trade; repair of motor vehicles and motorcycles,Retail sale of other goods in specialized stores,199
2015,Wholesale and retail trade; repair of motor vehicles and motorcycles,Retail sale of other household equipment in specialized stores,49
2015,Wholesale and retail trade; repair of motor vehicles and motorcycles,Retail sale via stalls and markets,4
