Year,Major Industry,Minor Industry,Value
2017,Wholesale and retail trade; repair of motor vehicles and motorcycles,Non-specialized wholesale trade,3
2017,Administrative and support service activities,Office administrative and support activities,12
2017,Administrative and support service activities,Organization of conventions and trade shows,7
2017,"Arts, entertainment and recreation",Other amusement and recreation activities,48
2017,Education,Other education,17
2017,Financial and insurance activities,"Other financial service activities, except insurance and pension funding activities",60
2017,Human health and social work activities,Other human health activities,31
2017,Transportation and storage,Other land transport,833
2017,Manufacturing,Other manufacturing n.e.c.,7
2017,Other service activities,Other personal service activities,41
2017,"Professional, scientific and technical activities","Other professional, scientific and technical activities n.e.c.",129
2017,Administrative and support service activities,Other reservation service and related activities,
2017,Construction,Other specialized construction activities,15
2017,Wholesale and retail trade; repair of motor vehicles and motorcycles,Other specialized wholesale,15
2017,Information and communication,Other telecommunications activities,24
2017,Transportation and storage,Passenger air transport,8
2017,"Professional, scientific and technical activities",Photographic activities,17
2017,"Agriculture, forestry and fishing",Plant propagation,
2017,Transportation and storage,Postal activities,5
2017,Education,Pre-primary and primary education,12
2017,Manufacturing,Printing and service activities related to printing,17
2017,Administrative and support service activities,Private security activities,34
2017,Manufacturing,"Processing and preserving of fish, crustaceans and molluscs",
2017,Manufacturing,Processing and preserving of fruit and vegetables,1
2017,Manufacturing,Processing and preserving of meat,2
2017,Public administration and defence; compulsory social security,Provision of services to the community as a whole,
2017,Information and communication,"Publishing of books, periodicals and other publishing activities",6
2017,Mining and quarrying,"Quarrying of stone, sand and clay",7
2017,Information and communication,Radio broadcasting,3
2017,Real estate activities,Real estate activities on a fee or contract basis,95
2017,Real estate activities,Real estate activities with own or leased property,9
2017,"Water supply; sewerage, waste management and remediation activities",Remediation activities and other waste management services,5
2017,Administrative and support service activities,Renting and leasing of motor vehicles,37
2017,Administrative and support service activities,"Renting and leasing of other machinery, equipment and tangible goods",48
2017,Administrative and support service activities,Renting and leasing of personal and household goods,6
2017,Other service activities,Repair of computers and communication equipment,18
2017,Manufacturing,"Repair of fabricated metal products, machinery and equipment",42
2017,Other service activities,Repair of personal and household goods,15
2017,Information and communication,Reproduction of recorded media,
2017,Accommodation and food service activities,Restaurants and mobile food service activities,292
2017,Wholesale and retail trade; repair of motor vehicles and motorcycles,Retail sale in non-specialized stores,590
2017,Wholesale and retail trade; repair of motor vehicles and motorcycles,Retail sale of automotive fuel in specialized stores,21
2017,Wholesale and retail trade; repair of motor vehicles and motorcycles,Retail sale of cultural and recreation goods in specialized stores,11
2017,Wholesale and retail trade; repair of motor vehicles and motorcycles,"Retail sale of food, beverages and tobacco in specialized stores",44
2017,Wholesale and retail trade; repair of motor vehicles and motorcycles,Retail sale of information and communications equipment in specialized stores,17
2017,Wholesale and retail trade; repair of motor vehicles and motorcycles,Retail sale of other goods in specialized stores,206
2017,Wholesale and retail trade; repair of motor vehicles and motorcycles,Retail sale of other household equipment in specialized stores,45
2017,Wholesale and retail trade; repair of motor vehicles and motorcycles,Retail sale via stalls and markets,3
2017,Wholesale and retail trade; repair of motor vehicles and motorcycles,"Retail trade not in stores, stalls or markets",6
2017,Wholesale and retail trade; repair of motor vehicles and motorcycles,Sale of motor vehicle parts and accessories,14
2017,Wholesale and retail trade; repair of motor vehicles and motorcycles,Sale of motor vehicles,12
2017,Wholesale and retail trade; repair of motor vehicles and motorcycles,"Sale, maintenance and repair of motorcycles and related parts and accessories",14
2017,Information and communication,Satellite telecommunications activities,6
2017,Manufacturing,Sawmilling and planing of wood,4
2017,Transportation and storage,Sea and coastal water transport,40
2017,Education,Secondary education,1
2017,Administrative and support service activities,Security systems service activities,4
2017,"Water supply; sewerage, waste management and remediation activities",Sewerage,
2017,Accommodation and food service activities,Short term accommodation activities,140
2017,"Agriculture, forestry and fishing",Silviculture and other forestry activities,
2017,Information and communication,Sound recording and music publishing activities,2
2017,"Professional, scientific and technical activities",Specialized design activities,5
2017,Manufacturing,"Spinning, weaving and finishing of textiles",
2017,"Arts, entertainment and recreation",Sports activities,13
2017,Transportation and storage,Support activities for transportation,134
2017,"Agriculture, forestry and fishing",Support activities to agriculture and post-harvest crop activities,
2017,Manufacturing,"Tanning and dressing of leather; manufacture of luggage, handbags, saddlery and harness; dressing and dyeing of fur",1
2017,Information and communication,Television programming and broadcasting activities,5
2017,Administrative and support service activities,Travel agency and tour operator activities,68
2017,Financial and insurance activities,"Trusts, funds and similar financial entities",4
2017,"Professional, scientific and technical activities",Veterinary activities,3
2017,Transportation and storage,Warehousing and storage,8
2017,"Water supply; sewerage, waste management and remediation activities",Waste collection,4
2017,"Water supply; sewerage, waste management and remediation activities",Waste treatment and disposal,
2017,"Water supply; sewerage, waste management and remediation activities","Water collection, treatment and supply",5
2017,Wholesale and retail trade; repair of motor vehicles and motorcycles,Wholesale of agricultural raw materials and live animals,4
2017,Wholesale and retail trade; repair of motor vehicles and motorcycles,"Wholesale of food, beverages and tobacco",6
2017,Wholesale and retail trade; repair of motor vehicles and motorcycles,Wholesale of household goods,18
2017,Wholesale and retail trade; repair of motor vehicles and motorcycles,"Wholesale of machinery, equipment and supplies",3
2017,Information and communication,Wired telecommunications activities,2
2017,Information and communication,Wireless telecommunications activities,10
2018,,,4421
2018,"Professional, scientific and technical activities","Accounting, bookkeeping and auditing activities; tax consultancy",37
2018,Financial and insurance activities,"Activities auxiliary to financial service activities, except insurance and pension funding",36
2018,Financial and insurance activities,Activities auxiliary to insurance and pension funding,16
2018,Other service activities,"Activities of business, employers and professional membership organizations",1
2018,Administrative and support service activities,Activities of call centres,
2018,Administrative and support service activities,Activities of employment placement agencies,7
2018,"Professional, scientific and technical activities",Activities of head offices,33
2018,"Professional, scientific and technical activities",Advertising,14
2018,"Agriculture, forestry and fishing",Animal production,10
2018,"Professional, scientific and technical activities",Architectural and engineering activities and related technical consultancy,36
2018,Accommodation and food service activities,Beverage serving activities,95
2018,Construction,Building completion and finishing,3
2018,Manufacturing,Building of ships and boats,3
2018,Administrative and support service activities,Business support service activities n.e.c.,17
2018,Manufacturing,Casting of metals,
2018,Administrative and support service activities,Cleaning activities,17
2018,Information and communication,"Computer programming, consultancy and related activities",7
2018,Construction,Construction of buildings,158
2018,Construction,Construction of other civil engineering projects,2
2018,Construction,Construction of roads and railways,20
2018,Construction,Construction of utility projects,2
2018,Transportation and storage,Courier activities,1
2018,"Arts, entertainment and recreation","Creative, arts and entertainment activities",8
2018,Information and communication,"Data processing, hosting and related activities; web portals",2
2018,Construction,Demolition and site preparation,6
2018,"Electricity, gas, steam and air conditioning supply","Electric power generation, transmission and distribution",6
2018,Construction,"Electrical, plumbing and other construction installation activities",52
2018,Accommodation and food service activities,Event catering and other food service activities,18
2018,"Agriculture, forestry and fishing",Fishing,2
2018,"Arts, entertainment and recreation",Gambling and betting activities,1
2018,"Agriculture, forestry and fishing",Growing of non-perennial crops,1
2018,"Agriculture, forestry and fishing",Growing of perennial crops,1
2018,Education,Higher education,5
2018,Human health and social work activities,Hospital activities,1
2018,Transportation and storage,Inland water transport,
2018,Administrative and support service activities,Landscape care and maintenance service activities,8
2018,"Professional, scientific and technical activities",Legal activities,33
2018,"Arts, entertainment and recreation","Libraries, archives, museums and other cultural activities",
2018,"Agriculture, forestry and fishing",Logging,3
2018,Wholesale and retail trade; repair of motor vehicles and motorcycles,Maintenance and repair of motor vehicles,75
2018,"Professional, scientific and technical activities",Management consultancy activities,105
2018,Manufacturing,"Manufacture of basic chemicals, fertilizers and nitrogen compounds, plastics and synthetic rubber in primary forms",1
2018,Manufacturing,Manufacture of basic iron and steel,6
2018,Manufacturing,Manufacture of beverages,9
2018,Manufacturing,Manufacture of dairy products,1
2018,Manufacturing,Manufacture of furniture,3
2018,Manufacturing,Manufacture of general-purpose machinery,1
2018,Manufacturing,Manufacture of knitted and crocheted apparel,
2018,Manufacturing,Manufacture of non-metallic mineral products n.e.c.,14
2018,Manufacturing,Manufacture of other chemical products,12
2018,Manufacturing,Manufacture of other fabricated metal products; metalworking service activities,1
2018,Manufacturing,Manufacture of other food products,37
2018,Manufacturing,Manufacture of paper and paper products,1
2018,Manufacturing,"Manufacture of pharmaceuticals, medicinal chemical and botanical products",10
2018,Manufacturing,Manufacture of plastics products,1
2018,Manufacturing,Manufacture of prepared animal feeds,
2018,Manufacturing,"Manufacture of products of wood, cork, straw and plaiting materials",25
2018,Manufacturing,Manufacture of refined petroleum products,
2018,Manufacturing,Manufacture of rubber products,2
2018,Manufacturing,Manufacture of sports goods,
2018,Manufacturing,"Manufacture of structural metal products, tanks, reservoirs and steam generators",4
2018,Manufacturing,Manufacture of vegetable and animal oils and fats,8
2018,Manufacturing,"Manufacture of wearing apparel, except fur apparel",16
2018,Human health and social work activities,Medical and dental practice activities,20
2018,Mining and quarrying,Mining and quarrying n.e.c.,3
2018,"Agriculture, forestry and fishing",Mixed farming,1
2018,Financial and insurance activities,Monetary intermediation,5
2018,Information and communication,"Motion picture, video and television programme activities",3
2018,Wholesale and retail trade; repair of motor vehicles and motorcycles,Non-specialized wholesale trade,16
2018,Administrative and support service activities,Office administrative and support activities,8
2018,Administrative and support service activities,Organization of conventions and trade shows,4
2018,"Arts, entertainment and recreation",Other amusement and recreation activities,58
2018,Education,Other education,16
2018,Financial and insurance activities,"Other financial service activities, except insurance and pension funding activities",65
2018,Human health and social work activities,Other human health activities,32
2018,Transportation and storage,Other land transport,565
2018,Manufacturing,Other manufacturing n.e.c.,7
2018,Other service activities,Other personal service activities,51
2018,"Professional, scientific and technical activities","Other professional, scientific and technical activities n.e.c.",142
2018,Administrative and support service activities,Other reservation service and related activities,
2018,Construction,Other specialized construction activities,12
2018,Wholesale and retail trade; repair of motor vehicles and motorcycles,Other specialized wholesale,16
2018,Information and communication,Other telecommunications activities,17
2018,Transportation and storage,Passenger air transport,11
2018,"Professional, scientific and technical activities",Photographic activities,20
2018,"Agriculture, forestry and fishing",Plant propagation,
2018,Transportation and storage,Postal activities,6
2018,Education,Pre-primary and primary education,18
2018,Manufacturing,Printing and service activities related to printing,21
2018,Administrative and support service activities,Private security activities,23
2018,Manufacturing,"Processing and preserving of fish, crustaceans and molluscs",
2018,Manufacturing,Processing and preserving of fruit and vegetables,1
2018,Manufacturing,Processing and preserving of meat,4
2018,Public administration and defence; compulsory social security,Provision of services to the community as a whole,1
2018,Information and communication,"Publishing of books, periodicals and other publishing activities",3
2018,Mining and quarrying,"Quarrying of stone, sand and clay",15
2018,Information and communication,Radio broadcasting,2
2018,Real estate activities,Real estate activities on a fee or contract basis,94
2018,Real estate activities,Real estate activities with own or leased property,8
2018,"Water supply; sewerage, waste management and remediation activities",Remediation activities and other waste management services,4
2018,Administrative and support service activities,Renting and leasing of motor vehicles,38
2018,Administrative and support service activities,"Renting and leasing of other machinery, equipment and tangible goods",46
2018,Administrative and support service activities,Renting and leasing of personal and household goods,4
2018,Other service activities,Repair of computers and communication equipment,20
2018,Manufacturing,"Repair of fabricated metal products, machinery and equipment",51
2018,Other service activities,Repair of personal and household goods,16
2018,Information and communication,Reproduction of recorded media,
2018,Accommodation and food service activities,Restaurants and mobile food service activities,273
2018,Wholesale and retail trade; repair of motor vehicles and motorcycles,Retail sale in non-specialized stores,621
2018,Wholesale and retail trade; repair of motor vehicles and motorcycles,Retail sale of automotive fuel in specialized stores,26
2018,Wholesale and retail trade; repair of motor vehicles and motorcycles,Retail sale of cultural and recreation goods in specialized stores,11
2018,Wholesale and retail trade; repair of motor vehicles and motorcycles,"Retail sale of food, beverages and tobacco in specialized stores",37
2018,Wholesale and retail trade; repair of motor vehicles and motorcycles,Retail sale of information and communications equipment in specialized stores,16
2018,Wholesale and retail trade; repair of motor vehicles and motorcycles,Retail sale of other goods in specialized stores,337
2018,Wholesale and retail trade; repair of motor vehicles and motorcycles,Retail sale of other household equipment in specialized stores,45
2018,Wholesale and retail trade; repair of motor vehicles and motorcycles,Retail sale via stalls and markets,6
2018,Wholesale and retail trade; repair of motor vehicles and motorcycles,"Retail trade not in stores, stalls or markets",9
2018,Wholesale and retail trade; repair of motor vehicles and motorcycles,Sale of motor vehicle parts and accessories,16
2018,Wholesale and retail trade; repair of motor vehicles and motorcycles,Sale of motor vehicles,11
2018,Wholesale and retail trade; repair of motor vehicles and motorcycles,"Sale, maintenance and repair of motorcycles and related parts and accessories",21
2018,Information and communication,Satellite telecommunications activities,6
2018,Manufacturing,Sawmilling and planing of wood,3
2018,Transportation and storage,Sea and coastal water transport,50
2018,Education,Secondary education,1
2018,Administrative and support service activities,Security systems service activities,4
2018,"Water supply; sewerage, waste management and remediation activities",Sewerage,
2018,Accommodation and food service activities,Short term accommodation activities,138
2018,"Agriculture, forestry and fishing",Silviculture and other forestry activities,
2018,Information and communication,Sound recording and music publishing activities,1
2018,"Professional, scientific and technical activities",Specialized design activities,7
2018,Manufacturing,"Spinning, weaving and finishing of textiles",2
2018,"Arts, entertainment and recreation",Sports activities,11
2018,Transportation and storage,Support activities for transportation,149
2018,"Agriculture, forestry and fishing",Support activities to agriculture and post-harvest crop activities,2
2018,Manufacturing,"Tanning and dressing of leather; manufacture of luggage, handbags, saddlery and harness; dressing and dyeing of fur",1
2018,Information and communication,Television programming and broadcasting activities,5
2018,Administrative and support service activities,Travel agency and tour operator activities,99
2018,Financial and insurance activities,"Trusts, funds and similar financial entities",6
2018,"Professional, scientific and technical activities",Veterinary activities,2
2018,Transportation and storage,Warehousing and storage,12
2018,"Water supply; sewerage, waste management and remediation activities",Waste collection,2
2018,"Water supply; sewerage, waste management and remediation activities",Waste treatment and disposal,
2018,"Water supply; sewerage, waste management and remediation activities","Water collection, treatment and supply",4
2018,Wholesale and retail trade; repair of motor vehicles and motorcycles,Wholesale of agricultural raw materials and live animals,6
2018,Wholesale and retail trade; repair of motor vehicles and motorcycles,"Wholesale of food, beverages and tobacco",5
2018,Wholesale and retail trade; repair of motor vehicles and motorcycles,Wholesale of household goods,20
2018,Wholesale and retail trade; repair of motor vehicles and motorcycles,"Wholesale of machinery, equipment and supplies",5
2018,Information and communication,Wired telecommunications activities,1
2018,Information and communication,Wireless telecommunications activities,9
2019,,,4615
2019,"Professional, scientific and technical activities","Accounting, bookkeeping and auditing activities; tax consultancy",37
2019,Financial and insurance activities,"Activities auxiliary to financial service activities, except insurance and pension funding",25
2019,Financial and insurance activities,Activities auxiliary to insurance and pension funding,12
2019,Other service activities,"Activities of business, employers and professional membership organizations",1
2019,Administrative and support service activities,Activities of call centres,
2019,Administrative and support service activities,Activities of employment placement agencies,9
2019,"Professional, scientific and technical activities",Activities of head offices,29
2019,"Professional, scientific and technical activities",Advertising,17
2019,"Agriculture, forestry and fishing",Animal production,8
2019,"Professional, scientific and technical activities",Architectural and engineering activities and related technical consultancy,41
2019,Accommodation and food service activities,Beverage serving activities,99
2019,Construction,Building completion and finishing,1
2019,Manufacturing,Building of ships and boats,1
2019,Administrative and support service activities,Business support service activities n.e.c.,16
2019,Manufacturing,Casting of metals,
2019,Administrative and support service activities,Cleaning activities,21
2019,Information and communication,"Computer programming, consultancy and related activities",10
2019,Construction,Construction of buildings,183
2019,Construction,Construction of other civil engineering projects,3
2019,Construction,Construction of roads and railways,20
2019,Construction,Construction of utility projects,2
2019,Transportation and storage,Courier activities,
2019,"Arts, entertainment and recreation","Creative, arts and entertainment activities",8
2019,Information and communication,"Data processing, hosting and related activities; web portals",4
2019,Construction,Demolition and site preparation,6
2019,"Electricity, gas, steam and air conditioning supply","Electric power generation, transmission and distribution",6
2019,Construction,"Electrical, plumbing and other construction installation activities",55
2019,Accommodation and food service activities,Event catering and other food service activities,31
2019,"Agriculture, forestry and fishing",Fishing,3
2019,"Arts, entertainment and recreation",Gambling and betting activities,
2019,"Agriculture, forestry and fishing",Growing of non-perennial crops,2
2019,"Agriculture, forestry and fishing",Growing of perennial crops,3
2019,Education,Higher education,5
2019,Human health and social work activities,Hospital activities,3
2019,Transportation and storage,Inland water transport,
2019,Administrative and support service activities,Landscape care and maintenance service activities,13
2019,"Professional, scientific and technical activities",Legal activities,29
2019,"Arts, entertainment and recreation","Libraries, archives, museums and other cultural activities",2
2019,"Agriculture, forestry and fishing",Logging,1
2019,Wholesale and retail trade; repair of motor vehicles and motorcycles,Maintenance and repair of motor vehicles,76
2019,"Professional, scientific and technical activities",Management consultancy activities,115
2019,Manufacturing,"Manufacture of basic chemicals, fertilizers and nitrogen compounds, plastics and synthetic rubber in primary forms",1
2019,Manufacturing,Manufacture of basic iron and steel,7
2019,Manufacturing,Manufacture of beverages,9
2019,Manufacturing,Manufacture of dairy products,1
2019,Manufacturing,Manufacture of furniture,4
2019,Manufacturing,Manufacture of general-purpose machinery,1
2019,Manufacturing,Manufacture of knitted and crocheted apparel,
2019,Manufacturing,Manufacture of non-metallic mineral products n.e.c.,13
2019,Manufacturing,Manufacture of other chemical products,17
2019,Manufacturing,Manufacture of other fabricated metal products; metalworking service activities,
2019,Manufacturing,Manufacture of other food products,43
2019,Manufacturing,Manufacture of paper and paper products,1
2019,Manufacturing,"Manufacture of pharmaceuticals, medicinal chemical and botanical products",14
2019,Manufacturing,Manufacture of plastics products,1
2019,Manufacturing,Manufacture of prepared animal feeds,1
2019,Manufacturing,"Manufacture of products of wood, cork, straw and plaiting materials",24
2019,Manufacturing,Manufacture of refined petroleum products,
2019,Manufacturing,Manufacture of rubber products,2
2019,Manufacturing,Manufacture of sports goods,
2019,Manufacturing,"Manufacture of structural metal products, tanks, reservoirs and steam generators",3
2019,Manufacturing,Manufacture of vegetable and animal oils and fats,9
2019,Manufacturing,"Manufacture of wearing apparel, except fur apparel",17
2019,Human health and social work activities,Medical and dental practice activities,33
2019,Mining and quarrying,Mining and quarrying n.e.c.,1
2019,"Agriculture, forestry and fishing",Mixed farming,
2019,Financial and insurance activities,Monetary intermediation,5
2019,Information and communication,"Motion picture, video and television programme activities",3
2019,Wholesale and retail trade; repair of motor vehicles and motorcycles,Non-specialized wholesale trade,33
2019,Administrative and support service activities,Office administrative and support activities,13
2019,Administrative and support service activities,Organization of conventions and trade shows,5
2019,"Arts, entertainment and recreation",Other amusement and recreation activities,50
2019,Education,Other education,23
2019,Financial and insurance activities,"Other financial service activities, except insurance and pension funding activities",69
2019,Human health and social work activities,Other human health activities,30
2019,Transportation and storage,Other land transport,504
2019,Manufacturing,Other manufacturing n.e.c.,6
2019,Other service activities,Other personal service activities,39
2019,"Professional, scientific and technical activities","Other professional, scientific and technical activities n.e.c.",149
2019,Administrative and support service activities,Other reservation service and related activities,3
2019,Construction,Other specialized construction activities,18
2019,Wholesale and retail trade; repair of motor vehicles and motorcycles,Other specialized wholesale,15
2019,Information and communication,Other telecommunications activities,24
2019,Transportation and storage,Passenger air transport,17
2019,"Professional, scientific and technical activities",Photographic activities,22
2019,"Agriculture, forestry and fishing",Plant propagation,
2019,Transportation and storage,Postal activities,4
2019,Education,Pre-primary and primary education,20
2019,Manufacturing,Printing and service activities related to printing,22
2019,Administrative and support service activities,Private security activities,35
2019,Manufacturing,"Processing and preserving of fish, crustaceans and molluscs",
2019,Manufacturing,Processing and preserving of fruit and vegetables,1
2019,Manufacturing,Processing and preserving of meat,3
2019,Public administration and defence; compulsory social security,Provision of services to the community as a whole,3
2019,Information and communication,"Publishing of books, periodicals and other publishing activities",2
2019,Mining and quarrying,"Quarrying of stone, sand and clay",20
2019,Information and communication,Radio broadcasting,2
2019,Real estate activities,Real estate activities on a fee or contract basis,114
2019,Real estate activities,Real estate activities with own or leased property,12
2019,"Water supply; sewerage, waste management and remediation activities",Remediation activities and other waste management services,7
2019,Administrative and support service activities,Renting and leasing of motor vehicles,45
2019,Administrative and support service activities,"Renting and leasing of other machinery, equipment and tangible goods",51
2019,Administrative and support service activities,Renting and leasing of personal and household goods,8
2019,Other service activities,Repair of computers and communication equipment,17
2019,Manufacturing,"Repair of fabricated metal products, machinery and equipment",48
2019,Other service activities,Repair of personal and household goods,20
2019,Information and communication,Reproduction of recorded media,
2019,Accommodation and food service activities,Restaurants and mobile food service activities,285
2019,Wholesale and retail trade; repair of motor vehicles and motorcycles,Retail sale in non-specialized stores,577
2019,Wholesale and retail trade; repair of motor vehicles and motorcycles,Retail sale of automotive fuel in specialized stores,28
2019,Wholesale and retail trade; repair of motor vehicles and motorcycles,Retail sale of cultural and recreation goods in specialized stores,11
2019,Wholesale and retail trade; repair of motor vehicles and motorcycles,"Retail sale of food, beverages and tobacco in specialized stores",71
2019,Wholesale and retail trade; repair of motor vehicles and motorcycles,Retail sale of information and communications equipment in specialized stores,17
2019,Wholesale and retail trade; repair of motor vehicles and motorcycles,Retail sale of other goods in specialized stores,386
2019,Wholesale and retail trade; repair of motor vehicles and motorcycles,Retail sale of other household equipment in specialized stores,43
2019,Wholesale and retail trade; repair of motor vehicles and motorcycles,Retail sale via stalls and markets,5
2019,Wholesale and retail trade; repair of motor vehicles and motorcycles,"Retail trade not in stores, stalls or markets",10
2019,Wholesale and retail trade; repair of motor vehicles and motorcycles,Sale of motor vehicle parts and accessories,23
2019,Wholesale and retail trade; repair of motor vehicles and motorcycles,Sale of motor vehicles,13
2019,Wholesale and retail trade; repair of motor vehicles and motorcycles,"Sale, maintenance and repair of motorcycles and related parts and accessories",23
2019,Information and communication,Satellite telecommunications activities,5
2019,Manufacturing,Sawmilling and planing of wood,2
2019,Transportation and storage,Sea and coastal water transport,47
2019,Education,Secondary education,2
2019,Administrative and support service activities,Security systems service activities,4
2019,"Water supply; sewerage, waste management and remediation activities",Sewerage,
2019,Accommodation and food service activities,Short term accommodation activities,154
2019,"Agriculture, forestry and fishing",Silviculture and other forestry activities,
2019,Information and communication,Sound recording and music publishing activities,2
2019,"Professional, scientific and technical activities",Specialized design activities,6
2019,Manufacturing,"Spinning, weaving and finishing of textiles",1
2019,"Arts, entertainment and recreation",Sports activities,10
2019,Transportation and storage,Support activities for transportation,139
2019,"Agriculture, forestry and fishing",Support activities to agriculture and post-harvest crop activities,3
2019,Manufacturing,"Tanning and dressing of leather; manufacture of luggage, handbags, saddlery and harness; dressing and dyeing of fur",1
2019,Information and communication,Television programming and broadcasting activities,6
2019,Administrative and support service activities,Travel agency and tour operator activities,97
2019,Financial and insurance activities,"Trusts, funds and similar financial entities",6
2019,"Professional, scientific and technical activities",Veterinary activities,2
2019,Transportation and storage,Warehousing and storage,22
2019,"Water supply; sewerage, waste management and remediation activities",Waste collection,1
2019,"Water supply; sewerage, waste management and remediation activities",Waste treatment and disposal,
2019,"Water supply; sewerage, waste management and remediation activities","Water collection, treatment and supply",3
2019,Wholesale and retail trade; repair of motor vehicles and motorcycles,Wholesale of agricultural raw materials and live animals,9
2019,Wholesale and retail trade; repair of motor vehicles and motorcycles,"Wholesale of food, beverages and tobacco",2
2019,Wholesale and retail trade; repair of motor vehicles and motorcycles,Wholesale of household goods,20
2019,Wholesale and retail trade; repair of motor vehicles and motorcycles,"Wholesale of machinery, equipment and supplies",5
2019,Information and communication,Wired telecommunications activities,2
2019,Information and communication,Wireless telecommunications activities,11
2020,,,4613
2020,"Professional, scientific and technical activities","Accounting, bookkeeping and auditing activities; tax consultancy",39
2020,Financial and insurance activities,"Activities auxiliary to financial service activities, except insurance and pension funding",21
2020,Financial and insurance activities,Activities auxiliary to insurance and pension funding,14
2020,Other service activities,"Activities of business, employers and professional membership organizations",1
2020,Administrative and support service activities,Activities of call centres,
2020,Administrative and support service activities,Activities of employment placement agencies,8
2020,"Professional, scientific and technical activities",Activities of head offices,28
2020,"Professional, scientific and technical activities",Advertising,21
2020,"Agriculture, forestry and fishing",Animal production,9
2020,"Professional, scientific and technical activities",Architectural and engineering activities and related technical consultancy,41
2020,Accommodation and food service activities,Beverage serving activities,91
2020,Construction,Building completion and finishing,3
2020,Manufacturing,Building of ships and boats,2
2020,Administrative and support service activities,Business support service activities n.e.c.,18
2020,Manufacturing,Casting of metals,
2020,Administrative and support service activities,Cleaning activities,17
2020,Information and communication,"Computer programming, consultancy and related activities",11
2020,Construction,Construction of buildings,238
2020,Construction,Construction of other civil engineering projects,3
2020,Construction,Construction of roads and railways,20
2020,Construction,Construction of utility projects,2
2020,Transportation and storage,Courier activities,
2020,"Arts, entertainment and recreation","Creative, arts and entertainment activities",8
2020,Information and communication,"Data processing, hosting and related activities; web portals",5
2020,Construction,Demolition and site preparation,3
2020,"Electricity, gas, steam and air conditioning supply","Electric power generation, transmission and distribution",11
2020,Construction,"Electrical, plumbing and other construction installation activities",63
2020,Accommodation and food service activities,Event catering and other food service activities,24
2020,"Agriculture, forestry and fishing",Fishing,2
2020,"Arts, entertainment and recreation",Gambling and betting activities,
2020,"Agriculture, forestry and fishing",Growing of non-perennial crops,
2020,"Agriculture, forestry and fishing",Growing of perennial crops,2
2020,Education,Higher education,6
2020,Human health and social work activities,Hospital activities,3
2020,Transportation and storage,Inland water transport,
2020,Administrative and support service activities,Landscape care and maintenance service activities,11
2020,"Professional, scientific and technical activities",Legal activities,27
2020,"Arts, entertainment and recreation","Libraries, archives, museums and other cultural activities",2
2020,"Agriculture, forestry and fishing",Logging,2
2020,Wholesale and retail trade; repair of motor vehicles and motorcycles,Maintenance and repair of motor vehicles,76
2020,"Professional, scientific and technical activities",Management consultancy activities,111
2020,Manufacturing,"Manufacture of basic chemicals, fertilizers and nitrogen compounds, plastics and synthetic rubber in primary forms",1
2020,Manufacturing,Manufacture of basic iron and steel,7
2020,Manufacturing,Manufacture of beverages,7
2020,Manufacturing,Manufacture of dairy products,1
2020,Manufacturing,Manufacture of furniture,3
2020,Manufacturing,Manufacture of general-purpose machinery,1
2020,Manufacturing,Manufacture of knitted and crocheted apparel,
2020,Manufacturing,Manufacture of non-metallic mineral products n.e.c.,10
2020,Manufacturing,Manufacture of other chemical products,18
2020,Manufacturing,Manufacture of other fabricated metal products; metalworking service activities,1
2020,Manufacturing,Manufacture of other food products,44
2020,Manufacturing,Manufacture of paper and paper products,3
2020,Manufacturing,"Manufacture of pharmaceuticals, medicinal chemical and botanical products",14
2020,Manufacturing,Manufacture of plastics products,1
2020,Manufacturing,Manufacture of prepared animal feeds,1
2020,Manufacturing,"Manufacture of products of wood, cork, straw and plaiting materials",29
2020,Manufacturing,Manufacture of refined petroleum products,
2020,Manufacturing,Manufacture of rubber products,2
2020,Manufacturing,Manufacture of sports goods,
2020,Manufacturing,"Manufacture of structural metal products, tanks, reservoirs and steam generators",4
2020,Manufacturing,Manufacture of vegetable and animal oils and fats,7
2020,Manufacturing,"Manufacture of wearing apparel, except fur apparel",20
2020,Human health and social work activities,Medical and dental practice activities,28
2020,Mining and quarrying,Mining and quarrying n.e.c.,1
2020,"Agriculture, forestry and fishing",Mixed farming,
2020,Financial and insurance activities,Monetary intermediation,5
2020,Information and communication,"Motion picture, video and television programme activities",4
2020,Wholesale and retail trade; repair of motor vehicles and motorcycles,Non-specialized wholesale trade,15
2020,Administrative and support service activities,Office administrative and support activities,13
2020,Administrative and support service activities,Organization of conventions and trade shows,6
2020,"Arts, entertainment and recreation",Other amusement and recreation activities,45
2020,Education,Other education,32
2020,Financial and insurance activities,"Other financial service activities, except insurance and pension funding activities",73
2020,Human health and social work activities,Other human health activities,26
2020,Transportation and storage,Other land transport,424
2020,Manufacturing,Other manufacturing n.e.c.,7
2020,Other service activities,Other personal service activities,44
2020,"Professional, scientific and technical activities","Other professional, scientific and technical activities n.e.c.",201
2020,Administrative and support service activities,Other reservation service and related activities,6
2020,Construction,Other specialized construction activities,17
2020,Wholesale and retail trade; repair of motor vehicles and motorcycles,Other specialized wholesale,15
2020,Information and communication,Other telecommunications activities,21
2020,Transportation and storage,Passenger air transport,14
2020,"Professional, scientific and technical activities",Photographic activities,24
2020,"Agriculture, forestry and fishing",Plant propagation,1
2020,Transportation and storage,Postal activities,5
2020,Education,Pre-primary and primary education,17
2020,Manufacturing,Printing and service activities related to printing,24
