Year,Budget Series,Ministry,Department,Activity,Units,Value
2011,Budget,Ministry of Cooperatives and Ni-Vanuatu Business Development Services,,,Value in Millions (VT),4.488177
2011,Budget,Ministry of Education & Training,,,Value in Millions (VT),815.918858
2011,Budget,Ministry of Finance and Economic Management,,,Value in Millions (VT),3153.998301
2011,Budget,"Ministry of Foreign Affairs, International Cooperation and External Trade",,,Value in Millions (VT),127.532738
2011,Budget,Ministry of Health,,,Value in Millions (VT),632.043948
2011,Budget,Ministry of Infrastructure and Public Utilities,,,Value in Millions (VT),933.268969
2011,Budget,Ministry of Internal Affairs,,,Value in Millions (VT),517.631182
2011,Budget,Ministry of Justice and Social Welfare,,,Value in Millions (VT),103.951288
2011,Budget,"Ministry of Lands, Mines & Water Resources",,,Value in Millions (VT),82.727001
2011,Budget,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",,,Value in Millions (VT),205.416598
2011,Budget,Ministry of Youth Development and Sports,,,Value in Millions (VT),95.545688
2011,Budget,Prime Ministers Ministry,,,Value in Millions (VT),76.819613
2012,Actual,Constitutional Agencies,,,Value in Millions (VT),857.44106
2012,Actual,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",,,Value in Millions (VT),164.494282
2012,Actual,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",,,Value in Millions (VT),57.096946
2012,Actual,Ministry of Cooperatives and Ni-Vanuatu Business Development Services,,,Value in Millions (VT),2.4429
2012,Actual,Ministry of Education & Training,,,Value in Millions (VT),959.57265
2012,Actual,Ministry of Finance and Economic Management,,,Value in Millions (VT),3049.50204
2012,Actual,"Ministry of Foreign Affairs, International Cooperation and External Trade",,,Value in Millions (VT),136.929791
2012,Actual,Ministry of Health,,,Value in Millions (VT),453.761773
2012,Actual,Ministry of Infrastructure and Public Utilities,,,Value in Millions (VT),812.057143
2012,Actual,Ministry of Internal Affairs,,,Value in Millions (VT),569.765707
2012,Actual,Ministry of Justice and Social Welfare,,,Value in Millions (VT),140.887033
2012,Actual,"Ministry of Lands, Mines & Water Resources",,,Value in Millions (VT),77.255387
2012,Actual,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",,,Value in Millions (VT),267.232254
2012,Actual,Ministry of Youth Development and Sports,,,Value in Millions (VT),89.412032
2012,Actual,Prime Ministers Ministry,,,Value in Millions (VT),82.663821
2012,Budget,Constitutional Agencies,,,Value in Millions (VT),897.169487
2012,Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",,,Value in Millions (VT),140.461769
2012,Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",,,Value in Millions (VT),55.601298
2012,Budget,Ministry of Cooperatives and Ni-Vanuatu Business Development Services,,,Value in Millions (VT),3.516855
2012,Budget,Ministry of Education & Training,,,Value in Millions (VT),792.304622
