Year,Budget Series,Ministry,Department,Activity,Units,Value
2011,Actual,Ministry of Internal Affairs,Electoral Office,,Value in Millions (VT),22.245971
2011,Actual,Ministry of Internal Affairs,Internal Affairs Cabinet,,Value in Millions (VT),68.051798
2011,Actual,Ministry of Internal Affairs,Police Service Commission,,Value in Millions (VT),1.556495
2011,Actual,Ministry of Internal Affairs,Vanuatu Police Force,,Value in Millions (VT),135.922868
2011,Actual,Ministry of Justice and Social Welfare,Correctional Services,,Value in Millions (VT),55.491716
2011,Actual,Ministry of Justice and Social Welfare,Department of Womens Affairs,,Value in Millions (VT),19.031082
2011,Actual,Ministry of Justice and Social Welfare,Ministry of Justice & Social Welfare Corporate Service Unit,,Value in Millions (VT),27.540739
2011,Actual,Ministry of Justice and Social Welfare,Ministry of Justice and Community Service,,Value in Millions (VT),12.495271
2011,Actual,"Ministry of Lands, Mines & Water Resources",Cabinet Operations,,Value in Millions (VT),3.434031
2011,Actual,"Ministry of Lands, Mines & Water Resources",Corporate Services,,Value in Millions (VT),67.414369
2011,Actual,"Ministry of Lands, Mines & Water Resources",Department of Geology and Mines,,Value in Millions (VT),8.950795
2011,Actual,"Ministry of Lands, Mines & Water Resources",Department of Land Records,,Value in Millions (VT),2.264275
2011,Actual,"Ministry of Lands, Mines & Water Resources",Department of Land Survey,,Value in Millions (VT),3.458333
2011,Actual,"Ministry of Lands, Mines & Water Resources",Department of Lands,,Value in Millions (VT),7.283208
2011,Actual,"Ministry of Lands, Mines & Water Resources",Valuer General,,Value in Millions (VT),1.578542
2011,Actual,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",Department of Cooperatives and Ni-Vanuatu Business Development,,Value in Millions (VT),36.91366
2011,Actual,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",Department of Tourism,,Value in Millions (VT),21.399481
2011,Actual,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business","Ministry of Commerce, Industry and Tourism Cabinet",,Value in Millions (VT),12.015657
2011,Actual,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",Trade and Ni Vanuatu Business Corporate Service Unit,,Value in Millions (VT),107.583516
2011,Actual,Ministry of Youth Development and Sports,Department of Youth and Sport,,Value in Millions (VT),144.997578
2011,Actual,Ministry of Youth Development and Sports,Ministry of Youth Development and Training,,Value in Millions (VT),3.644966
2011,Actual,Prime Ministers Ministry,Department of Strategic Policy Cordination & Corporate Services,,Value in Millions (VT),43.403211
2011,Actual,Prime Ministers Ministry,Language Services Department,,Value in Millions (VT),2.41692
2011,Actual,Prime Ministers Ministry,Prime Ministers Cabinet,,Value in Millions (VT),31.477884
2011,Budget,Constitutional Agencies,Citizenship Office,,Value in Millions (VT),0.585981
2011,Budget,Constitutional Agencies,Judicial Services Commission,,Value in Millions (VT),0.889186
2011,Budget,Constitutional Agencies,Judiciary,,Value in Millions (VT),87.630464
2011,Budget,Constitutional Agencies,Malvatumauri Council of Chiefs,,Value in Millions (VT),18.606886
2011,Budget,Constitutional Agencies,National Audit Office,,Value in Millions (VT),8.988102
2011,Budget,Constitutional Agencies,Office of the Ombudsman,,Value in Millions (VT),22.387843
2011,Budget,Constitutional Agencies,Parliament,,Value in Millions (VT),261.312126
2011,Budget,Constitutional Agencies,President of the Republic,,Value in Millions (VT),17.342803
2011,Budget,Constitutional Agencies,Public Prosecutor,,Value in Millions (VT),15.786423
2011,Budget,Constitutional Agencies,Public Service Commission,,Value in Millions (VT),18.981892
2011,Budget,Constitutional Agencies,Public Solicitor,,Value in Millions (VT),13.442089
2011,Budget,Constitutional Agencies,State Law Office,,Value in Millions (VT),14.164385
2011,Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity","Agriculture, Quarantine, Forestry and Fisheries Cabinet",,Value in Millions (VT),18.173718
2011,Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Agriculture,,Value in Millions (VT),47.823931
2011,Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Biosecurity,,Value in Millions (VT),64.899635
2011,Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Fisheries,,Value in Millions (VT),39.493037
2011,Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Forestry,,Value in Millions (VT),10.629397
2011,Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",Energy Department,,Value in Millions (VT),12.216889
2011,Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",Environment Department,,Value in Millions (VT),0.932444
2011,Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",National Disaster Management Office,,Value in Millions (VT),17.729705
2011,Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",Vanuatu Meteorological Services,,Value in Millions (VT),45.269215
2011,Budget,Ministry of Cooperatives and Ni-Vanuatu Business Development Services,Ministry of Ni-Vanuatu Business Development & Coops Cabinet,,Value in Millions (VT),4.488177
2011,Budget,Ministry of Education & Training,Director General Directorate,,Value in Millions (VT),702.373648
2011,Budget,Ministry of Education & Training,Education Commissions and Councils,,Value in Millions (VT),104.643698
2011,Budget,Ministry of Education & Training,MoE Cabinet,,Value in Millions (VT),8.901512
2011,Budget,Ministry of Finance and Economic Management,Department of Customs and Inland Revenue,,Value in Millions (VT),135.89873
2011,Budget,Ministry of Finance and Economic Management,Department of Finance & Treasury,,Value in Millions (VT),2948.580682
2011,Budget,Ministry of Finance and Economic Management,Economic Research & Expenditure Analysis Unit,,Value in Millions (VT),12.776336
2011,Budget,Ministry of Finance and Economic Management,MFEM Cabinet,,Value in Millions (VT),11.194279
2011,Budget,Ministry of Finance and Economic Management,MFEM Corporate Services,,Value in Millions (VT),29.864561
2011,Budget,Ministry of Finance and Economic Management,National Statistics Office,,Value in Millions (VT),15.683713
2011,Budget,"Ministry of Foreign Affairs, International Cooperation and External Trade","Department of External Trade, Industry and Investment",,Value in Millions (VT),22.163605
2011,Budget,"Ministry of Foreign Affairs, International Cooperation and External Trade",Department of Foreign Affairs,,Value in Millions (VT),96.483466
2011,Budget,"Ministry of Foreign Affairs, International Cooperation and External Trade",Ministry of Foreign Affairs Cabinet,,Value in Millions (VT),8.885667
2011,Budget,Ministry of Health,Department of Health,,Value in Millions (VT),613.35467
2011,Budget,Ministry of Health,Health Cabinet,,Value in Millions (VT),18.689278
2011,Budget,Ministry of Infrastructure and Public Utilities,Civil Aviation Authority,,Value in Millions (VT),37.38657
2011,Budget,Ministry of Infrastructure and Public Utilities,Department of Ports and Harbours,,Value in Millions (VT),48.863768
2011,Budget,Ministry of Infrastructure and Public Utilities,Department of Public Works,,Value in Millions (VT),755.216451
2011,Budget,Ministry of Infrastructure and Public Utilities,MIPU Cabinet,,Value in Millions (VT),91.80218
2011,Budget,Ministry of Internal Affairs,Civil Registry Office,,Value in Millions (VT),2.5603
2011,Budget,Ministry of Internal Affairs,Department of Immigration,,Value in Millions (VT),23.782277
2011,Budget,Ministry of Internal Affairs,Department of Labour,,Value in Millions (VT),18.321055
2011,Budget,Ministry of Internal Affairs,Department of Provincial Affairs,,Value in Millions (VT),282.668803
2011,Budget,Ministry of Internal Affairs,Electoral Office,,Value in Millions (VT),25.038124
2011,Budget,Ministry of Internal Affairs,Internal Affairs Cabinet,,Value in Millions (VT),57.502932
2011,Budget,Ministry of Internal Affairs,Police Service Commission,,Value in Millions (VT),1.654923
2011,Budget,Ministry of Internal Affairs,Vanuatu Police Force,,Value in Millions (VT),106.102768
2011,Budget,Ministry of Justice and Social Welfare,Correctional Services,,Value in Millions (VT),46.234186
2011,Budget,Ministry of Justice and Social Welfare,Department of Womens Affairs,,Value in Millions (VT),18.210412
2011,Budget,Ministry of Justice and Social Welfare,Ministry of Justice & Social Welfare Corporate Service Unit,,Value in Millions (VT),28.582699
2011,Budget,Ministry of Justice and Social Welfare,Ministry of Justice and Community Service,,Value in Millions (VT),10.923991
2011,Budget,"Ministry of Lands, Mines & Water Resources",Cabinet Operations,,Value in Millions (VT),3.164031
2011,Budget,"Ministry of Lands, Mines & Water Resources",Corporate Services,,Value in Millions (VT),63.21645
2011,Budget,"Ministry of Lands, Mines & Water Resources",Department of Geology and Mines,,Value in Millions (VT),6.251587
2011,Budget,"Ministry of Lands, Mines & Water Resources",Department of Land Records,,Value in Millions (VT),0.933333
2011,Budget,"Ministry of Lands, Mines & Water Resources",Department of Land Survey,,Value in Millions (VT),1.913333
2011,Budget,"Ministry of Lands, Mines & Water Resources",Department of Lands,,Value in Millions (VT),5.728666
2011,Budget,"Ministry of Lands, Mines & Water Resources",Valuer General,,Value in Millions (VT),1.519601
2011,Budget,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",Department of Cooperatives and Ni-Vanuatu Business Development,,Value in Millions (VT),33.247454
2011,Budget,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",Department of Tourism,,Value in Millions (VT),15.879334
2011,Budget,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business","Ministry of Commerce, Industry and Tourism Cabinet",,Value in Millions (VT),13.10183
2011,Budget,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",Trade and Ni Vanuatu Business Corporate Service Unit,,Value in Millions (VT),143.18798
2011,Budget,Ministry of Youth Development and Sports,Department of Youth and Sport,,Value in Millions (VT),89.044722
2011,Budget,Ministry of Youth Development and Sports,Ministry of Youth Development and Training,,Value in Millions (VT),6.500966
2011,Budget,Prime Ministers Ministry,Department of Strategic Policy Cordination & Corporate Services,,Value in Millions (VT),20.883885
2011,Budget,Prime Ministers Ministry,Language Services Department,,Value in Millions (VT),4.958053
2011,Budget,Prime Ministers Ministry,Prime Ministers Cabinet,,Value in Millions (VT),50.977675
2012,Actual,Constitutional Agencies,Citizenship Office,,Value in Millions (VT),1.488168
2012,Actual,Constitutional Agencies,Judicial Services Commission,,Value in Millions (VT),0.815078
2012,Actual,Constitutional Agencies,Judiciary,,Value in Millions (VT),91.174181
2012,Actual,Constitutional Agencies,Malvatumauri Council of Chiefs,,Value in Millions (VT),13.410533
2012,Actual,Constitutional Agencies,National Audit Office,,Value in Millions (VT),6.04683
2012,Actual,Constitutional Agencies,Office of the Ombudsman,,Value in Millions (VT),21.984046
2012,Actual,Constitutional Agencies,Parliament,,Value in Millions (VT),629.918743
2012,Actual,Constitutional Agencies,President of the Republic,,Value in Millions (VT),14.231291
2012,Actual,Constitutional Agencies,Public Prosecutor,,Value in Millions (VT),12.139452
2012,Actual,Constitutional Agencies,Public Service Commission,,Value in Millions (VT),33.071825
2012,Actual,Constitutional Agencies,Public Solicitor,,Value in Millions (VT),22.006123
2012,Actual,Constitutional Agencies,State Law Office,,Value in Millions (VT),11.15479
2012,Actual,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity","Agriculture, Quarantine, Forestry and Fisheries Cabinet",,Value in Millions (VT),27.990458
2012,Actual,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Agriculture,,Value in Millions (VT),53.449185
2012,Actual,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Biosecurity,,Value in Millions (VT),39.956069
2012,Actual,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Fisheries,,Value in Millions (VT),28.068253
2012,Actual,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Forestry,,Value in Millions (VT),15.030317
2012,Actual,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",Energy Department,,Value in Millions (VT),13.783742
2012,Actual,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",Environment Department,,Value in Millions (VT),1.654601
2012,Actual,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",National Disaster Management Office,,Value in Millions (VT),8.910616
2012,Actual,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",Vanuatu Meteorological Services,,Value in Millions (VT),32.747987
2012,Actual,Ministry of Cooperatives and Ni-Vanuatu Business Development Services,Ministry of Ni-Vanuatu Business Development & Coops Cabinet,,Value in Millions (VT),2.4429
2012,Actual,Ministry of Education & Training,Director General Directorate,,Value in Millions (VT),854.631624
2012,Actual,Ministry of Education & Training,Education Commissions and Councils,,Value in Millions (VT),97.787138
2012,Actual,Ministry of Education & Training,MoE Cabinet,,Value in Millions (VT),7.153888
2012,Actual,Ministry of Finance and Economic Management,Department of Customs and Inland Revenue,,Value in Millions (VT),117.591753
2012,Actual,Ministry of Finance and Economic Management,Department of Finance & Treasury,,Value in Millions (VT),2853.803955
2012,Actual,Ministry of Finance and Economic Management,Economic Research & Expenditure Analysis Unit,,Value in Millions (VT),19.79823
2012,Actual,Ministry of Finance and Economic Management,MFEM Cabinet,,Value in Millions (VT),6.156687
2012,Actual,Ministry of Finance and Economic Management,MFEM Corporate Services,,Value in Millions (VT),36.725043
2012,Actual,Ministry of Finance and Economic Management,National Statistics Office,,Value in Millions (VT),15.426372
2012,Actual,"Ministry of Foreign Affairs, International Cooperation and External Trade","Department of External Trade, Industry and Investment",,Value in Millions (VT),8.347336
2012,Actual,"Ministry of Foreign Affairs, International Cooperation and External Trade",Department of Foreign Affairs,,Value in Millions (VT),117.994986
2012,Actual,"Ministry of Foreign Affairs, International Cooperation and External Trade",Ministry of Foreign Affairs Cabinet,,Value in Millions (VT),10.587469
2012,Actual,Ministry of Health,Department of Health,,Value in Millions (VT),441.278182
2012,Actual,Ministry of Health,Health Cabinet,,Value in Millions (VT),12.483591
2012,Actual,Ministry of Infrastructure and Public Utilities,Civil Aviation Authority,,Value in Millions (VT),27.024474
2012,Actual,Ministry of Infrastructure and Public Utilities,Department of Ports and Harbours,,Value in Millions (VT),64.428454
2012,Actual,Ministry of Infrastructure and Public Utilities,Department of Public Works,,Value in Millions (VT),647.982765
2012,Actual,Ministry of Infrastructure and Public Utilities,MIPU Cabinet,,Value in Millions (VT),72.62145
2012,Actual,Ministry of Internal Affairs,Civil Registry Office,,Value in Millions (VT),1.901014
2012,Actual,Ministry of Internal Affairs,Department of Immigration,,Value in Millions (VT),20.375569
2012,Actual,Ministry of Internal Affairs,Department of Labour,,Value in Millions (VT),9.355931
2012,Actual,Ministry of Internal Affairs,Department of Provincial Affairs,,Value in Millions (VT),262.771461
2012,Actual,Ministry of Internal Affairs,Electoral Office,,Value in Millions (VT),67.677735
2012,Actual,Ministry of Internal Affairs,Internal Affairs Cabinet,,Value in Millions (VT),64.98581
2012,Actual,Ministry of Internal Affairs,Police Service Commission,,Value in Millions (VT),1.227156
2012,Actual,Ministry of Internal Affairs,Vanuatu Police Force,,Value in Millions (VT),141.471031
2012,Actual,Ministry of Justice and Social Welfare,Correctional Services,,Value in Millions (VT),69.992459
2012,Actual,Ministry of Justice and Social Welfare,Customary land management Office,,Value in Millions (VT),0.253747
2012,Actual,Ministry of Justice and Social Welfare,Department of Womens Affairs,,Value in Millions (VT),16.107215
2012,Actual,Ministry of Justice and Social Welfare,Ministry of Justice & Social Welfare Corporate Service Unit,,Value in Millions (VT),41.952323
2012,Actual,Ministry of Justice and Social Welfare,Ministry of Justice and Community Service,,Value in Millions (VT),8.56619
2012,Actual,Ministry of Justice and Social Welfare,Vanuatu Law Commission,,Value in Millions (VT),4.015099
2012,Actual,"Ministry of Lands, Mines & Water Resources",Cabinet Operations,,Value in Millions (VT),1.300311
2012,Actual,"Ministry of Lands, Mines & Water Resources",Corporate Services,,Value in Millions (VT),55.12266
2012,Actual,"Ministry of Lands, Mines & Water Resources",Department of Geology and Mines,,Value in Millions (VT),6.877581
2012,Actual,"Ministry of Lands, Mines & Water Resources",Department of Land Records,,Value in Millions (VT),2.709211
2012,Actual,"Ministry of Lands, Mines & Water Resources",Department of Land Survey,,Value in Millions (VT),1.358012
2012,Actual,"Ministry of Lands, Mines & Water Resources",Department of Lands,,Value in Millions (VT),8.568277
2012,Actual,"Ministry of Lands, Mines & Water Resources",Valuer General,,Value in Millions (VT),1.319335
2012,Actual,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",Department of Cooperatives and Ni-Vanuatu Business Development,,Value in Millions (VT),24.133447
2012,Actual,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",Department of Industry,,Value in Millions (VT),4.942542
2012,Actual,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",Department of Tourism,,Value in Millions (VT),23.029931
2012,Actual,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business","Ministry of Commerce, Industry and Tourism Cabinet",,Value in Millions (VT),7.250016
2012,Actual,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",Trade and Ni Vanuatu Business Corporate Service Unit,,Value in Millions (VT),207.876318
2012,Actual,Ministry of Youth Development and Sports,Department of Youth and Sport,,Value in Millions (VT),82.502098
2012,Actual,Ministry of Youth Development and Sports,Ministry of Youth Development and Training,,Value in Millions (VT),6.909934
2012,Actual,Prime Ministers Ministry,Department of Strategic Policy Cordination & Corporate Services,,Value in Millions (VT),26.186996
2012,Actual,Prime Ministers Ministry,Language Services Department,,Value in Millions (VT),4.479738
2012,Actual,Prime Ministers Ministry,Prime Ministers Cabinet,,Value in Millions (VT),51.997087
2012,Budget,Constitutional Agencies,Citizenship Office,,Value in Millions (VT),0.923791
2012,Budget,Constitutional Agencies,Judicial Services Commission,,Value in Millions (VT),0.889186
2012,Budget,Constitutional Agencies,Judiciary,,Value in Millions (VT),71.045509
2012,Budget,Constitutional Agencies,Malvatumauri Council of Chiefs,,Value in Millions (VT),17.473496
2012,Budget,Constitutional Agencies,National Audit Office,,Value in Millions (VT),8.505142
2012,Budget,Constitutional Agencies,Office of the Ombudsman,,Value in Millions (VT),12.026784
2012,Budget,Constitutional Agencies,Parliament,,Value in Millions (VT),703.879593
2012,Budget,Constitutional Agencies,President of the Republic,,Value in Millions (VT),17.400945
2012,Budget,Constitutional Agencies,Public Prosecutor,,Value in Millions (VT),13.316056
2012,Budget,Constitutional Agencies,Public Service Commission,,Value in Millions (VT),22.890995
2012,Budget,Constitutional Agencies,Public Solicitor,,Value in Millions (VT),13.603419
2012,Budget,Constitutional Agencies,State Law Office,,Value in Millions (VT),15.214571
2012,Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity","Agriculture, Quarantine, Forestry and Fisheries Cabinet",,Value in Millions (VT),9.363172
2012,Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Agriculture,,Value in Millions (VT),43.01433
2012,Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Biosecurity,,Value in Millions (VT),44.358154
2012,Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Fisheries,,Value in Millions (VT),29.609972
2012,Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Forestry,,Value in Millions (VT),14.116141
2012,Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",Energy Department,,Value in Millions (VT),11.735
2012,Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",Environment Department,,Value in Millions (VT),1.364146
2012,Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",National Disaster Management Office,,Value in Millions (VT),10.770616
2012,Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",Vanuatu Meteorological Services,,Value in Millions (VT),31.731536
2012,Budget,Ministry of Cooperatives and Ni-Vanuatu Business Development Services,Ministry of Ni-Vanuatu Business Development & Coops Cabinet,,Value in Millions (VT),3.516855
2012,Budget,Ministry of Education & Training,Director General Directorate,,Value in Millions (VT),683.115659
2012,Budget,Ministry of Education & Training,Education Commissions and Councils,,Value in Millions (VT),101.768033
2012,Budget,Ministry of Education & Training,MoE Cabinet,,Value in Millions (VT),7.42093
2012,Budget,Ministry of Finance and Economic Management,Department of Customs and Inland Revenue,,Value in Millions (VT),120.504082
2012,Budget,Ministry of Finance and Economic Management,Department of Finance & Treasury,,Value in Millions (VT),3403.75633
2012,Budget,Ministry of Finance and Economic Management,Economic Research & Expenditure Analysis Unit,,Value in Millions (VT),6.870503
2012,Budget,Ministry of Finance and Economic Management,MFEM Cabinet,,Value in Millions (VT),8.737455
2012,Budget,Ministry of Finance and Economic Management,MFEM Corporate Services,,Value in Millions (VT),28.042253
2012,Budget,Ministry of Finance and Economic Management,National Statistics Office,,Value in Millions (VT),13.649275
2012,Budget,"Ministry of Foreign Affairs, International Cooperation and External Trade","Department of External Trade, Industry and Investment",,Value in Millions (VT),6.582347
2012,Budget,"Ministry of Foreign Affairs, International Cooperation and External Trade",Department of Foreign Affairs,,Value in Millions (VT),107.741288
2012,Budget,"Ministry of Foreign Affairs, International Cooperation and External Trade",Ministry of Foreign Affairs Cabinet,,Value in Millions (VT),8.237522
2012,Budget,Ministry of Health,Department of Health,,Value in Millions (VT),530.680561
2012,Budget,Ministry of Health,Health Cabinet,,Value in Millions (VT),17.750934
2012,Budget,Ministry of Infrastructure and Public Utilities,Civil Aviation Authority,,Value in Millions (VT),33.802113
2012,Budget,Ministry of Infrastructure and Public Utilities,Department of Ports and Harbours,,Value in Millions (VT),53.89883
2012,Budget,Ministry of Infrastructure and Public Utilities,Department of Public Works,,Value in Millions (VT),658.852262
2012,Budget,Ministry of Infrastructure and Public Utilities,MIPU Cabinet,,Value in Millions (VT),86.779967
2012,Budget,Ministry of Internal Affairs,Civil Registry Office,,Value in Millions (VT),1.957248
2012,Budget,Ministry of Internal Affairs,Department of Immigration,,Value in Millions (VT),22.549931
2012,Budget,Ministry of Internal Affairs,Department of Labour,,Value in Millions (VT),8.402215
2012,Budget,Ministry of Internal Affairs,Department of Provincial Affairs,,Value in Millions (VT),269.248329
2012,Budget,Ministry of Internal Affairs,Electoral Office,,Value in Millions (VT),130.905586
2012,Budget,Ministry of Internal Affairs,Internal Affairs Cabinet,,Value in Millions (VT),32.96097
2012,Budget,Ministry of Internal Affairs,Police Service Commission,,Value in Millions (VT),1.492232
2012,Budget,Ministry of Internal Affairs,Vanuatu Police Force,,Value in Millions (VT),179.554476
2012,Budget,Ministry of Justice and Social Welfare,Correctional Services,,Value in Millions (VT),194.482229
2012,Budget,Ministry of Justice and Social Welfare,Customary land management Office,,Value in Millions (VT),0.717498
2012,Budget,Ministry of Justice and Social Welfare,Department of Womens Affairs,,Value in Millions (VT),16.172572
2012,Budget,Ministry of Justice and Social Welfare,Ministry of Justice & Social Welfare Corporate Service Unit,,Value in Millions (VT),19.637872
2012,Budget,Ministry of Justice and Social Welfare,Ministry of Justice and Community Service,,Value in Millions (VT),10.141439
2012,Budget,Ministry of Justice and Social Welfare,Vanuatu Law Commission,,Value in Millions (VT),4.662163
2012,Budget,"Ministry of Lands, Mines & Water Resources",Cabinet Operations,,Value in Millions (VT),1.5
2012,Budget,"Ministry of Lands, Mines & Water Resources",Corporate Services,,Value in Millions (VT),55.275884
2012,Budget,"Ministry of Lands, Mines & Water Resources",Department of Geology and Mines,,Value in Millions (VT),6.748
2012,Budget,"Ministry of Lands, Mines & Water Resources",Department of Land Records,,Value in Millions (VT),1.949632
2012,Budget,"Ministry of Lands, Mines & Water Resources",Department of Land Survey,,Value in Millions (VT),1.5
2012,Budget,"Ministry of Lands, Mines & Water Resources",Department of Lands,,Value in Millions (VT),5.830571
2012,Budget,"Ministry of Lands, Mines & Water Resources",Valuer General,,Value in Millions (VT),1.441908
2012,Budget,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",Department of Cooperatives and Ni-Vanuatu Business Development,,Value in Millions (VT),17.568536
2012,Budget,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",Department of Industry,,Value in Millions (VT),4.877012
2012,Budget,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",Department of Tourism,,Value in Millions (VT),14.215254
2012,Budget,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business","Ministry of Commerce, Industry and Tourism Cabinet",,Value in Millions (VT),7.904087
2012,Budget,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",Trade and Ni Vanuatu Business Corporate Service Unit,,Value in Millions (VT),211.856522
2012,Budget,Ministry of Youth Development and Sports,Department of Youth and Sport,,Value in Millions (VT),82.996771
2012,Budget,Ministry of Youth Development and Sports,Ministry of Youth Development and Training,,Value in Millions (VT),2.82
2012,Budget,Prime Ministers Ministry,Department of Strategic Policy Cordination & Corporate Services,,Value in Millions (VT),16.082101
2012,Budget,Prime Ministers Ministry,Language Services Department,,Value in Millions (VT),1.641387
2012,Budget,Prime Ministers Ministry,Prime Ministers Cabinet,,Value in Millions (VT),67.881332
2013,Actual,Constitutional Agencies,Citizenship Office,,Value in Millions (VT),0.798969
2013,Actual,Constitutional Agencies,Judicial Services Commission,,Value in Millions (VT),-1.437911
2013,Actual,Constitutional Agencies,Judiciary,,Value in Millions (VT),83.49768
2013,Actual,Constitutional Agencies,Malvatumauri Council of Chiefs,,Value in Millions (VT),16.555651
2013,Actual,Constitutional Agencies,National Audit Office,,Value in Millions (VT),7.561565
2013,Actual,Constitutional Agencies,Office of the Ombudsman,,Value in Millions (VT),11.298749
2013,Actual,Constitutional Agencies,Parliament,,Value in Millions (VT),411.50549
2013,Actual,Constitutional Agencies,President of the Republic,,Value in Millions (VT),16.200482
2013,Actual,Constitutional Agencies,Public Prosecutor,,Value in Millions (VT),12.327433
2013,Actual,Constitutional Agencies,Public Service Commission,,Value in Millions (VT),30.243639
2013,Actual,Constitutional Agencies,Public Solicitor,,Value in Millions (VT),17.682925
2013,Actual,Constitutional Agencies,State Law Office,,Value in Millions (VT),10.609089
2013,Actual,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity","Agriculture, Quarantine, Forestry and Fisheries Cabinet",,Value in Millions (VT),12.171591
2013,Actual,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Agriculture,,Value in Millions (VT),51.568654
2013,Actual,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Biosecurity,,Value in Millions (VT),14.791819
2013,Actual,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Fisheries,,Value in Millions (VT),28.48631
2013,Actual,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Forestry,,Value in Millions (VT),9.737925
2013,Actual,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Livestock,,Value in Millions (VT),16.753282
2013,Actual,"Ministry of Civil Aviation, Meteorology and Postal Services",Civil Avation Cabinet,,Value in Millions (VT),3.570544
2013,Actual,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy","Climate Change Adaptation, Geohazards, Meteorology and Energy Cabinet",,Value in Millions (VT),8.844868
2013,Actual,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",Energy Department,,Value in Millions (VT),8.279459
2013,Actual,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",Environment Department,,Value in Millions (VT),0.693083
2013,Actual,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",National Disaster Management Office,,Value in Millions (VT),7.427369
2013,Actual,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",Vanuatu Meteorological Services,,Value in Millions (VT),39.145154
2013,Actual,Ministry of Cooperatives and Ni-Vanuatu Business Development Services,Ministry of Ni-Vanuatu Business Development & Coops Cabinet,,Value in Millions (VT),0.876169
2013,Actual,Ministry of Education & Training,Director General Directorate,,Value in Millions (VT),973.316937
2013,Actual,Ministry of Education & Training,Education Commissions and Councils,,Value in Millions (VT),100.380011
2013,Actual,Ministry of Education & Training,MoE Cabinet,,Value in Millions (VT),7.65599
