Year,Series,Province,Island,Language,SchoolName,Year Level,Gender,Achievement Level,Value
2021,English Literacy - Year 6,Torba,Toga,ENG,Bagavegug,6,Male,meeting minimum standard,7
2021,English Literacy - Year 6,Torba,Toga,ENG,Bagavegug,6,Female,meeting minimum standard,12
2021,English Literacy - Year 6,Torba,Toga,ENG,Bagavegug,6,Male,exceeding minimum standard,4
2021,English Literacy - Year 6,Torba,Toga,ENG,Bagavegug,6,Female,exceeding minimum standard,9
2021,Numeracy - Year 4,Torba,Toga,ENG,Bagavegug,4,Male,critically below minimum standard,5
2021,Numeracy - Year 4,Torba,Toga,ENG,Bagavegug,4,Female,critically below minimum standard,4
2021,Numeracy - Year 4,Torba,Toga,ENG,Bagavegug,4,Male,approaching minimum standard,5
2021,Numeracy - Year 4,Torba,Toga,ENG,Bagavegug,4,Female,approaching minimum standard,6
2021,Numeracy - Year 4,Torba,Toga,ENG,Bagavegug,4,Male,meeting minimum standard,2
2021,Numeracy - Year 4,Torba,Toga,ENG,Bagavegug,4,Female,meeting minimum standard,3
2021,Numeracy - Year 4,Torba,Toga,ENG,Bagavegug,4,Male,exceeding minimum standard,0
2021,Numeracy - Year 4,Torba,Toga,ENG,Bagavegug,4,Female,exceeding minimum standard,2
2021,Numeracy - Year 6,Torba,Toga,ENG,Bagavegug,6,Male,critically below minimum standard,2
2021,Numeracy - Year 6,Torba,Toga,ENG,Bagavegug,6,Female,critically below minimum standard,2
2021,Numeracy - Year 6,Torba,Toga,ENG,Bagavegug,6,Male,approaching minimum standard,4
2021,Numeracy - Year 6,Torba,Toga,ENG,Bagavegug,6,Female,approaching minimum standard,7
2021,Numeracy - Year 6,Torba,Toga,ENG,Bagavegug,6,Male,meeting minimum standard,8
2021,Numeracy - Year 6,Torba,Toga,ENG,Bagavegug,6,Female,meeting minimum standard,13
2021,Numeracy - Year 6,Torba,Toga,ENG,Bagavegug,6,Male,exceeding minimum standard,8
2021,Numeracy - Year 6,Torba,Toga,ENG,Bagavegug,6,Female,exceeding minimum standard,14
2021,Numeracy - Year 4,Torba,Vanua Lava,FRE,EcoledeNelson(Vatop),4,Male,meeting minimum standard,1
