Year,Series,Value
2016,Growth (%),76
2017,Growth (%),119
2018,Growth (%),115
2019,Growth (%),96
2020,Growth (%),133
2021,Growth (%),114
2022,Growth (%),91
2015,Value (million vatu),25255
2016,Value (million vatu),19212
2017,Value (million vatu),22910
2018,Value (million vatu),26422
2019,Value (million vatu),25447
2020,Value (million vatu),33833
2021,Value (million vatu),38451
2022,Value (million vatu),34949
