Year,Series,Major Industry,Minor Industry,Unit of measure,Value
2016,Total number,,"Electrical, plumbing and other construction installation activities",Total number of businesses,44
2016,Total number,,Event catering and other food service activities,Total number of businesses,12
2016,Total number,,Fishing,Total number of businesses,4
2016,Total number,,Gambling and betting activities,Total number of businesses,1
2016,Total number,,Growing of non-perennial crops,Total number of businesses,1
2016,Total number,,Growing of perennial crops,Total number of businesses,0
2016,Total number,,Higher education,Total number of businesses,5
2016,Total number,,Hospital activities,Total number of businesses,1
2016,Total number,,Inland water transport,Total number of businesses,0
2016,Total number,,Landscape care and maintenance service activities,Total number of businesses,9
2016,Total number,,Legal activities,Total number of businesses,25
2016,Total number,,"Libraries, archives, museums and other cultural activities",Total number of businesses,0
2016,Total number,,Logging,Total number of businesses,4
2016,Total number,,Maintenance and repair of motor vehicles,Total number of businesses,73
2016,Total number,,Management consultancy activities,Total number of businesses,82
2016,Total number,,"Manufacture of basic chemicals, fertilizers and nitrogen compounds, plastics and synthetic rubber in primary forms",Total number of businesses,1
2016,Total number,,Manufacture of basic iron and steel,Total number of businesses,6
2016,Total number,,Manufacture of beverages,Total number of businesses,12
2016,Total number,,Manufacture of dairy products,Total number of businesses,1
2016,Total number,,Manufacture of furniture,Total number of businesses,2
2016,Total number,,Manufacture of general-purpose machinery,Total number of businesses,1
2016,Total number,,Manufacture of knitted and crocheted apparel,Total number of businesses,1
2016,Total number,,Manufacture of non-metallic mineral products n.e.c.,Total number of businesses,7
2016,Total number,,Manufacture of other chemical products,Total number of businesses,13
2016,Total number,,Manufacture of other fabricated metal products; metalworking service activities,Total number of businesses,0
2016,Total number,,Manufacture of other food products,Total number of businesses,33
2016,Total number,,Manufacture of paper and paper products,Total number of businesses,4
2016,Total number,,"Manufacture of pharmaceuticals, medicinal chemical and botanical products",Total number of businesses,15
2016,Total number,,Manufacture of plastics products,Total number of businesses,1
2016,Total number,,Manufacture of prepared animal feeds,Total number of businesses,0
2016,Total number,,"Manufacture of products of wood, cork, straw and plaiting materials",Total number of businesses,20
2016,Total number,,Manufacture of refined petroleum products,Total number of businesses,1
2016,Total number,,Manufacture of rubber products,Total number of businesses,2
2016,Total number,,Manufacture of sports goods,Total number of businesses,0
2016,Total number,,"Manufacture of structural metal products, tanks, reservoirs and steam generators",Total number of businesses,5
2016,Total number,,Manufacture of vegetable and animal oils and fats,Total number of businesses,5
2016,Total number,,"Manufacture of wearing apparel, except fur apparel",Total number of businesses,12
2016,Total number,,Medical and dental practice activities,Total number of businesses,22
2016,Total number,,Mining and quarrying n.e.c.,Total number of businesses,2
2016,Total number,,Mixed farming,Total number of businesses,3
2016,Total number,,Monetary intermediation,Total number of businesses,5
2016,Total number,,"Motion picture, video and television programme activities",Total number of businesses,1
2016,Total number,,Non-specialized wholesale trade,Total number of businesses,3
2016,Total number,,Office administrative and support activities,Total number of businesses,13
2016,Total number,,Organization of conventions and trade shows,Total number of businesses,5
2016,Total number,,Other amusement and recreation activities,Total number of businesses,45
2016,Total number,,Other education,Total number of businesses,20
2016,Total number,,"Other financial service activities, except insurance and pension funding activities",Total number of businesses,57
2016,Total number,,Other human health activities,Total number of businesses,29
2016,Total number,,Other land transport,Total number of businesses,633
2016,Total number,,Other manufacturing n.e.c.,Total number of businesses,5
2016,Total number,,Other personal service activities,Total number of businesses,30
2016,Total number,,"Other professional, scientific and technical activities n.e.c.",Total number of businesses,124
2016,Total number,,Other reservation service and related activities,Total number of businesses,2
2016,Total number,,Other specialized construction activities,Total number of businesses,21
2016,Total number,,Other specialized wholesale,Total number of businesses,17
2016,Total number,,Other telecommunications activities,Total number of businesses,11
2016,Total number,,Passenger air transport,Total number of businesses,10
2016,Total number,,Photographic activities,Total number of businesses,19
2016,Total number,,Plant propagation,Total number of businesses,0
2016,Total number,,Postal activities,Total number of businesses,5
2016,Total number,,Pre-primary and primary education,Total number of businesses,12
2016,Total number,,Printing and service activities related to printing,Total number of businesses,16
2016,Total number,,Private security activities,Total number of businesses,35
2016,Total number,,"Processing and preserving of fish, crustaceans and molluscs",Total number of businesses,0
2016,Total number,,Processing and preserving of fruit and vegetables,Total number of businesses,1
2016,Total number,,Processing and preserving of meat,Total number of businesses,1
2016,Total number,,Provision of services to the community as a whole,Total number of businesses,0
2016,Total number,,"Publishing of books, periodicals and other publishing activities",Total number of businesses,5
2016,Total number,,"Quarrying of stone, sand and clay",Total number of businesses,6
2016,Total number,,Radio broadcasting,Total number of businesses,2
2016,Total number,,Real estate activities on a fee or contract basis,Total number of businesses,73
2016,Total number,,Real estate activities with own or leased property,Total number of businesses,8
2016,Total number,,Remediation activities and other waste management services,Total number of businesses,4
2016,Total number,,Renting and leasing of motor vehicles,Total number of businesses,31
2016,Total number,,"Renting and leasing of other machinery, equipment and tangible goods",Total number of businesses,46
2016,Total number,,Renting and leasing of personal and household goods,Total number of businesses,4
2016,Total number,,Repair of computers and communication equipment,Total number of businesses,18
2016,Total number,,"Repair of fabricated metal products, machinery and equipment",Total number of businesses,48
2016,Total number,,Repair of personal and household goods,Total number of businesses,13
2016,Total number,,Reproduction of recorded media,Total number of businesses,0
2016,Total number,,Restaurants and mobile food service activities,Total number of businesses,331
2016,Total number,,Retail sale in non-specialized stores,Total number of businesses,552
2016,Total number,,Retail sale of automotive fuel in specialized stores,Total number of businesses,21
2016,Total number,,Retail sale of cultural and recreation goods in specialized stores,Total number of businesses,12
2016,Total number,,"Retail sale of food, beverages and tobacco in specialized stores",Total number of businesses,24
2016,Total number,,Retail sale of information and communications equipment in specialized stores,Total number of businesses,16
2016,Total number,,Retail sale of other goods in specialized stores,Total number of businesses,281
2016,Total number,,Retail sale of other household equipment in specialized stores,Total number of businesses,51
2016,Total number,,Retail sale via stalls and markets,Total number of businesses,3
2016,Total number,,"Retail trade not in stores, stalls or markets",Total number of businesses,5
2016,Total number,,Sale of motor vehicle parts and accessories,Total number of businesses,19
2016,Total number,,Sale of motor vehicles,Total number of businesses,12
2016,Total number,,"Sale, maintenance and repair of motorcycles and related parts and accessories",Total number of businesses,10
2016,Total number,,Satellite telecommunications activities,Total number of businesses,8
2016,Total number,,Sawmilling and planing of wood,Total number of businesses,4
2016,Total number,,Sea and coastal water transport,Total number of businesses,52
2016,Total number,,Secondary education,Total number of businesses,0
2016,Total number,,Security systems service activities,Total number of businesses,0
2016,Total number,,Sewerage,Total number of businesses,1
2016,Total number,,Short term accommodation activities,Total number of businesses,126
2016,Total number,,Silviculture and other forestry activities,Total number of businesses,1
2016,Total number,,Sound recording and music publishing activities,Total number of businesses,1
2016,Total number,,Specialized design activities,Total number of businesses,6
2016,Total number,,"Spinning, weaving and finishing of textiles",Total number of businesses,0
2016,Total number,,Sports activities,Total number of businesses,14
2016,Total number,,Support activities for transportation,Total number of businesses,120
2016,Total number,,Support activities to agriculture and post-harvest crop activities,Total number of businesses,0
2016,Total number,,"Tanning and dressing of leather; manufacture of luggage, handbags, saddlery and harness; dressing and dyeing of fur",Total number of businesses,1
2016,Total number,,Television programming and broadcasting activities,Total number of businesses,5
2016,Total number,,Travel agency and tour operator activities,Total number of businesses,55
2016,Total number,,"Trusts, funds and similar financial entities",Total number of businesses,4
2016,Total number,,Veterinary activities,Total number of businesses,3
2016,Total number,,Warehousing and storage,Total number of businesses,9
2016,Total number,,Waste collection,Total number of businesses,3
2016,Total number,,Waste treatment and disposal,Total number of businesses,0
2016,Total number,,"Water collection, treatment and supply",Total number of businesses,4
2016,Total number,,Wholesale of agricultural raw materials and live animals,Total number of businesses,5
2016,Total number,,"Wholesale of food, beverages and tobacco",Total number of businesses,3
2016,Total number,,Wholesale of household goods,Total number of businesses,14
2016,Total number,,"Wholesale of machinery, equipment and supplies",Total number of businesses,3
2016,Total number,,Wired telecommunications activities,Total number of businesses,2
2016,Total number,,Wireless telecommunications activities,Total number of businesses,10
2017,Total number,,,Total number of businesses,4357
2017,Total number,,"Accounting, bookkeeping and auditing activities; tax consultancy",Total number of businesses,32
2017,Total number,,"Activities auxiliary to financial service activities, except insurance and pension funding",Total number of businesses,17
2017,Total number,,Activities auxiliary to insurance and pension funding,Total number of businesses,16
2017,Total number,,"Activities of business, employers and professional membership organizations",Total number of businesses,1
2017,Total number,,Activities of call centres,Total number of businesses,0
2017,Total number,,Activities of employment placement agencies,Total number of businesses,2
2017,Total number,,Activities of head offices,Total number of businesses,26
2017,Total number,,Advertising,Total number of businesses,16
2017,Total number,,Animal production,Total number of businesses,9
2017,Total number,,Architectural and engineering activities and related technical consultancy,Total number of businesses,35
2017,Total number,,Beverage serving activities,Total number of businesses,81
2017,Total number,,Building completion and finishing,Total number of businesses,2
2017,Total number,,Building of ships and boats,Total number of businesses,3
2017,Total number,,Business support service activities n.e.c.,Total number of businesses,11
2017,Total number,,Casting of metals,Total number of businesses,0
2017,Total number,,Cleaning activities,Total number of businesses,21
2017,Total number,,"Computer programming, consultancy and related activities",Total number of businesses,7
2017,Total number,,Construction of buildings,Total number of businesses,180
2017,Total number,,Construction of other civil engineering projects,Total number of businesses,3
2017,Total number,,Construction of roads and railways,Total number of businesses,15
2017,Total number,,Construction of utility projects,Total number of businesses,2
2017,Total number,,Courier activities,Total number of businesses,2
2017,Total number,,"Creative, arts and entertainment activities",Total number of businesses,9
2017,Total number,,"Data processing, hosting and related activities; web portals",Total number of businesses,2
2017,Total number,,Demolition and site preparation,Total number of businesses,4
2017,Total number,,"Electric power generation, transmission and distribution",Total number of businesses,7
2017,Total number,,"Electrical, plumbing and other construction installation activities",Total number of businesses,55
2017,Total number,,Event catering and other food service activities,Total number of businesses,15
2017,Total number,,Fishing,Total number of businesses,3
2017,Total number,,Gambling and betting activities,Total number of businesses,1
2017,Total number,,Growing of non-perennial crops,Total number of businesses,2
2017,Total number,,Growing of perennial crops,Total number of businesses,1
2017,Total number,,Higher education,Total number of businesses,6
2017,Total number,,Hospital activities,Total number of businesses,1
2017,Total number,,Inland water transport,Total number of businesses,0
2017,Total number,,Landscape care and maintenance service activities,Total number of businesses,11
2017,Total number,,Legal activities,Total number of businesses,33
2017,Total number,,"Libraries, archives, museums and other cultural activities",Total number of businesses,0
2017,Total number,,Logging,Total number of businesses,4
2017,Total number,,Maintenance and repair of motor vehicles,Total number of businesses,64
2017,Total number,,Management consultancy activities,Total number of businesses,91
2017,Total number,,"Manufacture of basic chemicals, fertilizers and nitrogen compounds, plastics and synthetic rubber in primary forms",Total number of businesses,1
2017,Total number,,Manufacture of basic iron and steel,Total number of businesses,6
2017,Total number,,Manufacture of beverages,Total number of businesses,9
2017,Total number,,Manufacture of dairy products,Total number of businesses,1
2017,Total number,,Manufacture of furniture,Total number of businesses,2
2017,Total number,,Manufacture of general-purpose machinery,Total number of businesses,1
2017,Total number,,Manufacture of knitted and crocheted apparel,Total number of businesses,1
2017,Total number,,Manufacture of non-metallic mineral products n.e.c.,Total number of businesses,9
2017,Total number,,Manufacture of other chemical products,Total number of businesses,14
2017,Total number,,Manufacture of other fabricated metal products; metalworking service activities,Total number of businesses,0
2017,Total number,,Manufacture of other food products,Total number of businesses,37
2017,Total number,,Manufacture of paper and paper products,Total number of businesses,1
2017,Total number,,"Manufacture of pharmaceuticals, medicinal chemical and botanical products",Total number of businesses,12
2017,Total number,,Manufacture of plastics products,Total number of businesses,1
2017,Total number,,Manufacture of prepared animal feeds,Total number of businesses,1
2017,Total number,,"Manufacture of products of wood, cork, straw and plaiting materials",Total number of businesses,20
2017,Total number,,Manufacture of refined petroleum products,Total number of businesses,2
2017,Total number,,Manufacture of rubber products,Total number of businesses,2
2017,Total number,,Manufacture of sports goods,Total number of businesses,0
2017,Total number,,"Manufacture of structural metal products, tanks, reservoirs and steam generators",Total number of businesses,5
2017,Total number,,Manufacture of vegetable and animal oils and fats,Total number of businesses,5
2017,Total number,,"Manufacture of wearing apparel, except fur apparel",Total number of businesses,10
2017,Total number,,Medical and dental practice activities,Total number of businesses,23
2017,Total number,,Mining and quarrying n.e.c.,Total number of businesses,2
2017,Total number,,Mixed farming,Total number of businesses,1
2017,Total number,,Monetary intermediation,Total number of businesses,4
2017,Total number,,"Motion picture, video and television programme activities",Total number of businesses,3
2017,Total number,,Non-specialized wholesale trade,Total number of businesses,3
2017,Total number,,Office administrative and support activities,Total number of businesses,12
2017,Total number,,Organization of conventions and trade shows,Total number of businesses,7
2017,Total number,,Other amusement and recreation activities,Total number of businesses,48
2017,Total number,,Other education,Total number of businesses,17
2017,Total number,,"Other financial service activities, except insurance and pension funding activities",Total number of businesses,60
2017,Total number,,Other human health activities,Total number of businesses,31
2017,Total number,,Other land transport,Total number of businesses,833
2017,Total number,,Other manufacturing n.e.c.,Total number of businesses,7
2017,Total number,,Other personal service activities,Total number of businesses,41
2017,Total number,,"Other professional, scientific and technical activities n.e.c.",Total number of businesses,129
2017,Total number,,Other reservation service and related activities,Total number of businesses,0
2017,Total number,,Other specialized construction activities,Total number of businesses,15
2017,Total number,,Other specialized wholesale,Total number of businesses,15
2017,Total number,,Other telecommunications activities,Total number of businesses,24
2017,Total number,,Passenger air transport,Total number of businesses,8
2017,Total number,,Photographic activities,Total number of businesses,17
2017,Total number,,Plant propagation,Total number of businesses,0
2017,Total number,,Postal activities,Total number of businesses,5
2017,Total number,,Pre-primary and primary education,Total number of businesses,12
2017,Total number,,Printing and service activities related to printing,Total number of businesses,17
2017,Total number,,Private security activities,Total number of businesses,34
2017,Total number,,"Processing and preserving of fish, crustaceans and molluscs",Total number of businesses,0
2017,Total number,,Processing and preserving of fruit and vegetables,Total number of businesses,1
2017,Total number,,Processing and preserving of meat,Total number of businesses,2
2017,Total number,,Provision of services to the community as a whole,Total number of businesses,0
2017,Total number,,"Publishing of books, periodicals and other publishing activities",Total number of businesses,6
2017,Total number,,"Quarrying of stone, sand and clay",Total number of businesses,7
2017,Total number,,Radio broadcasting,Total number of businesses,3
2017,Total number,,Real estate activities on a fee or contract basis,Total number of businesses,95
2017,Total number,,Real estate activities with own or leased property,Total number of businesses,9
2017,Total number,,Remediation activities and other waste management services,Total number of businesses,5
2017,Total number,,Renting and leasing of motor vehicles,Total number of businesses,37
2017,Total number,,"Renting and leasing of other machinery, equipment and tangible goods",Total number of businesses,48
2017,Total number,,Renting and leasing of personal and household goods,Total number of businesses,6
2017,Total number,,Repair of computers and communication equipment,Total number of businesses,18
2017,Total number,,"Repair of fabricated metal products, machinery and equipment",Total number of businesses,42
2017,Total number,,Repair of personal and household goods,Total number of businesses,15
2017,Total number,,Reproduction of recorded media,Total number of businesses,0
2017,Total number,,Restaurants and mobile food service activities,Total number of businesses,292
2017,Total number,,Retail sale in non-specialized stores,Total number of businesses,590
2017,Total number,,Retail sale of automotive fuel in specialized stores,Total number of businesses,21
2017,Total number,,Retail sale of cultural and recreation goods in specialized stores,Total number of businesses,11
2017,Total number,,"Retail sale of food, beverages and tobacco in specialized stores",Total number of businesses,44
2017,Total number,,Retail sale of information and communications equipment in specialized stores,Total number of businesses,17
2017,Total number,,Retail sale of other goods in specialized stores,Total number of businesses,206
2017,Total number,,Retail sale of other household equipment in specialized stores,Total number of businesses,45
2017,Total number,,Retail sale via stalls and markets,Total number of businesses,3
2017,Total number,,"Retail trade not in stores, stalls or markets",Total number of businesses,6
2017,Total number,,Sale of motor vehicle parts and accessories,Total number of businesses,14
2017,Total number,,Sale of motor vehicles,Total number of businesses,12
2017,Total number,,"Sale, maintenance and repair of motorcycles and related parts and accessories",Total number of businesses,14
2017,Total number,,Satellite telecommunications activities,Total number of businesses,6
2017,Total number,,Sawmilling and planing of wood,Total number of businesses,4
2017,Total number,,Sea and coastal water transport,Total number of businesses,40
2017,Total number,,Secondary education,Total number of businesses,1
2017,Total number,,Security systems service activities,Total number of businesses,4
2017,Total number,,Sewerage,Total number of businesses,0
2017,Total number,,Short term accommodation activities,Total number of businesses,140
2017,Total number,,Silviculture and other forestry activities,Total number of businesses,0
2017,Total number,,Sound recording and music publishing activities,Total number of businesses,2
2017,Total number,,Specialized design activities,Total number of businesses,5
2017,Total number,,"Spinning, weaving and finishing of textiles",Total number of businesses,0
2017,Total number,,Sports activities,Total number of businesses,13
2017,Total number,,Support activities for transportation,Total number of businesses,134
2017,Total number,,Support activities to agriculture and post-harvest crop activities,Total number of businesses,0
2017,Total number,,"Tanning and dressing of leather; manufacture of luggage, handbags, saddlery and harness; dressing and dyeing of fur",Total number of businesses,1
2017,Total number,,Television programming and broadcasting activities,Total number of businesses,5
2017,Total number,,Travel agency and tour operator activities,Total number of businesses,68
2017,Total number,,"Trusts, funds and similar financial entities",Total number of businesses,4
2017,Total number,,Veterinary activities,Total number of businesses,3
2017,Total number,,Warehousing and storage,Total number of businesses,8
2017,Total number,,Waste collection,Total number of businesses,4
2017,Total number,,Waste treatment and disposal,Total number of businesses,0
2017,Total number,,"Water collection, treatment and supply",Total number of businesses,5
2017,Total number,,Wholesale of agricultural raw materials and live animals,Total number of businesses,4
2017,Total number,,"Wholesale of food, beverages and tobacco",Total number of businesses,6
2017,Total number,,Wholesale of household goods,Total number of businesses,18
2017,Total number,,"Wholesale of machinery, equipment and supplies",Total number of businesses,3
2017,Total number,,Wired telecommunications activities,Total number of businesses,2
2017,Total number,,Wireless telecommunications activities,Total number of businesses,10
2018,Total number,,,Total number of businesses,4421
2018,Total number,,"Accounting, bookkeeping and auditing activities; tax consultancy",Total number of businesses,37
2018,Total number,,"Activities auxiliary to financial service activities, except insurance and pension funding",Total number of businesses,36
2018,Total number,,Activities auxiliary to insurance and pension funding,Total number of businesses,16
2018,Total number,,"Activities of business, employers and professional membership organizations",Total number of businesses,1
2018,Total number,,Activities of call centres,Total number of businesses,0
2018,Total number,,Activities of employment placement agencies,Total number of businesses,7
2018,Total number,,Activities of head offices,Total number of businesses,33
2018,Total number,,Advertising,Total number of businesses,14
2018,Total number,,Animal production,Total number of businesses,10
2018,Total number,,Architectural and engineering activities and related technical consultancy,Total number of businesses,36
2018,Total number,,Beverage serving activities,Total number of businesses,95
2018,Total number,,Building completion and finishing,Total number of businesses,3
2018,Total number,,Building of ships and boats,Total number of businesses,3
2018,Total number,,Business support service activities n.e.c.,Total number of businesses,17
2018,Total number,,Casting of metals,Total number of businesses,0
2018,Total number,,Cleaning activities,Total number of businesses,17
2018,Total number,,"Computer programming, consultancy and related activities",Total number of businesses,7
2018,Total number,,Construction of buildings,Total number of businesses,158
2018,Total number,,Construction of other civil engineering projects,Total number of businesses,2
2018,Total number,,Construction of roads and railways,Total number of businesses,20
2018,Total number,,Construction of utility projects,Total number of businesses,2
2018,Total number,,Courier activities,Total number of businesses,1
2018,Total number,,"Creative, arts and entertainment activities",Total number of businesses,8
2018,Total number,,"Data processing, hosting and related activities; web portals",Total number of businesses,2
2018,Total number,,Demolition and site preparation,Total number of businesses,6
2018,Total number,,"Electric power generation, transmission and distribution",Total number of businesses,6
2018,Total number,,"Electrical, plumbing and other construction installation activities",Total number of businesses,52
2018,Total number,,Event catering and other food service activities,Total number of businesses,18
2018,Total number,,Fishing,Total number of businesses,2
2018,Total number,,Gambling and betting activities,Total number of businesses,1
2018,Total number,,Growing of non-perennial crops,Total number of businesses,1
2018,Total number,,Growing of perennial crops,Total number of businesses,1
2018,Total number,,Higher education,Total number of businesses,5
2018,Total number,,Hospital activities,Total number of businesses,1
2018,Total number,,Inland water transport,Total number of businesses,0
2018,Total number,,Landscape care and maintenance service activities,Total number of businesses,8
2018,Total number,,Legal activities,Total number of businesses,33
2018,Total number,,"Libraries, archives, museums and other cultural activities",Total number of businesses,0
2018,Total number,,Logging,Total number of businesses,3
2018,Total number,,Maintenance and repair of motor vehicles,Total number of businesses,75
2018,Total number,,Management consultancy activities,Total number of businesses,105
2018,Total number,,"Manufacture of basic chemicals, fertilizers and nitrogen compounds, plastics and synthetic rubber in primary forms",Total number of businesses,1
2018,Total number,,Manufacture of basic iron and steel,Total number of businesses,6
2018,Total number,,Manufacture of beverages,Total number of businesses,9
2018,Total number,,Manufacture of dairy products,Total number of businesses,1
2018,Total number,,Manufacture of furniture,Total number of businesses,3
2018,Total number,,Manufacture of general-purpose machinery,Total number of businesses,1
2018,Total number,,Manufacture of knitted and crocheted apparel,Total number of businesses,0
2018,Total number,,Manufacture of non-metallic mineral products n.e.c.,Total number of businesses,14
2018,Total number,,Manufacture of other chemical products,Total number of businesses,12
2018,Total number,,Manufacture of other fabricated metal products; metalworking service activities,Total number of businesses,1
2018,Total number,,Manufacture of other food products,Total number of businesses,37
2018,Total number,,Manufacture of paper and paper products,Total number of businesses,1
2018,Total number,,"Manufacture of pharmaceuticals, medicinal chemical and botanical products",Total number of businesses,10
2018,Total number,,Manufacture of plastics products,Total number of businesses,1
2018,Total number,,Manufacture of prepared animal feeds,Total number of businesses,0
2018,Total number,,"Manufacture of products of wood, cork, straw and plaiting materials",Total number of businesses,25
2018,Total number,,Manufacture of refined petroleum products,Total number of businesses,0
2018,Total number,,Manufacture of rubber products,Total number of businesses,2
2018,Total number,,Manufacture of sports goods,Total number of businesses,0
2018,Total number,,"Manufacture of structural metal products, tanks, reservoirs and steam generators",Total number of businesses,4
2018,Total number,,Manufacture of vegetable and animal oils and fats,Total number of businesses,8
2018,Total number,,"Manufacture of wearing apparel, except fur apparel",Total number of businesses,16
2018,Total number,,Medical and dental practice activities,Total number of businesses,20
2018,Total number,,Mining and quarrying n.e.c.,Total number of businesses,3
2018,Total number,,Mixed farming,Total number of businesses,1
2018,Total number,,Monetary intermediation,Total number of businesses,5
2018,Total number,,"Motion picture, video and television programme activities",Total number of businesses,3
2018,Total number,,Non-specialized wholesale trade,Total number of businesses,16
2018,Total number,,Office administrative and support activities,Total number of businesses,8
2018,Total number,,Organization of conventions and trade shows,Total number of businesses,4
2018,Total number,,Other amusement and recreation activities,Total number of businesses,58
2018,Total number,,Other education,Total number of businesses,16
2018,Total number,,"Other financial service activities, except insurance and pension funding activities",Total number of businesses,65
2018,Total number,,Other human health activities,Total number of businesses,32
2018,Total number,,Other land transport,Total number of businesses,565
2018,Total number,,Other manufacturing n.e.c.,Total number of businesses,7
2018,Total number,,Other personal service activities,Total number of businesses,51
2018,Total number,,"Other professional, scientific and technical activities n.e.c.",Total number of businesses,142
2018,Total number,,Other reservation service and related activities,Total number of businesses,0
2018,Total number,,Other specialized construction activities,Total number of businesses,12
2018,Total number,,Other specialized wholesale,Total number of businesses,16
2018,Total number,,Other telecommunications activities,Total number of businesses,17
2018,Total number,,Passenger air transport,Total number of businesses,11
2018,Total number,,Photographic activities,Total number of businesses,20
2018,Total number,,Plant propagation,Total number of businesses,0
2018,Total number,,Postal activities,Total number of businesses,6
2018,Total number,,Pre-primary and primary education,Total number of businesses,18
2018,Total number,,Printing and service activities related to printing,Total number of businesses,21
2018,Total number,,Private security activities,Total number of businesses,23
2018,Total number,,"Processing and preserving of fish, crustaceans and molluscs",Total number of businesses,0
2018,Total number,,Processing and preserving of fruit and vegetables,Total number of businesses,1
2018,Total number,,Processing and preserving of meat,Total number of businesses,4
2018,Total number,,Provision of services to the community as a whole,Total number of businesses,1
2018,Total number,,"Publishing of books, periodicals and other publishing activities",Total number of businesses,3
2018,Total number,,"Quarrying of stone, sand and clay",Total number of businesses,15
2018,Total number,,Radio broadcasting,Total number of businesses,2
2018,Total number,,Real estate activities on a fee or contract basis,Total number of businesses,94
2018,Total number,,Real estate activities with own or leased property,Total number of businesses,8
2018,Total number,,Remediation activities and other waste management services,Total number of businesses,4
2018,Total number,,Renting and leasing of motor vehicles,Total number of businesses,38
2018,Total number,,"Renting and leasing of other machinery, equipment and tangible goods",Total number of businesses,46
2018,Total number,,Renting and leasing of personal and household goods,Total number of businesses,4
2018,Total number,,Repair of computers and communication equipment,Total number of businesses,20
2018,Total number,,"Repair of fabricated metal products, machinery and equipment",Total number of businesses,51
2018,Total number,,Repair of personal and household goods,Total number of businesses,16
2018,Total number,,Reproduction of recorded media,Total number of businesses,0
2018,Total number,,Restaurants and mobile food service activities,Total number of businesses,273
2018,Total number,,Retail sale in non-specialized stores,Total number of businesses,621
2018,Total number,,Retail sale of automotive fuel in specialized stores,Total number of businesses,26
2018,Total number,,Retail sale of cultural and recreation goods in specialized stores,Total number of businesses,11
2018,Total number,,"Retail sale of food, beverages and tobacco in specialized stores",Total number of businesses,37
2018,Total number,,Retail sale of information and communications equipment in specialized stores,Total number of businesses,16
2018,Total number,,Retail sale of other goods in specialized stores,Total number of businesses,337
2018,Total number,,Retail sale of other household equipment in specialized stores,Total number of businesses,45
2018,Total number,,Retail sale via stalls and markets,Total number of businesses,6
2018,Total number,,"Retail trade not in stores, stalls or markets",Total number of businesses,9
2018,Total number,,Sale of motor vehicle parts and accessories,Total number of businesses,16
2018,Total number,,Sale of motor vehicles,Total number of businesses,11
2018,Total number,,"Sale, maintenance and repair of motorcycles and related parts and accessories",Total number of businesses,21
2018,Total number,,Satellite telecommunications activities,Total number of businesses,6
2018,Total number,,Sawmilling and planing of wood,Total number of businesses,3
2018,Total number,,Sea and coastal water transport,Total number of businesses,50
2018,Total number,,Secondary education,Total number of businesses,1
2018,Total number,,Security systems service activities,Total number of businesses,4
2018,Total number,,Sewerage,Total number of businesses,0
2018,Total number,,Short term accommodation activities,Total number of businesses,138
2018,Total number,,Silviculture and other forestry activities,Total number of businesses,0
2018,Total number,,Sound recording and music publishing activities,Total number of businesses,1
2018,Total number,,Specialized design activities,Total number of businesses,7
2018,Total number,,"Spinning, weaving and finishing of textiles",Total number of businesses,2
2018,Total number,,Sports activities,Total number of businesses,11
2018,Total number,,Support activities for transportation,Total number of businesses,149
2018,Total number,,Support activities to agriculture and post-harvest crop activities,Total number of businesses,2
2018,Total number,,"Tanning and dressing of leather; manufacture of luggage, handbags, saddlery and harness; dressing and dyeing of fur",Total number of businesses,1
2018,Total number,,Television programming and broadcasting activities,Total number of businesses,5
2018,Total number,,Travel agency and tour operator activities,Total number of businesses,99
2018,Total number,,"Trusts, funds and similar financial entities",Total number of businesses,6
2018,Total number,,Veterinary activities,Total number of businesses,2
2018,Total number,,Warehousing and storage,Total number of businesses,12
2018,Total number,,Waste collection,Total number of businesses,2
2018,Total number,,Waste treatment and disposal,Total number of businesses,0
2018,Total number,,"Water collection, treatment and supply",Total number of businesses,4
2018,Total number,,Wholesale of agricultural raw materials and live animals,Total number of businesses,6
2018,Total number,,"Wholesale of food, beverages and tobacco",Total number of businesses,5
2018,Total number,,Wholesale of household goods,Total number of businesses,20
2018,Total number,,"Wholesale of machinery, equipment and supplies",Total number of businesses,5
2018,Total number,,Wired telecommunications activities,Total number of businesses,1
2018,Total number,,Wireless telecommunications activities,Total number of businesses,9
2019,Total number,,,Total number of businesses,4615
2019,Total number,,"Accounting, bookkeeping and auditing activities; tax consultancy",Total number of businesses,37
2019,Total number,,"Activities auxiliary to financial service activities, except insurance and pension funding",Total number of businesses,25
2019,Total number,,Activities auxiliary to insurance and pension funding,Total number of businesses,12
2019,Total number,,"Activities of business, employers and professional membership organizations",Total number of businesses,1
2019,Total number,,Activities of call centres,Total number of businesses,0
2019,Total number,,Activities of employment placement agencies,Total number of businesses,9
2019,Total number,,Activities of head offices,Total number of businesses,29
2019,Total number,,Advertising,Total number of businesses,17
2019,Total number,,Animal production,Total number of businesses,8
2019,Total number,,Architectural and engineering activities and related technical consultancy,Total number of businesses,41
2019,Total number,,Beverage serving activities,Total number of businesses,99
2019,Total number,,Building completion and finishing,Total number of businesses,1
2019,Total number,,Building of ships and boats,Total number of businesses,1
2019,Total number,,Business support service activities n.e.c.,Total number of businesses,16
2019,Total number,,Casting of metals,Total number of businesses,0
2019,Total number,,Cleaning activities,Total number of businesses,21
2019,Total number,,"Computer programming, consultancy and related activities",Total number of businesses,10
2019,Total number,,Construction of buildings,Total number of businesses,183
2019,Total number,,Construction of other civil engineering projects,Total number of businesses,3
