Year,Series,Major Industry,Minor Industry,Unit of measure,Value
2017,Proportion,"Electricity, gas, steam and air conditioning supply",,Percentage of industry (%),0
2017,Proportion,Financial and insurance activities,,Percentage of industry (%),2
2017,Proportion,Human health and social work activities,,Percentage of industry (%),1
2017,Proportion,Information and communication,,Percentage of industry (%),2
2017,Proportion,Manufacturing,,Percentage of industry (%),5
2017,Proportion,Mining and quarrying,,Percentage of industry (%),0
2017,Proportion,Other service activities,,Percentage of industry (%),2
2017,Proportion,"Professional, scientific and technical activities",,Percentage of industry (%),9
2017,Proportion,Public administration and defence; compulsory social security,,Percentage of industry (%),0
2017,Proportion,Real estate activities,,Percentage of industry (%),2
2017,Proportion,Transportation and storage,,Percentage of industry (%),24
2017,Proportion,"Water supply; sewerage, waste management and remediation activities",,Percentage of industry (%),0
2017,Proportion,Wholesale and retail trade; repair of motor vehicles and motorcycles,,Percentage of industry (%),25
2018,Total number,,,Total number of businesses,4421
2018,Total number,Accommodation and food service activities,,Total number of businesses,524
2018,Total number,Administrative and support service activities,,Total number of businesses,275
2018,Total number,"Agriculture, forestry and fishing",,Total number of businesses,20
2018,Total number,"Arts, entertainment and recreation",,Total number of businesses,78
2018,Total number,Construction,,Total number of businesses,255
2018,Total number,Education,,Total number of businesses,40
2018,Total number,"Electricity, gas, steam and air conditioning supply",,Total number of businesses,6
2018,Total number,Financial and insurance activities,,Total number of businesses,128
2018,Total number,Human health and social work activities,,Total number of businesses,53
2018,Total number,Information and communication,,Total number of businesses,56
2018,Total number,Manufacturing,,Total number of businesses,245
2018,Total number,Mining and quarrying,,Total number of businesses,18
2018,Total number,Other service activities,,Total number of businesses,88
2018,Total number,"Professional, scientific and technical activities",,Total number of businesses,429
2018,Total number,Public administration and defence; compulsory social security,,Total number of businesses,1
2018,Total number,Real estate activities,,Total number of businesses,102
2018,Total number,Transportation and storage,,Total number of businesses,794
2018,Total number,"Water supply; sewerage, waste management and remediation activities",,Total number of businesses,10
2018,Total number,Wholesale and retail trade; repair of motor vehicles and motorcycles,,Total number of businesses,1299
2018,Proportion,Accommodation and food service activities,,Percentage of industry (%),12
2018,Proportion,Administrative and support service activities,,Percentage of industry (%),6
2018,Proportion,"Agriculture, forestry and fishing",,Percentage of industry (%),0
2018,Proportion,"Arts, entertainment and recreation",,Percentage of industry (%),2
2018,Proportion,Construction,,Percentage of industry (%),6
2018,Proportion,Education,,Percentage of industry (%),1
2018,Proportion,"Electricity, gas, steam and air conditioning supply",,Percentage of industry (%),0
2018,Proportion,Financial and insurance activities,,Percentage of industry (%),3
2018,Proportion,Human health and social work activities,,Percentage of industry (%),1
2018,Proportion,Information and communication,,Percentage of industry (%),1
2018,Proportion,Manufacturing,,Percentage of industry (%),6
2018,Proportion,Mining and quarrying,,Percentage of industry (%),0
2018,Proportion,Other service activities,,Percentage of industry (%),2
2018,Proportion,"Professional, scientific and technical activities",,Percentage of industry (%),10
2018,Proportion,Public administration and defence; compulsory social security,,Percentage of industry (%),0
2018,Proportion,Real estate activities,,Percentage of industry (%),2
2018,Proportion,Transportation and storage,,Percentage of industry (%),18
2018,Proportion,"Water supply; sewerage, waste management and remediation activities",,Percentage of industry (%),0
2018,Proportion,Wholesale and retail trade; repair of motor vehicles and motorcycles,,Percentage of industry (%),29
2019,Total number,,,Total number of businesses,4615
2019,Total number,Accommodation and food service activities,,Total number of businesses,569
2019,Total number,Administrative and support service activities,,Total number of businesses,320
2019,Total number,"Agriculture, forestry and fishing",,Total number of businesses,20
2019,Total number,"Arts, entertainment and recreation",,Total number of businesses,70
2019,Total number,Construction,,Total number of businesses,288
2019,Total number,Education,,Total number of businesses,50
2019,Total number,"Electricity, gas, steam and air conditioning supply",,Total number of businesses,6
2019,Total number,Financial and insurance activities,,Total number of businesses,117
2019,Total number,Human health and social work activities,,Total number of businesses,66
2019,Total number,Information and communication,,Total number of businesses,71
2019,Total number,Manufacturing,,Total number of businesses,253
2019,Total number,Mining and quarrying,,Total number of businesses,21
2019,Total number,Other service activities,,Total number of businesses,77
2019,Total number,"Professional, scientific and technical activities",,Total number of businesses,447
2019,Total number,Public administration and defence; compulsory social security,,Total number of businesses,3
2019,Total number,Real estate activities,,Total number of businesses,126
2019,Total number,Transportation and storage,,Total number of businesses,733
2019,Total number,"Water supply; sewerage, waste management and remediation activities",,Total number of businesses,11
2019,Total number,Wholesale and retail trade; repair of motor vehicles and motorcycles,,Total number of businesses,1367
2019,Proportion,Accommodation and food service activities,,Percentage of industry (%),12
2019,Proportion,Administrative and support service activities,,Percentage of industry (%),7
2019,Proportion,"Agriculture, forestry and fishing",,Percentage of industry (%),0
2019,Proportion,"Arts, entertainment and recreation",,Percentage of industry (%),2
2019,Proportion,Construction,,Percentage of industry (%),6
2019,Proportion,Education,,Percentage of industry (%),1
2019,Proportion,"Electricity, gas, steam and air conditioning supply",,Percentage of industry (%),0
2019,Proportion,Financial and insurance activities,,Percentage of industry (%),3
2019,Proportion,Human health and social work activities,,Percentage of industry (%),1
2019,Proportion,Information and communication,,Percentage of industry (%),2
2019,Proportion,Manufacturing,,Percentage of industry (%),5
2019,Proportion,Mining and quarrying,,Percentage of industry (%),0
2019,Proportion,Other service activities,,Percentage of industry (%),2
