Year,Series,Major Industry,Unit of Measure,Value
2017,Total value,Accommodation and food service activities,Vatu in millions (VUV),          6556 
2017,Total value,Administrative and support service activities,Vatu in millions (VUV),          4555 
2017,Total value,Agriculture forestry and fishing,Vatu in millions (VUV),          1434 
2017,Total value,Arts entertainment and recreation,Vatu in millions (VUV),             436 
2017,Total value,Construction,Vatu in millions (VUV),          3813 
2017,Total value,Education,Vatu in millions (VUV),               15 
2017,Total value,Electricity gas steam and air conditioning supply,Vatu in millions (VUV),          3845 
2017,Total value,Financial and insurance activities,Vatu in millions (VUV),          1897 
2017,Total value,Human health and social work activities,Vatu in millions (VUV),             187 
2017,Total value,Information and communication,Vatu in millions (VUV),          6038 
2017,Total value,Manufacturing,Vatu in millions (VUV),          4577 
2017,Total value,Mining and quarrying,Vatu in millions (VUV),             723 
2017,Total value,Other service activities,Vatu in millions (VUV),               30 
2017,Total value,Professional scientific and technical activities,Vatu in millions (VUV),          1437 
2017,Total value,Public administration and defence; compulsory social security,Vatu in millions (VUV),        18076 
2017,Total value,Real estate activities,Vatu in millions (VUV),          1015 
2017,Total value,Transportation and storage,Vatu in millions (VUV),          7469 
2017,Total value,Water supply; sewerage waste management and remediation activities,Vatu in millions (VUV),             108 
2017,Total value,Wholesale and retail trade; repair of motor vehicles and motorcycles,Vatu in millions (VUV),        51118 
2017,Total value,Not available,Vatu in millions (VUV),      206708 
2017,Proportion,Accommodation and food service activities,Percentage of industry (%),                 2 
2017,Proportion,Administrative and support service activities,Percentage of industry (%),                 1 
2017,Proportion,Agriculture forestry and fishing,Percentage of industry (%),                 0 
2017,Proportion,Arts entertainment and recreation,Percentage of industry (%),                 0 
2017,Proportion,Construction,Percentage of industry (%),                 1 
2017,Proportion,Education,Percentage of industry (%),                 0 
2017,Proportion,Electricity gas steam and air conditioning supply,Percentage of industry (%),                 1 
2017,Proportion,Financial and insurance activities,Percentage of industry (%),                 1 
2017,Proportion,Human health and social work activities,Percentage of industry (%),                 0 
2017,Proportion,Information and communication,Percentage of industry (%),                 2 
2017,Proportion,Manufacturing,Percentage of industry (%),                 1 
2017,Proportion,Mining and quarrying,Percentage of industry (%),                 0 
2017,Proportion,Other service activities,Percentage of industry (%),                 0 
2017,Proportion,Professional scientific and technical activities,Percentage of industry (%),                 0 
2017,Proportion,Public administration and defence; compulsory social security,Percentage of industry (%),                 6 
2017,Proportion,Real estate activities,Percentage of industry (%),                 0 
2017,Proportion,Transportation and storage,Percentage of industry (%),                 2 
2017,Proportion,Water supply; sewerage waste management and remediation activities,Percentage of industry (%),                 0 
2017,Proportion,Wholesale and retail trade; repair of motor vehicles and motorcycles,Percentage of industry (%),               16 
2017,Proportion,Not available,Percentage of industry (%),               65 
2018,Total value,,Vatu in millions (VUV),      336438 
2018,Total value,Accommodation and food service activities,Vatu in millions (VUV),          6246 
2018,Total value,Administrative and support service activities,Vatu in millions (VUV),          4332 
2018,Total value,Agriculture forestry and fishing,Vatu in millions (VUV),          1286 
2018,Total value,Arts entertainment and recreation,Vatu in millions (VUV),             426 
2018,Total value,Construction,Vatu in millions (VUV),          3547 
2018,Total value,Education,Vatu in millions (VUV),               15 
2018,Total value,Electricity gas steam and air conditioning supply,Vatu in millions (VUV),          4138 
2018,Total value,Financial and insurance activities,Vatu in millions (VUV),          1821 
2018,Total value,Human health and social work activities,Vatu in millions (VUV),             194 
2018,Total value,Information and communication,Vatu in millions (VUV),          6123 
2018,Total value,Manufacturing,Vatu in millions (VUV),          4441 
2018,Total value,Mining and quarrying,Vatu in millions (VUV),             713 
2018,Total value,Other service activities,Vatu in millions (VUV),               23 
2018,Total value,Professional scientific and technical activities,Vatu in millions (VUV),          1171 
2018,Total value,Public administration and defence; compulsory social security,Vatu in millions (VUV),        21218 
2018,Total value,Real estate activities,Vatu in millions (VUV),             971 
2018,Total value,Transportation and storage,Vatu in millions (VUV),          6827 
2018,Total value,Water supply; sewerage waste management and remediation activities,Vatu in millions (VUV),             119 
2018,Total value,Wholesale and retail trade; repair of motor vehicles and motorcycles,Vatu in millions (VUV),        41365 
2018,Total value,Not available,Vatu in millions (VUV),      231463 
2018,Proportion,Accommodation and food service activities,Percentage of industry (%),                 2 
2018,Proportion,Administrative and support service activities,Percentage of industry (%),                 1 
2018,Proportion,Agriculture forestry and fishing,Percentage of industry (%),                 0 
2018,Proportion,Arts entertainment and recreation,Percentage of industry (%),                 0 
2018,Proportion,Construction,Percentage of industry (%),                 1 
2018,Proportion,Education,Percentage of industry (%),                 0 
2018,Proportion,Electricity gas steam and air conditioning supply,Percentage of industry (%),                 1 
2018,Proportion,Financial and insurance activities,Percentage of industry (%),                 1 
2018,Proportion,Human health and social work activities,Percentage of industry (%),                 0 
2018,Proportion,Information and communication,Percentage of industry (%),                 2 
2018,Proportion,Manufacturing,Percentage of industry (%),                 1 
2018,Proportion,Mining and quarrying,Percentage of industry (%),                 0 
2018,Proportion,Other service activities,Percentage of industry (%),                 0 
2018,Proportion,Professional scientific and technical activities,Percentage of industry (%),                 0 
2018,Proportion,Public administration and defence; compulsory social security,Percentage of industry (%),                 6 
2018,Proportion,Real estate activities,Percentage of industry (%),                 0 
2018,Proportion,Transportation and storage,Percentage of industry (%),                 2 
2018,Proportion,Water supply; sewerage waste management and remediation activities,Percentage of industry (%),                 0 
2018,Proportion,Wholesale and retail trade; repair of motor vehicles and motorcycles,Percentage of industry (%),               12 
2018,Proportion,Not available,Percentage of industry (%),               69 
2019,Total value,,Vatu in millions (VUV),      352346 
2019,Total value,Accommodation and food service activities,Vatu in millions (VUV),          6876 
2019,Total value,Administrative and support service activities,Vatu in millions (VUV),          4185 
2019,Total value,Agriculture forestry and fishing,Vatu in millions (VUV),          1514 
2019,Total value,Arts entertainment and recreation,Vatu in millions (VUV),             480 
2019,Total value,Construction,Vatu in millions (VUV),          3686 
2019,Total value,Education,Vatu in millions (VUV),               18 
2019,Total value,Electricity gas steam and air conditioning supply,Vatu in millions (VUV),          4132 
2019,Total value,Financial and insurance activities,Vatu in millions (VUV),          1840 
2019,Total value,Human health and social work activities,Vatu in millions (VUV),             216 
2019,Total value,Information and communication,Vatu in millions (VUV),          6248 
2019,Total value,Manufacturing,Vatu in millions (VUV),          4652 
2019,Total value,Mining and quarrying,Vatu in millions (VUV),             795 
2019,Total value,Other service activities,Vatu in millions (VUV),               25 
2019,Total value,Professional scientific and technical activities,Vatu in millions (VUV),          1186 
2019,Total value,Public administration and defence; compulsory social security,Vatu in millions (VUV),        17241 
2019,Total value,Real estate activities,Vatu in millions (VUV),          1048 
2019,Total value,Transportation and storage,Vatu in millions (VUV),          7835 
2019,Total value,Water supply; sewerage waste management and remediation activities,Vatu in millions (VUV),               74 
2019,Total value,Wholesale and retail trade; repair of motor vehicles and motorcycles,Vatu in millions (VUV),        43188 
2019,Total value,Not available,Vatu in millions (VUV),      247109 
2019,Proportion,Accommodation and food service activities,Percentage of industry (%),                 2 
2019,Proportion,Administrative and support service activities,Percentage of industry (%),                 1 
2019,Proportion,Agriculture forestry and fishing,Percentage of industry (%),                 0 
2019,Proportion,Arts entertainment and recreation,Percentage of industry (%),                 0 
2019,Proportion,Construction,Percentage of industry (%),                 1 
2019,Proportion,Education,Percentage of industry (%),                 0 
2019,Proportion,Electricity gas steam and air conditioning supply,Percentage of industry (%),                 1 
2019,Proportion,Financial and insurance activities,Percentage of industry (%),                 1 
2019,Proportion,Human health and social work activities,Percentage of industry (%),                 0 
2019,Proportion,Information and communication,Percentage of industry (%),                 2 
2019,Proportion,Manufacturing,Percentage of industry (%),                 1 
2019,Proportion,Mining and quarrying,Percentage of industry (%),                 0 
2019,Proportion,Other service activities,Percentage of industry (%),                 0 
2019,Proportion,Professional scientific and technical activities,Percentage of industry (%),                 0 
2019,Proportion,Public administration and defence; compulsory social security,Percentage of industry (%),                 5 
2019,Proportion,Real estate activities,Percentage of industry (%),                 0 
2019,Proportion,Transportation and storage,Percentage of industry (%),                 2 
2019,Proportion,Water supply; sewerage waste management and remediation activities,Percentage of industry (%),                 0 
2019,Proportion,Wholesale and retail trade; repair of motor vehicles and motorcycles,Percentage of industry (%),               12 
2019,Proportion,Not available,Percentage of industry (%),               70 
2020,Total value,,Vatu in millions (VUV),      310901 
2020,Total value,Accommodation and food service activities,Vatu in millions (VUV),          3017 
2020,Total value,Administrative and support service activities,Vatu in millions (VUV),          3101 
2020,Total value,Agriculture forestry and fishing,Vatu in millions (VUV),          1309 
2020,Total value,Arts entertainment and recreation,Vatu in millions (VUV),             397 
2020,Total value,Construction,Vatu in millions (VUV),          4156 
2020,Total value,Education,Vatu in millions (VUV),               13 
2020,Total value,Electricity gas steam and air conditioning supply,Vatu in millions (VUV),          3698 
2020,Total value,Financial and insurance activities,Vatu in millions (VUV),          1690 
2020,Total value,Human health and social work activities,Vatu in millions (VUV),             181 
2020,Total value,Information and communication,Vatu in millions (VUV),          6806 
2020,Total value,Manufacturing,Vatu in millions (VUV),          4134 
2020,Total value,Mining and quarrying,Vatu in millions (VUV),             616 
2020,Total value,Other service activities,Vatu in millions (VUV),               24 
2020,Total value,Professional scientific and technical activities,Vatu in millions (VUV),          1021 
2020,Total value,Public administration and defence; compulsory social security,Vatu in millions (VUV),        16776 
2020,Total value,Real estate activities,Vatu in millions (VUV),             809 
2020,Total value,Transportation and storage,Vatu in millions (VUV),          4691 
2020,Total value,Water supply; sewerage waste management and remediation activities,Vatu in millions (VUV),                 3 
2020,Total value,Wholesale and retail trade; repair of motor vehicles and motorcycles,Vatu in millions (VUV),        36646 
2020,Total value,Not available,Vatu in millions (VUV),      221811 
2020,Proportion,Accommodation and food service activities,Percentage of industry (%),                 1 
2020,Proportion,Administrative and support service activities,Percentage of industry (%),                 1 
2020,Proportion,Agriculture forestry and fishing,Percentage of industry (%),                 0 
2020,Proportion,Arts entertainment and recreation,Percentage of industry (%),                 0 
2020,Proportion,Construction,Percentage of industry (%),                 1 
2020,Proportion,Education,Percentage of industry (%),                 0 
2020,Proportion,Electricity gas steam and air conditioning supply,Percentage of industry (%),                 1 
2020,Proportion,Financial and insurance activities,Percentage of industry (%),                 1 
2020,Proportion,Human health and social work activities,Percentage of industry (%),                 0 
2020,Proportion,Information and communication,Percentage of industry (%),                 2 
2020,Proportion,Manufacturing,Percentage of industry (%),                 1 
2020,Proportion,Mining and quarrying,Percentage of industry (%),                 0 
2020,Proportion,Other service activities,Percentage of industry (%),                 0 
2020,Proportion,Professional scientific and technical activities,Percentage of industry (%),                 0 
2020,Proportion,Public administration and defence; compulsory social security,Percentage of industry (%),                 5 
2020,Proportion,Real estate activities,Percentage of industry (%),                 0 
2020,Proportion,Transportation and storage,Percentage of industry (%),                 2 
2020,Proportion,Water supply; sewerage waste management and remediation activities,Percentage of industry (%),                 0 
2020,Proportion,Wholesale and retail trade; repair of motor vehicles and motorcycles,Percentage of industry (%),               12 
2020,Proportion,Not available,Percentage of industry (%),               71 
2021,Total value,,Vatu in millions (VUV),      218101 
2021,Total value,Accommodation and food service activities,Vatu in millions (VUV),          1094 
2021,Total value,Administrative and support service activities,Vatu in millions (VUV),          1745 
2021,Total value,Agriculture forestry and fishing,Vatu in millions (VUV),             756 
2021,Total value,Arts entertainment and recreation,Vatu in millions (VUV),             290 
2021,Total value,Construction,Vatu in millions (VUV),          3177 
2021,Total value,Education,Vatu in millions (VUV),                 8 
2021,Total value,Electricity gas steam and air conditioning supply,Vatu in millions (VUV),          2318 
2021,Total value,Financial and insurance activities,Vatu in millions (VUV),          1228 
2021,Total value,Human health and social work activities,Vatu in millions (VUV),             159 
2021,Total value,Information and communication,Vatu in millions (VUV),          4302 
2021,Total value,Manufacturing,Vatu in millions (VUV),          2636 
2021,Total value,Mining and quarrying,Vatu in millions (VUV),             439 
2021,Total value,Other service activities,Vatu in millions (VUV),               21 
2021,Total value,Professional scientific and technical activities,Vatu in millions (VUV),             707 
2021,Total value,Public administration and defence; compulsory social security,Vatu in millions (VUV),        12506 
2021,Total value,Real estate activities,Vatu in millions (VUV),             501 
2021,Total value,Transportation and storage,Vatu in millions (VUV),          4665 
2021,Total value,Water supply; sewerage waste management and remediation activities,Vatu in millions (VUV),0
2021,Total value,Wholesale and retail trade; repair of motor vehicles and motorcycles,Vatu in millions (VUV),        25699 
2021,Total value,Not available,Vatu in millions (VUV),      155852 
2021,Proportion,Accommodation and food service activities,Percentage of industry (%),1
2021,Proportion,Administrative and support service activities,Percentage of industry (%),1
2021,Proportion,Agriculture forestry and fishing,Percentage of industry (%),0
2021,Proportion,Arts entertainment and recreation,Percentage of industry (%),0
2021,Proportion,Construction,Percentage of industry (%),1
2021,Proportion,Education,Percentage of industry (%),0
2021,Proportion,Electricity gas steam and air conditioning supply,Percentage of industry (%),1
2021,Proportion,Financial and insurance activities,Percentage of industry (%),1
2021,Proportion,Human health and social work activities,Percentage of industry (%),0
2021,Proportion,Information and communication,Percentage of industry (%),2
2021,Proportion,Manufacturing,Percentage of industry (%),1
2021,Proportion,Mining and quarrying,Percentage of industry (%),0
2021,Proportion,Other service activities,Percentage of industry (%),0
2021,Proportion,Professional scientific and technical activities,Percentage of industry (%),0
2021,Proportion,Public administration and defence; compulsory social security,Percentage of industry (%),6
2021,Proportion,Real estate activities,Percentage of industry (%),0
2021,Proportion,Transportation and storage,Percentage of industry (%),2
2021,Proportion,Water supply; sewerage waste management and remediation activities,Percentage of industry (%),0
2021,Proportion,Wholesale and retail trade; repair of motor vehicles and motorcycles,Percentage of industry (%),12
2021,Proportion,Not available,Percentage of industry (%),71
