Year,Series,Ministry,Department,Value
2015,Original Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",National Disaster Management Office,23
2015,Original Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",Vanuatu Meteorological Services,140
2015,Original Budget,Ministry of Education & Training,Director General Directorate,4222
2015,Original Budget,Ministry of Education & Training,Education Commissions and Councils,37
2015,Original Budget,Ministry of Education & Training,MoE Cabinet,45
2015,Original Budget,Ministry of Finance and Economic Management,Department of Customs and Inland Revenue,369
2015,Original Budget,Ministry of Finance and Economic Management,Department of Finance & Treasury,4203
2015,Original Budget,Ministry of Finance and Economic Management,MFEM Cabinet,42
2015,Original Budget,Ministry of Finance and Economic Management,MFEM Corporate Services,63
2015,Original Budget,Ministry of Finance and Economic Management,National Statistics Office,61
2015,Original Budget,"Ministry of Foreign Affairs, International Cooperation and External Trade","Department of External Trade, Industry and Investment",40
2015,Original Budget,"Ministry of Foreign Affairs, International Cooperation and External Trade",Department of Foreign Affairs,319
2015,Original Budget,"Ministry of Foreign Affairs, International Cooperation and External Trade",Ministry of Foreign Affairs Cabinet,66
2015,Original Budget,Ministry of Health,Department of Health,1890
2015,Original Budget,Ministry of Health,Health Cabinet,59
2015,Original Budget,Ministry of Infrastructure and Public Utilities,Civil Aviation Authority,61
2015,Original Budget,Ministry of Infrastructure and Public Utilities,Department of Ports and Harbours,202
2015,Original Budget,Ministry of Infrastructure and Public Utilities,Department of Public Works,917
2015,Original Budget,Ministry of Infrastructure and Public Utilities,MIPU Cabinet,126
2015,Original Budget,Ministry of Internal Affairs,Civil Registry Office,18
2015,Original Budget,Ministry of Internal Affairs,Department of Immigration,86
2015,Original Budget,Ministry of Internal Affairs,Department of Labour,52
2015,Original Budget,Ministry of Internal Affairs,Department of Provincial Affairs,311
2015,Original Budget,Ministry of Internal Affairs,Electoral Office,59
2015,Original Budget,Ministry of Internal Affairs,Internal Affairs Cabinet,94
2015,Original Budget,Ministry of Internal Affairs,Police Service Commission,8
2015,Original Budget,Ministry of Internal Affairs,Vanuatu Mobile Force,270
2015,Original Budget,Ministry of Internal Affairs,Vanuatu Police Force,572
2015,Original Budget,Ministry of Justice and Social Welfare,Correctional Services,188
2015,Original Budget,Ministry of Justice and Social Welfare,Customary land management Office,21
2015,Original Budget,Ministry of Justice and Social Welfare,Department of Womens Affairs,31
2015,Original Budget,Ministry of Justice and Social Welfare,Ministry of Justice & Social Welfare Corporate Service Unit,23
2015,Original Budget,Ministry of Justice and Social Welfare,Ministry of Justice and Community Service,55
2015,Original Budget,Ministry of Justice and Social Welfare,Vanuatu Law Commission,15
2015,Original Budget,"Ministry of Lands, Mines & Water Resources",Cabinet Operations,38
2015,Original Budget,"Ministry of Lands, Mines & Water Resources",Corporate Services,76
2015,Original Budget,"Ministry of Lands, Mines & Water Resources",Department of Geology and Mines,45
2015,Original Budget,"Ministry of Lands, Mines & Water Resources",Department of Land Records,16
2015,Original Budget,"Ministry of Lands, Mines & Water Resources",Department of Land Survey,25
2015,Original Budget,"Ministry of Lands, Mines & Water Resources",Department of Lands,54
2015,Original Budget,"Ministry of Lands, Mines & Water Resources",Valuer General,10
2015,Original Budget,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",Department of Cooperatives and Ni-Vanuatu Business Development,64
2015,Original Budget,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",Department of Industry,38
2015,Original Budget,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",Department of Tourism,64
2015,Original Budget,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business","Ministry of Commerce, Industry and Tourism Cabinet",45
2015,Original Budget,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",Trade and Ni Vanuatu Business Corporate Service Unit,69
2015,Original Budget,Ministry of Youth Development and Sports,Department of Youth and Sport,116
2015,Original Budget,Ministry of Youth Development and Sports,Ministry of Youth Development and Training,39
2015,Original Budget,Prime Ministers Ministry,Department of Strategic Policy Cordination & Corporate Services,63
2015,Original Budget,Prime Ministers Ministry,Government Remuneration Tribunal,5
2015,Original Budget,Prime Ministers Ministry,Language Services Department,29
2015,Original Budget,Prime Ministers Ministry,Office of the Government Chief Information Officer,280
2015,Original Budget,Prime Ministers Ministry,Parliamentary Secretariat,13
2015,Original Budget,Prime Ministers Ministry,PMO Corporate Service Unit,41
2015,Original Budget,Prime Ministers Ministry,Prime Ministers Cabinet,86
2015,Original Budget,Prime Ministers Ministry,Vanuatu Project Management Unit,25
2016,Original Budget,Constitutional Agencies,Citizenship Office,18
2016,Original Budget,Constitutional Agencies,Judicial Services Commission,1
2016,Original Budget,Constitutional Agencies,Judiciary,196
2016,Original Budget,Constitutional Agencies,Malvatumauri Council of Chiefs,29
2016,Original Budget,Constitutional Agencies,National Audit Office,32
2016,Original Budget,Constitutional Agencies,Office of the Ombudsman,37
2016,Original Budget,Constitutional Agencies,Parliament,570
2016,Original Budget,Constitutional Agencies,President of the Republic,42
2016,Original Budget,Constitutional Agencies,Public Prosecutor,43
2016,Original Budget,Constitutional Agencies,Public Service Commission,151
2016,Original Budget,Constitutional Agencies,Public Solicitor,56
2016,Original Budget,Constitutional Agencies,State Law Office,110
2016,Original Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity","Agriculture, Quarantine, Forestry and Fisheries Cabinet",62
2016,Original Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Agriculture,133
2016,Original Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Biosecurity,109
2016,Original Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Fisheries,141
2016,Original Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Forestry,63
2016,Original Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Livestock,84
2016,Original Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy","Climate Change Adaptation, Geohazards, Meteorology and Energy Cabinet",63
2016,Original Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",Energy Department,43
2016,Original Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",Environment Department,30
2016,Original Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",National Disaster Management Office,28
2016,Original Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",Vanuatu Meteorological Services,123
2016,Original Budget,Ministry of Education & Training,Director General Directorate,3864
2016,Original Budget,Ministry of Education & Training,Education Commissions and Councils,41
2016,Original Budget,Ministry of Education & Training,MoE Cabinet,45
2016,Original Budget,Ministry of Finance and Economic Management,Department of Customs and Inland Revenue,429
2016,Original Budget,Ministry of Finance and Economic Management,Department of Finance & Treasury,5451
2016,Original Budget,Ministry of Finance and Economic Management,MFEM Cabinet,42
2016,Original Budget,Ministry of Finance and Economic Management,MFEM Corporate Services,98
2016,Original Budget,Ministry of Finance and Economic Management,National Statistics Office,61
2016,Original Budget,"Ministry of Foreign Affairs, International Cooperation and External Trade","Department of External Trade, Industry and Investment",30
2016,Original Budget,"Ministry of Foreign Affairs, International Cooperation and External Trade",Department of Foreign Affairs,282
2016,Original Budget,"Ministry of Foreign Affairs, International Cooperation and External Trade",Ministry of Foreign Affairs Cabinet,68
2016,Original Budget,Ministry of Health,Department of Health,1676
2016,Original Budget,Ministry of Health,Health Cabinet,59
2016,Original Budget,Ministry of Infrastructure and Public Utilities,Civil Aviation Authority,61
2016,Original Budget,Ministry of Infrastructure and Public Utilities,Department of Ports and Harbours,202
2016,Original Budget,Ministry of Infrastructure and Public Utilities,Department of Public Works,1157
2016,Original Budget,Ministry of Infrastructure and Public Utilities,MIPU Cabinet,122
2016,Original Budget,Ministry of Internal Affairs,Civil Registry Office,18
2016,Original Budget,Ministry of Internal Affairs,Department of Immigration,84
2016,Original Budget,Ministry of Internal Affairs,Department of Labour,52
2016,Original Budget,Ministry of Internal Affairs,Department of Provincial Affairs,307
2016,Original Budget,Ministry of Internal Affairs,Electoral Office,29
2016,Original Budget,Ministry of Internal Affairs,Internal Affairs Cabinet,119
2016,Original Budget,Ministry of Internal Affairs,Police Service Commission,8
2016,Original Budget,Ministry of Internal Affairs,Vanuatu Mobile Force,296
2016,Original Budget,Ministry of Internal Affairs,Vanuatu Police Force,581
2016,Original Budget,Ministry of Justice and Social Welfare,Correctional Services,195
2016,Original Budget,Ministry of Justice and Social Welfare,Customary land management Office,33
2016,Original Budget,Ministry of Justice and Social Welfare,Department of Womens Affairs,37
2016,Original Budget,Ministry of Justice and Social Welfare,Ministry of Justice & Social Welfare Corporate Service Unit,17
2016,Original Budget,Ministry of Justice and Social Welfare,Ministry of Justice and Community Service,55
2016,Original Budget,Ministry of Justice and Social Welfare,Vanuatu Law Commission,15
2016,Original Budget,"Ministry of Lands, Mines & Water Resources",Cabinet Operations,40
2016,Original Budget,"Ministry of Lands, Mines & Water Resources",Corporate Services,63
2016,Original Budget,"Ministry of Lands, Mines & Water Resources",Department of Geology and Mines,68
2016,Original Budget,"Ministry of Lands, Mines & Water Resources",Department of Land Records,19
2016,Original Budget,"Ministry of Lands, Mines & Water Resources",Department of Land Survey,26
2016,Original Budget,"Ministry of Lands, Mines & Water Resources",Department of Lands,47
2016,Original Budget,"Ministry of Lands, Mines & Water Resources",Valuer General,9
2016,Original Budget,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",Department of Cooperatives and Ni-Vanuatu Business Development,63
2016,Original Budget,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",Department of Industry,38
2016,Original Budget,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",Department of Tourism,80
2016,Original Budget,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business","Ministry of Commerce, Industry and Tourism Cabinet",45
2016,Original Budget,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",Trade and Ni Vanuatu Business Corporate Service Unit,87
2016,Original Budget,Ministry of Youth Development and Sports,Department of Youth and Sport,125
2016,Original Budget,Ministry of Youth Development and Sports,Ministry of Youth Development and Training,39
2016,Original Budget,Prime Ministers Ministry,Department of Strategic Policy Cordination & Corporate Services,65
2016,Original Budget,Prime Ministers Ministry,Government Remuneration Tribunal,11
2016,Original Budget,Prime Ministers Ministry,Language Services Department,29
2016,Original Budget,Prime Ministers Ministry,Office of the Government Chief Information Officer,280
2016,Original Budget,Prime Ministers Ministry,Parliamentary Secretariat,58
2016,Original Budget,Prime Ministers Ministry,PMO Corporate Service Unit,41
2016,Original Budget,Prime Ministers Ministry,Prime Ministers Cabinet,116
2016,Original Budget,Prime Ministers Ministry,Vanuatu Project Management Unit,25
2017,Original Budget,Constitutional Agencies,Citizenship Office,18
2017,Original Budget,Constitutional Agencies,Judicial Services Commission,2
2017,Original Budget,Constitutional Agencies,Judiciary,230
2017,Original Budget,Constitutional Agencies,Malvatumauri Council of Chiefs,54
2017,Original Budget,Constitutional Agencies,National Audit Office,34
2017,Original Budget,Constitutional Agencies,Office of the Ombudsman,37
2017,Original Budget,Constitutional Agencies,Parliament,570
2017,Original Budget,Constitutional Agencies,President of the Republic,42
2017,Original Budget,Constitutional Agencies,Public Prosecutor,52
2017,Original Budget,Constitutional Agencies,Public Service Commission,168
2017,Original Budget,Constitutional Agencies,Public Solicitor,56
2017,Original Budget,Constitutional Agencies,State Law Office,123
2017,Original Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity","Agriculture, Quarantine, Forestry and Fisheries Cabinet",99
2017,Original Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Agriculture,130
2017,Original Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Biosecurity,127
2017,Original Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Fisheries,131
2017,Original Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Forestry,57
2017,Original Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Livestock,92
2017,Original Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy","Climate Change Adaptation, Geohazards, Meteorology and Energy Cabinet",30
2017,Original Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",Energy Department,38
2017,Original Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",Environment Department,35
2017,Original Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",MoCC Coporate Service Unit,104
2017,Original Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",National Disaster Management Office,33
2017,Original Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",Vanuatu Meteorological Services,127
2017,Original Budget,Ministry of Education & Training,Director General Directorate,48
2017,Original Budget,Ministry of Education & Training,Education Commissions and Councils,49
2017,Original Budget,Ministry of Education & Training,Education Service Directorate,3791
2017,Original Budget,Ministry of Education & Training,Finance & Administration Directorate,160
2017,Original Budget,Ministry of Education & Training,MoE Cabinet,46
2017,Original Budget,Ministry of Education & Training,Policy & Planning Directorate,29
2017,Original Budget,Ministry of Education & Training,Tertiary Education Directorate,341
2017,Original Budget,Ministry of Finance and Economic Management,Department of Customs and Inland Revenue,466
2017,Original Budget,Ministry of Finance and Economic Management,Department of Finance & Treasury,5057
2017,Original Budget,Ministry of Finance and Economic Management,MFEM Cabinet,42
2017,Original Budget,Ministry of Finance and Economic Management,MFEM Corporate Services,118
2017,Original Budget,Ministry of Finance and Economic Management,National Statistics Office,71
2017,Original Budget,"Ministry of Foreign Affairs, International Cooperation and External Trade","Department of External Trade, Industry and Investment",37
2017,Original Budget,"Ministry of Foreign Affairs, International Cooperation and External Trade",Department of Foreign Affairs,299
2017,Original Budget,"Ministry of Foreign Affairs, International Cooperation and External Trade",Ministry of Foreign Affairs Cabinet,81
2017,Original Budget,Ministry of Health,Department of Health,1930
2017,Original Budget,Ministry of Health,Health Cabinet,59
2017,Original Budget,Ministry of Infrastructure and Public Utilities,Civil Aviation Authority,61
2017,Original Budget,Ministry of Infrastructure and Public Utilities,Department of Ports and Harbours,208
2017,Original Budget,Ministry of Infrastructure and Public Utilities,Department of Public Works,1153
2017,Original Budget,Ministry of Infrastructure and Public Utilities,MIPU Cabinet,142
2017,Original Budget,Ministry of Internal Affairs,Civil Registry Office,19
2017,Original Budget,Ministry of Internal Affairs,Department of Immigration,99
2017,Original Budget,Ministry of Internal Affairs,Department of Labour,53
2017,Original Budget,Ministry of Internal Affairs,Department of Provincial Affairs,323
2017,Original Budget,Ministry of Internal Affairs,Electoral Office,93
2017,Original Budget,Ministry of Internal Affairs,Internal Affairs Cabinet,97
2017,Original Budget,Ministry of Internal Affairs,Police Service Commission,8
2017,Original Budget,Ministry of Internal Affairs,Vanuatu Mobile Force,285
2017,Original Budget,Ministry of Internal Affairs,Vanuatu Police Force,582
2017,Original Budget,Ministry of Justice and Social Welfare,Correctional Services,215
2017,Original Budget,Ministry of Justice and Social Welfare,Customary land management Office,35
2017,Original Budget,Ministry of Justice and Social Welfare,Department of Womens Affairs,27
2017,Original Budget,Ministry of Justice and Social Welfare,Ministry of Justice & Social Welfare Corporate Service Unit,49
2017,Original Budget,Ministry of Justice and Social Welfare,Ministry of Justice and Community Service,50
2017,Original Budget,Ministry of Justice and Social Welfare,Vanuatu Law Commission,18
2017,Original Budget,"Ministry of Lands, Mines & Water Resources",Cabinet Operations,37
2017,Original Budget,"Ministry of Lands, Mines & Water Resources",Corporate Services,65
2017,Original Budget,"Ministry of Lands, Mines & Water Resources",Department of Geology and Mines,117
2017,Original Budget,"Ministry of Lands, Mines & Water Resources",Department of Land Records,19
2017,Original Budget,"Ministry of Lands, Mines & Water Resources",Department of Land Survey,28
2017,Original Budget,"Ministry of Lands, Mines & Water Resources",Department of Lands,49
2017,Original Budget,"Ministry of Lands, Mines & Water Resources",Valuer General,10
2017,Original Budget,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",Department of Cooperatives and Ni-Vanuatu Business Development,71
2017,Original Budget,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",Department of Industry,44
2017,Original Budget,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",Department of Tourism,85
2017,Original Budget,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business","Ministry of Commerce, Industry and Tourism Cabinet",45
2017,Original Budget,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",Trade and Ni Vanuatu Business Corporate Service Unit,99
2017,Original Budget,Ministry of Youth Development and Sports,Department of Youth and Sport,344
2017,Original Budget,Ministry of Youth Development and Sports,Ministry of Youth Development and Training,41
2017,Original Budget,Prime Ministers Ministry,Department of Strategic Policy Cordination & Corporate Services,68
2017,Original Budget,Prime Ministers Ministry,Government Remuneration Tribunal,11
2017,Original Budget,Prime Ministers Ministry,Language Services Department,29
2017,Original Budget,Prime Ministers Ministry,Office of the Government Chief Information Officer,309
2017,Original Budget,Prime Ministers Ministry,Parliamentary Secretariat,68
2017,Original Budget,Prime Ministers Ministry,PMO Corporate Service Unit,42
2017,Original Budget,Prime Ministers Ministry,Prime Ministers Cabinet,96
2017,Original Budget,Prime Ministers Ministry,Vanuatu Project Management Unit,30
2018,Original Budget,Constitutional Agencies,Citizenship Office,34
2018,Original Budget,Constitutional Agencies,Judicial Services Commission,2
2018,Original Budget,Constitutional Agencies,Judiciary,291
2018,Original Budget,Constitutional Agencies,Malvatumauri Council of Chiefs,105
2018,Original Budget,Constitutional Agencies,National Audit Office,49
2018,Original Budget,Constitutional Agencies,Office of the Ombudsman,39
2018,Original Budget,Constitutional Agencies,Parliament,823
2018,Original Budget,Constitutional Agencies,President of the Republic,42
2018,Original Budget,Constitutional Agencies,Public Prosecutor,72
2018,Original Budget,Constitutional Agencies,Public Service Commission,139
2018,Original Budget,Constitutional Agencies,Public Solicitor,63
2018,Original Budget,Constitutional Agencies,State Law Office,183
2018,Original Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity","Agriculture, Quarantine, Forestry and Fisheries Cabinet",171
2018,Original Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Agriculture,169
2018,Original Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Biosecurity,130
2018,Original Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Fisheries,143
2018,Original Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Forestry,76
2018,Original Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Livestock,92
2018,Original Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Parliament Secretariat - Ministry of Agriculture,15
2018,Original Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy","Climate Change Adaptation, Geohazards, Meteorology and Energy Cabinet",66
2018,Original Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",Energy Department,37
2018,Original Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",Environment Department,38
2018,Original Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",MoCC Coporate Service Unit,57
2018,Original Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",National Disaster Management Office,38
2018,Original Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",Vanuatu Meteorological Services,139
2018,Original Budget,Ministry of Education & Training,Director General Directorate,48
2018,Original Budget,Ministry of Education & Training,Education Commissions and Councils,70
2018,Original Budget,Ministry of Education & Training,Education Service Directorate,4271
2018,Original Budget,Ministry of Education & Training,Finance & Administration Directorate,163
2018,Original Budget,Ministry of Education & Training,MoE Cabinet,566
2018,Original Budget,Ministry of Education & Training,Policy & Planning Directorate,35
2018,Original Budget,Ministry of Education & Training,Tertiary Education Directorate,350
2018,Original Budget,Ministry of Finance and Economic Management,Department of Customs and Inland Revenue,498
2018,Original Budget,Ministry of Finance and Economic Management,Department of Finance & Treasury,6284
2018,Original Budget,Ministry of Finance and Economic Management,MFEM Cabinet,72
2018,Original Budget,Ministry of Finance and Economic Management,MFEM Corporate Services,163
2018,Original Budget,Ministry of Finance and Economic Management,National Statistics Office,101
2018,Original Budget,"Ministry of Foreign Affairs, International Cooperation and External Trade","Department of External Trade, Industry and Investment",31
2018,Original Budget,"Ministry of Foreign Affairs, International Cooperation and External Trade",Department of Foreign Affairs,352
2018,Original Budget,"Ministry of Foreign Affairs, International Cooperation and External Trade",Ministry of Foreign Affairs Cabinet,115
2018,Original Budget,Ministry of Health,Department of Health,2680
2018,Original Budget,Ministry of Health,Health Cabinet,90
2018,Original Budget,Ministry of Infrastructure and Public Utilities,Civil Aviation Authority,88
2018,Original Budget,Ministry of Infrastructure and Public Utilities,Department of Ports and Harbours,209
2018,Original Budget,Ministry of Infrastructure and Public Utilities,Department of Public Works,1123
2018,Original Budget,Ministry of Infrastructure and Public Utilities,MIPU Cabinet,187
2018,Original Budget,Ministry of Internal Affairs,Civil Registry Office,20
2018,Original Budget,Ministry of Internal Affairs,Department of Immigration,96
2018,Original Budget,Ministry of Internal Affairs,Department of Labour,52
2018,Original Budget,Ministry of Internal Affairs,Department of Provincial Affairs,416
2018,Original Budget,Ministry of Internal Affairs,Electoral Office,41
2018,Original Budget,Ministry of Internal Affairs,Internal Affairs Cabinet,403
2018,Original Budget,Ministry of Internal Affairs,Police Service Commission,9
2018,Original Budget,Ministry of Internal Affairs,Vanuatu Mobile Force,255
2018,Original Budget,Ministry of Internal Affairs,Vanuatu Police Force,655
2018,Original Budget,Ministry of Justice and Social Welfare,Correctional Services,215
2018,Original Budget,Ministry of Justice and Social Welfare,Customary land management Office,40
2018,Original Budget,Ministry of Justice and Social Welfare,Department of Womens Affairs,27
2018,Original Budget,Ministry of Justice and Social Welfare,Ministry of Justice & Social Welfare Corporate Service Unit,76
2018,Original Budget,Ministry of Justice and Social Welfare,Ministry of Justice and Community Service,53
2018,Original Budget,Ministry of Justice and Social Welfare,Vanuatu Law Commission,18
2018,Original Budget,"Ministry of Lands, Mines & Water Resources",Cabinet Operations,63
2018,Original Budget,"Ministry of Lands, Mines & Water Resources",Corporate Services,73
2018,Original Budget,"Ministry of Lands, Mines & Water Resources",Department of Geology and Mines,124
2018,Original Budget,"Ministry of Lands, Mines & Water Resources",Department of Land Records,20
2018,Original Budget,"Ministry of Lands, Mines & Water Resources",Department of Land Survey,85
2018,Original Budget,"Ministry of Lands, Mines & Water Resources",Department of Lands,53
2018,Original Budget,"Ministry of Lands, Mines & Water Resources",Valuer General,10
2018,Original Budget,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",Department of Cooperatives and Ni-Vanuatu Business Development,73
2018,Original Budget,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",Department of Industry,65
2018,Original Budget,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",Department of Tourism,101
2018,Original Budget,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business","Ministry of Commerce, Industry and Tourism Cabinet",71
2018,Original Budget,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",Trade and Ni Vanuatu Business Corporate Service Unit,111
2018,Original Budget,Ministry of Youth Development and Sports,Department of Youth and Sport,134
2018,Original Budget,Ministry of Youth Development and Sports,Ministry of Youth Development and Training,47
2018,Original Budget,Prime Ministers Ministry,Department of Strategic Policy Cordination & Corporate Services,76
2018,Original Budget,Prime Ministers Ministry,Government Remuneration Tribunal,11
2018,Original Budget,Prime Ministers Ministry,Language Services Department,35
2018,Original Budget,Prime Ministers Ministry,Office of the Government Chief Information Officer,313
2018,Original Budget,Prime Ministers Ministry,Parliamentary Secretariat,21
2018,Original Budget,Prime Ministers Ministry,PMO Corporate Service Unit,151
2018,Original Budget,Prime Ministers Ministry,Prime Ministers Cabinet,103
2018,Original Budget,Prime Ministers Ministry,Vanuatu Project Management Unit,65
2019,Original Budget,Constitutional Agencies,Citizenship Office,37
2019,Original Budget,Constitutional Agencies,Judicial Services Commission,2
2019,Original Budget,Constitutional Agencies,Judiciary,295
2019,Original Budget,Constitutional Agencies,Malvatumauri Council of Chiefs,94
2019,Original Budget,Constitutional Agencies,National Audit Office,82
2019,Original Budget,Constitutional Agencies,Office of the Ombudsman,72
2019,Original Budget,Constitutional Agencies,Parliament,907
2019,Original Budget,Constitutional Agencies,President of the Republic,57
2019,Original Budget,Constitutional Agencies,Public Prosecutor,100
2019,Original Budget,Constitutional Agencies,Public Service Commission,152
2019,Original Budget,Constitutional Agencies,Public Solicitor,73
2019,Original Budget,Constitutional Agencies,State Law Office,193
2019,Original Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity","Agriculture, Quarantine, Forestry and Fisheries Cabinet",316
2019,Original Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Agriculture,235
2019,Original Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Biosecurity,162
2019,Original Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Fisheries,189
2019,Original Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Forestry,93
2019,Original Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Livestock,129
2019,Original Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Parliament Secretariat - Ministry of Agriculture,23
2019,Original Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy","Climate Change Adaptation, Geohazards, Meteorology and Energy Cabinet",77
2019,Original Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",Department of Climate Change,25
2019,Original Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",Energy Department,44
2019,Original Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",Environment Department,45
2019,Original Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",MoCC Coporate Service Unit,85
2019,Original Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",National Disaster Management Office,46
2019,Original Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",Vanuatu Meteorological Services,151
2019,Original Budget,Ministry of Education & Training,Director General Directorate,326
2019,Original Budget,Ministry of Education & Training,Education Commissions and Councils,74
2019,Original Budget,Ministry of Education & Training,Education Service Directorate,5010
2019,Original Budget,Ministry of Education & Training,Finance & Administration Directorate,171
2019,Original Budget,Ministry of Education & Training,MoE Cabinet,87
2019,Original Budget,Ministry of Education & Training,Policy & Planning Directorate,38
2019,Original Budget,Ministry of Education & Training,Tertiary Education Directorate,508
2019,Original Budget,Ministry of Finance and Economic Management,Department of Customs and Inland Revenue,517
2019,Original Budget,Ministry of Finance and Economic Management,Department of Finance & Treasury,6241
2019,Original Budget,Ministry of Finance and Economic Management,MFEM Cabinet,96
2019,Original Budget,Ministry of Finance and Economic Management,MFEM Corporate Services,181
2019,Original Budget,Ministry of Finance and Economic Management,National Statistics Office,106
2019,Original Budget,"Ministry of Foreign Affairs, International Cooperation and External Trade","Department of External Trade, Industry and Investment",31
2019,Original Budget,"Ministry of Foreign Affairs, International Cooperation and External Trade",Department of Foreign Affairs,428
2019,Original Budget,"Ministry of Foreign Affairs, International Cooperation and External Trade",Ministry of Foreign Affairs Cabinet,112
2019,Original Budget,Ministry of Health,Department of Health,2879
2019,Original Budget,Ministry of Health,Health Cabinet,117
2019,Original Budget,Ministry of Infrastructure and Public Utilities,Civil Aviation Authority,91
