Year,Series,Ministry,Department,Value
2009,Original Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",,160
2009,Original Budget,Ministry of Cooperatives and Ni-Vanuatu Business Development Services,,31
2009,Original Budget,Ministry of Education & Training,,3210
2009,Original Budget,Ministry of Finance and Economic Management,,3836
2009,Original Budget,"Ministry of Foreign Affairs, International Cooperation and External Trade",,296
2009,Original Budget,Ministry of Health,,1450
2009,Original Budget,Ministry of Infrastructure and Public Utilities,,1247
2009,Original Budget,Ministry of Internal Affairs,,1319
2009,Original Budget,Ministry of Justice and Social Welfare,,202
2009,Original Budget,"Ministry of Lands, Mines & Water Resources",,291
2009,Original Budget,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",,324
2009,Original Budget,Ministry of Youth Development and Sports,,104
2009,Original Budget,Prime Ministers Ministry,,178
2010,Original Budget,Constitutional Agencies,,1096
2010,Original Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",,452
2010,Original Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",,208
2010,Original Budget,Ministry of Cooperatives and Ni-Vanuatu Business Development Services,,41
2010,Original Budget,Ministry of Education & Training,,3624
2010,Original Budget,Ministry of Finance and Economic Management,,4142
2010,Original Budget,"Ministry of Foreign Affairs, International Cooperation and External Trade",,361
2010,Original Budget,Ministry of Health,,1736
2010,Original Budget,Ministry of Infrastructure and Public Utilities,,1268
2010,Original Budget,Ministry of Internal Affairs,,1380
2010,Original Budget,Ministry of Justice and Social Welfare,,241
2010,Original Budget,"Ministry of Lands, Mines & Water Resources",,286
2010,Original Budget,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",,326
2010,Original Budget,Ministry of Youth Development and Sports,,151
2010,Original Budget,Prime Ministers Ministry,,189
2011,Original Budget,Constitutional Agencies,,1100
2011,Original Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",,476
2011,Original Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",,201
2011,Original Budget,Ministry of Cooperatives and Ni-Vanuatu Business Development Services,,36
2011,Original Budget,Ministry of Education & Training,,3764
2011,Original Budget,Ministry of Finance and Economic Management,,3696
2011,Original Budget,"Ministry of Foreign Affairs, International Cooperation and External Trade",,360
2011,Original Budget,Ministry of Health,,1596
2011,Original Budget,Ministry of Infrastructure and Public Utilities,,1288
2011,Original Budget,Ministry of Internal Affairs,,1351
2011,Original Budget,Ministry of Justice and Social Welfare,,303
2011,Original Budget,"Ministry of Lands, Mines & Water Resources",,267
2011,Original Budget,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",,330
2011,Original Budget,Ministry of Youth Development and Sports,,147
2011,Original Budget,Prime Ministers Ministry,,198
2012,Original Budget,Constitutional Agencies,,1401
2012,Original Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",,428
2012,Original Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",,192
2012,Original Budget,Ministry of Cooperatives and Ni-Vanuatu Business Development Services,,36
2012,Original Budget,Ministry of Education & Training,,3905
2012,Original Budget,Ministry of Finance and Economic Management,,4123
2012,Original Budget,"Ministry of Foreign Affairs, International Cooperation and External Trade",,333
2012,Original Budget,Ministry of Health,,1535
2012,Original Budget,Ministry of Infrastructure and Public Utilities,,1269
2012,Original Budget,Ministry of Internal Affairs,,1492
2012,Original Budget,Ministry of Justice and Social Welfare,,460
2012,Original Budget,"Ministry of Lands, Mines & Water Resources",,239
2012,Original Budget,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",,408
2012,Original Budget,Ministry of Youth Development and Sports,,146
2012,Original Budget,Prime Ministers Ministry,,215
2013,Original Budget,Constitutional Agencies,,1140
2013,Original Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",,442
2013,Original Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",,196
2013,Original Budget,Ministry of Cooperatives and Ni-Vanuatu Business Development Services,,36
2013,Original Budget,Ministry of Education & Training,,3987
2013,Original Budget,Ministry of Finance and Economic Management,,4344
2013,Original Budget,"Ministry of Foreign Affairs, International Cooperation and External Trade",,338
2013,Original Budget,Ministry of Health,,1610
2013,Original Budget,Ministry of Infrastructure and Public Utilities,,1269
2013,Original Budget,Ministry of Internal Affairs,,1404
2013,Original Budget,Ministry of Justice and Social Welfare,,312
2013,Original Budget,"Ministry of Lands, Mines & Water Resources",,242
2013,Original Budget,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",,340
2013,Original Budget,Ministry of Youth Development and Sports,,105
2013,Original Budget,Prime Ministers Ministry,,521
2014,Original Budget,Constitutional Agencies,,1130
2014,Original Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",,482
2014,Original Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",,235
2014,Original Budget,Ministry of Education & Training,,4178
2014,Original Budget,Ministry of Finance and Economic Management,,4332
2014,Original Budget,"Ministry of Foreign Affairs, International Cooperation and External Trade",,366
2014,Original Budget,Ministry of Health,,1642
2014,Original Budget,Ministry of Infrastructure and Public Utilities,,1547
2014,Original Budget,Ministry of Internal Affairs,,1361
2014,Original Budget,Ministry of Justice and Social Welfare,,328
2014,Original Budget,"Ministry of Lands, Mines & Water Resources",,232
2014,Original Budget,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",,288
2014,Original Budget,Ministry of Youth Development and Sports,,154
2014,Original Budget,Prime Ministers Ministry,,523
2015,Original Budget,Constitutional Agencies,,1197
2015,Original Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",,569
2015,Original Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",,238
2015,Original Budget,Ministry of Education & Training,,4304
2015,Original Budget,Ministry of Finance and Economic Management,,4738
2015,Original Budget,"Ministry of Foreign Affairs, International Cooperation and External Trade",,425
2015,Original Budget,Ministry of Health,,1949
2015,Original Budget,Ministry of Infrastructure and Public Utilities,,1307
2015,Original Budget,Ministry of Internal Affairs,,1469
2015,Original Budget,Ministry of Justice and Social Welfare,,333
2015,Original Budget,"Ministry of Lands, Mines & Water Resources",,266
2015,Original Budget,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",,281
2015,Original Budget,Ministry of Youth Development and Sports,,155
2015,Original Budget,Prime Ministers Ministry,,542
2016,Original Budget,Constitutional Agencies,,1287
2016,Original Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",,591
2016,Original Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",,287
2016,Original Budget,Ministry of Education & Training,,3950
2016,Original Budget,Ministry of Finance and Economic Management,,6082
2016,Original Budget,"Ministry of Foreign Affairs, International Cooperation and External Trade",,380
2016,Original Budget,Ministry of Health,,1735
2016,Original Budget,Ministry of Infrastructure and Public Utilities,,1543
2016,Original Budget,Ministry of Internal Affairs,,1493
2016,Original Budget,Ministry of Justice and Social Welfare,,352
