Year,Series,Principal Import,Main Country of Origin,Value
2019,Value (in million vatu),Fish,FIJI,164
2019,Value (in million vatu),Fish,SOLOMON ISLANDS,157
2019,Value (in million vatu),Fish,THAILAND,152
2019,Value (in million vatu),Fish,PAPUA NEW GUINEA,144
2019,Value (in million vatu),Fish,"CHINA, PEOPLES REPUBLIC OF",39
2019,Value (in million vatu),Rice,SINGAPORE,463
2019,Value (in million vatu),Rice,VIET NAM,395
2019,Value (in million vatu),Rice,"CHINA, PEOPLES REPUBLIC OF",264
2019,Value (in million vatu),Rice,"TAIWAN, PROVINCE OF CHINA",35
2019,Value (in million vatu),Rice,HONG KONG,24
2020,Value (in million vatu),,,9666
2020,Value (in million vatu),Alcholic drinks,,682
2020,Value (in million vatu),Cigarettes and Tobacco,,626
2020,Value (in million vatu),Medicaments,,682
2020,Value (in million vatu),Petroleum Oils and Gasesous,,5688
2020,Value (in million vatu),Fish,,825
2020,Value (in million vatu),Rice,,1163
2020,Value (in million vatu),Alcoholic drinks,AUSTRALIA,338
2020,Value (in million vatu),Alcoholic drinks,FRANCE,187
2020,Value (in million vatu),Alcoholic drinks,NEW ZEALAND,61
2020,Value (in million vatu),Alcoholic drinks,SOLOMON ISLANDS,29
2020,Value (in million vatu),Alcoholic drinks,NEW CALEDONIA,15
2020,Value (in million vatu),Cigarettes and Tobacco,AUSTRALIA,458
2020,Value (in million vatu),Cigarettes and Tobacco,INDONESIA,162
2020,Value (in million vatu),Cigarettes and Tobacco,FIJI,3
2020,Value (in million vatu),Cigarettes and Tobacco,HONG KONG,1
2020,Value (in million vatu),Cigarettes and Tobacco,SWITZERLAND,0
2020,Value (in million vatu),Medicaments,NEW ZEALAND,180
2020,Value (in million vatu),Medicaments,AUSTRALIA,164
2020,Value (in million vatu),Medicaments,INDIA,129
2020,Value (in million vatu),Medicaments,UNITED STATES OF AMERICA,37
2020,Value (in million vatu),Medicaments,TURKEY,31
2020,Value (in million vatu),Rice,"CHINA, PEOPLES REPUBLIC OF",452
2020,Value (in million vatu),Rice,SINGAPORE,221
2020,Value (in million vatu),Rice,"TAIWAN, PROVINCE OF CHINA",195
2020,Value (in million vatu),Rice,VIET NAM,162
2020,Value (in million vatu),Rice,HONG KONG,49
2020,Value (in million vatu),Petroleum Oils and Gasesous,SINGAPORE,5187
2020,Value (in million vatu),Petroleum Oils and Gasesous,AUSTRALIA,290
2020,Value (in million vatu),Petroleum Oils and Gasesous,UNITED ARAB EMIRATES,76
2020,Value (in million vatu),Petroleum Oils and Gasesous,NEW ZEALAND,57
2020,Value (in million vatu),Petroleum Oils and Gasesous,MALAYSIA,51
2020,Value (in million vatu),Fish,FIJI,252
2020,Value (in million vatu),Fish,THAILAND,183
2020,Value (in million vatu),Fish,SOLOMON ISLANDS,179
2020,Value (in million vatu),Fish,PAPUA NEW GUINEA,142
2020,Value (in million vatu),Fish,"CHINA, PEOPLES REPUBLIC OF",39
2021,Value (in million vatu),,,10003
2021,Value (in million vatu),Alcoholic drinks,,612
2021,Value (in million vatu),Cigarettes and Tobacco,,772
2021,Value (in million vatu),Medicaments,,628
2021,Value (in million vatu),Petroleum Oils and Gasesous,,6434
2021,Value (in million vatu),Rice,,950
2021,Value (in million vatu),Fish,,606
2021,Value (in million vatu),Alcoholic drinks,AUSTRALIA,283
2021,Value (in million vatu),Alcoholic drinks,FRANCE,172
2021,Value (in million vatu),Alcoholic drinks,NEW ZEALAND,55
2021,Value (in million vatu),Alcoholic drinks,SOLOMON ISLANDS,42
2021,Value (in million vatu),Alcoholic drinks,UNITED KINGDOM,10
2021,Value (in million vatu),Cigarettes and Tobacco,AUSTRALIA,499
2021,Value (in million vatu),Cigarettes and Tobacco,INDONESIA,270
2021,Value (in million vatu),Cigarettes and Tobacco,FIJI,2
2021,Value (in million vatu),Cigarettes and Tobacco,"CHINA, PEOPLES REPUBLIC OF",1
2021,Value (in million vatu),Cigarettes and Tobacco,COSTA RICA,0
2021,Value (in million vatu),Medicaments,NEW ZEALAND,170
2021,Value (in million vatu),Medicaments,AUSTRALIA,152
2021,Value (in million vatu),Medicaments,INDIA,116
2021,Value (in million vatu),Medicaments,NETHERLANDS,40
2021,Value (in million vatu),Medicaments,UNITED STATES OF AMERICA,37
2021,Value (in million vatu),Petroleum Oils and Gasesous,SINGAPORE,5996
2021,Value (in million vatu),Petroleum Oils and Gasesous,AUSTRALIA,186
2021,Value (in million vatu),Petroleum Oils and Gasesous,NEW ZEALAND,96
2021,Value (in million vatu),Petroleum Oils and Gasesous,UNITED ARAB EMIRATES,87
2021,Value (in million vatu),Petroleum Oils and Gasesous,MALAYSIA,44
2021,Value (in million vatu),Rice,"CHINA, PEOPLES REPUBLIC OF",406
2021,Value (in million vatu),Rice,"TAIWAN, PROVINCE OF CHINA",288
2021,Value (in million vatu),Rice,VIET NAM,142
2021,Value (in million vatu),Rice,FIJI,28
2021,Value (in million vatu),Rice,AUSTRALIA,25
2021,Value (in million vatu),Fish,FIJI,159
2021,Value (in million vatu),Fish,PAPUA NEW GUINEA,143
2021,Value (in million vatu),Fish,SOLOMON ISLANDS,138
2021,Value (in million vatu),Fish,THAILAND,91
2021,Value (in million vatu),Fish,"CHINA, PEOPLES REPUBLIC OF",49
2017,Quantity (in tonnes kilogram),,,129329
2017,Quantity (in tonnes kilogram),Alcoholic Drinks,,2692
2017,Quantity (in tonnes kilogram),Cigarettes and Tobacco,,156
2017,Quantity (in tonnes kilogram),Medicaments,,139
2017,Quantity (in tonnes kilogram),Petroleum Oils and Gasesous,,102296
2017,Quantity (in tonnes kilogram),Fish,,2723
2017,Quantity (in tonnes kilogram),Rice,,21324
2017,Quantity (in tonnes kilogram),Alcoholic Drinks,AUSTRALIA,1401
2017,Quantity (in tonnes kilogram),Alcoholic Drinks,FRANCE,535
2017,Quantity (in tonnes kilogram),Alcoholic Drinks,NEW ZEALAND,163
2017,Quantity (in tonnes kilogram),Alcoholic Drinks,NEW CALEDONIA,157
2017,Quantity (in tonnes kilogram),Alcoholic Drinks,UNITED KINGDOM,37
2017,Quantity (in tonnes kilogram),Cigarettes and Tobacco,AUSTRALIA,144
2017,Quantity (in tonnes kilogram),Cigarettes and Tobacco,INDONESIA,5
2017,Quantity (in tonnes kilogram),Cigarettes and Tobacco,SINGAPORE,1
2017,Quantity (in tonnes kilogram),Cigarettes and Tobacco,HONG KONG,3
2017,Quantity (in tonnes kilogram),Cigarettes and Tobacco,FIJI,1
2017,Quantity (in tonnes kilogram),Medicaments,NEW ZEALAND,15
2017,Quantity (in tonnes kilogram),Medicaments,AUSTRALIA,55
2017,Quantity (in tonnes kilogram),Medicaments,INDIA,18
2017,Quantity (in tonnes kilogram),Medicaments,UNITED STATES OF AMERICA,4
2017,Quantity (in tonnes kilogram),Medicaments,NETHERLANDS,14
2017,Quantity (in tonnes kilogram),Petroleum Oils and Gasesous,SINGAPORE,97943
2017,Quantity (in tonnes kilogram),Petroleum Oils and Gasesous,AUSTRALIA,2863
2017,Quantity (in tonnes kilogram),Petroleum Oils and Gasesous,NEW ZEALAND,939
2017,Quantity (in tonnes kilogram),Petroleum Oils and Gasesous,UNITED ARAB EMIRATES,324
2017,Quantity (in tonnes kilogram),Petroleum Oils and Gasesous,MALAYSIA,178
2017,Quantity (in tonnes kilogram),Fish,SOLOMON ISLANDS,503
2017,Quantity (in tonnes kilogram),Fish,THAILAND,922
2017,Quantity (in tonnes kilogram),Fish,FIJI,558
2017,Quantity (in tonnes kilogram),Fish,"CHINA, PEOPLES REPUBLIC OF",522
2017,Quantity (in tonnes kilogram),Fish,PAPUA NEW GUINEA,132
2017,Quantity (in tonnes kilogram),Rice,VIET NAM,14174
2017,Quantity (in tonnes kilogram),Rice,SINGAPORE,4978
2018,Quantity (in tonnes kilogram),Rice,"CHINA, PEOPLES REPUBLIC OF",1513
2018,Quantity (in tonnes kilogram),Rice,UNITED STATES OF AMERICA,204
2018,Quantity (in tonnes kilogram),Rice,AUSTRALIA,113
2018,Quantity (in tonnes kilogram),,,133719
2018,Quantity (in tonnes kilogram),Alcholic drinks,,3976
2018,Quantity (in tonnes kilogram),Cigarettes and Tobacco,,204
2018,Quantity (in tonnes kilogram),Medicaments,,151
2018,Quantity (in tonnes kilogram),Petroleum Oils and Gasesous,,105497
2018,Quantity (in tonnes kilogram),Fish,,3076
2018,Quantity (in tonnes kilogram),Rice,,20815
2018,Quantity (in tonnes kilogram),Alcoholic drinks,AUSTRALIA,2066
2018,Quantity (in tonnes kilogram),Alcoholic drinks,FRANCE,1206
2018,Quantity (in tonnes kilogram),Alcoholic drinks,NEW ZEALAND,198
2018,Quantity (in tonnes kilogram),Alcoholic drinks,NEW CALEDONIA,108
2018,Quantity (in tonnes kilogram),Alcoholic drinks,NETHERLANDS,128
2018,Quantity (in tonnes kilogram),Cigarettes and Tobacco,AUSTRALIA,162
2018,Quantity (in tonnes kilogram),Cigarettes and Tobacco,"CHINA, PEOPLES REPUBLIC OF",0
2018,Quantity (in tonnes kilogram),Cigarettes and Tobacco,FIJI,2
2018,Quantity (in tonnes kilogram),Cigarettes and Tobacco,FINLAND,0
2018,Quantity (in tonnes kilogram),Cigarettes and Tobacco,HONG KONG,0
2018,Quantity (in tonnes kilogram),Medicaments,NEW ZEALAND,10
2018,Quantity (in tonnes kilogram),Medicaments,INDIA,12
2018,Quantity (in tonnes kilogram),Medicaments,AUSTRALIA,64
2018,Quantity (in tonnes kilogram),Medicaments,UNITED STATES OF AMERICA,5
2018,Quantity (in tonnes kilogram),Medicaments,FRENCH POLYNESIA,8
2018,Quantity (in tonnes kilogram),Petroleum Oils and Gasesous,SINGAPORE,102135
2018,Quantity (in tonnes kilogram),Petroleum Oils and Gasesous,AUSTRALIA,2158
2018,Quantity (in tonnes kilogram),Petroleum Oils and Gasesous,UNITED ARAB EMIRATES,315
2018,Quantity (in tonnes kilogram),Petroleum Oils and Gasesous,NEW ZEALAND,655
2018,Quantity (in tonnes kilogram),Petroleum Oils and Gasesous,MALAYSIA,184
2018,Quantity (in tonnes kilogram),Fish,THAILAND,890
2018,Quantity (in tonnes kilogram),Fish,SOLOMON ISLANDS,557
2018,Quantity (in tonnes kilogram),Fish,FIJI,650
2018,Quantity (in tonnes kilogram),Fish,PAPUA NEW GUINEA,270
2019,Quantity (in tonnes kilogram),Fish,"CHINA, PEOPLES REPUBLIC OF",535
2019,Quantity (in tonnes kilogram),Rice,VIET NAM,10927
2019,Quantity (in tonnes kilogram),Rice,SINGAPORE,6005
2019,Quantity (in tonnes kilogram),Rice,"CHINA, PEOPLES REPUBLIC OF",2119
2019,Quantity (in tonnes kilogram),Rice,AUSTRALIA,1193
2019,Quantity (in tonnes kilogram),Rice,NEW ZEALAND,410
2019,Quantity (in tonnes kilogram),,,144969
2019,Quantity (in tonnes kilogram),Alcholic drinks,,3657
2019,Quantity (in tonnes kilogram),Cigarettes and Tobacco,,169
2019,Quantity (in tonnes kilogram),Medicaments,,224
2019,Quantity (in tonnes kilogram),Petroleum Oils and Gasesous,,114009
2019,Quantity (in tonnes kilogram),Fish,,2669
2019,Quantity (in tonnes kilogram),Rice,,24241
2019,Quantity (in tonnes kilogram),Alcoholic drinks,AUSTRALIA,20447
2019,Quantity (in tonnes kilogram),Alcoholic drinks,FRANCE,8102
2019,Quantity (in tonnes kilogram),Alcoholic drinks,NEW ZEALAND,2328
2019,Quantity (in tonnes kilogram),Alcoholic drinks,NETHERLANDS,1311
2019,Quantity (in tonnes kilogram),Alcoholic drinks,NEW CALEDONIA,999
2019,Quantity (in tonnes kilogram),Cigarettes and Tobacco,AUSTRALIA,142
2019,Quantity (in tonnes kilogram),Cigarettes and Tobacco,INDONESIA,25
2019,Quantity (in tonnes kilogram),Cigarettes and Tobacco,FIJI,3
2019,Quantity (in tonnes kilogram),Cigarettes and Tobacco,SWITZERLAND,0
2019,Quantity (in tonnes kilogram),Cigarettes and Tobacco,"CHINA, PEOPLES REPUBLIC OF",0
2019,Quantity (in tonnes kilogram),Medicaments,AUSTRALIA,84
2019,Quantity (in tonnes kilogram),Medicaments,NEW ZEALAND,12
2019,Quantity (in tonnes kilogram),Medicaments,INDIA,16
2019,Quantity (in tonnes kilogram),Medicaments,UNITED STATES OF AMERICA,11
2019,Quantity (in tonnes kilogram),Medicaments,FRENCH POLYNESIA,9
2019,Quantity (in tonnes kilogram),Petroleum Oils and Gasesous,SINGAPORE,110722
2019,Quantity (in tonnes kilogram),Petroleum Oils and Gasesous,AUSTRALIA,2284
2019,Quantity (in tonnes kilogram),Petroleum Oils and Gasesous,UNITED ARAB EMIRATES,288
2019,Quantity (in tonnes kilogram),Petroleum Oils and Gasesous,NEW ZEALAND,580
2019,Quantity (in tonnes kilogram),Petroleum Oils and Gasesous,MALAYSIA,115
2020,Quantity (in tonnes kilogram),Fish,FIJI,611
2020,Quantity (in tonnes kilogram),Fish,SOLOMON ISLANDS,377
2020,Quantity (in tonnes kilogram),Fish,THAILAND,558
2020,Quantity (in tonnes kilogram),Fish,PAPUA NEW GUINEA,498
2020,Quantity (in tonnes kilogram),Fish,"CHINA, PEOPLES REPUBLIC OF",498
2020,Quantity (in tonnes kilogram),Rice,SINGAPORE,10399
2020,Quantity (in tonnes kilogram),Rice,VIET NAM,7705
2020,Quantity (in tonnes kilogram),Rice,"CHINA, PEOPLES REPUBLIC OF",4319
2020,Quantity (in tonnes kilogram),Rice,"TAIWAN, PROVINCE OF CHINA",767
2020,Quantity (in tonnes kilogram),Rice,HONG KONG,448
2020,Quantity (in tonnes kilogram),,,113194
2020,Quantity (in tonnes kilogram),Alcholic drinks,,3035
2020,Quantity (in tonnes kilogram),Cigarettes and Tobacco,,149
2020,Quantity (in tonnes kilogram),Medicaments,,257
2020,Quantity (in tonnes kilogram),Petroleum Oils and Gasesous,,83870
2020,Quantity (in tonnes kilogram),Fish,,3497
2020,Quantity (in tonnes kilogram),Rice,,22386
2020,Quantity (in tonnes kilogram),Alcoholic drinks,AUSTRALIA,1616
2020,Quantity (in tonnes kilogram),Alcoholic drinks,FRANCE,709
2020,Quantity (in tonnes kilogram),Alcoholic drinks,NEW ZEALAND,207
2020,Quantity (in tonnes kilogram),Alcoholic drinks,SOLOMON ISLANDS,181
2020,Quantity (in tonnes kilogram),Alcoholic drinks,NEW CALEDONIA,93
2020,Quantity (in tonnes kilogram),Cigarettes and Tobacco,AUSTRALIA,126
2020,Quantity (in tonnes kilogram),Cigarettes and Tobacco,INDONESIA,22
2020,Quantity (in tonnes kilogram),Cigarettes and Tobacco,FIJI,0
2020,Quantity (in tonnes kilogram),Cigarettes and Tobacco,HONG KONG,0
2020,Quantity (in tonnes kilogram),Cigarettes and Tobacco,SWITZERLAND,0
2020,Quantity (in tonnes kilogram),Medicaments,NEW ZEALAND,11
2020,Quantity (in tonnes kilogram),Medicaments,AUSTRALIA,166
2020,Quantity (in tonnes kilogram),Medicaments,INDIA,8
2020,Quantity (in tonnes kilogram),Medicaments,UNITED STATES OF AMERICA,1
2020,Quantity (in tonnes kilogram),Medicaments,TURKEY,2
2021,Quantity (in tonnes kilogram),Rice,"CHINA, PEOPLES REPUBLIC OF",6869
2021,Quantity (in tonnes kilogram),Rice,SINGAPORE,6845
2021,Quantity (in tonnes kilogram),Rice,"TAIWAN, PROVINCE OF CHINA",3614
2021,Quantity (in tonnes kilogram),Rice,VIET NAM,3100
2021,Quantity (in tonnes kilogram),Rice,HONG KONG,956
2021,Quantity (in tonnes kilogram),Petroleum Oils and Gasesous,SINGAPORE,80556
2021,Quantity (in tonnes kilogram),Petroleum Oils and Gasesous,AUSTRALIA,2193
2021,Quantity (in tonnes kilogram),Petroleum Oils and Gasesous,UNITED ARAB EMIRATES,236
2021,Quantity (in tonnes kilogram),Petroleum Oils and Gasesous,NEW ZEALAND,554
2021,Quantity (in tonnes kilogram),Petroleum Oils and Gasesous,MALAYSIA,205
2021,Quantity (in tonnes kilogram),Fish,FIJI,880
2021,Quantity (in tonnes kilogram),Fish,THAILAND,665
2021,Quantity (in tonnes kilogram),Fish,SOLOMON ISLANDS,417
2021,Quantity (in tonnes kilogram),Fish,PAPUA NEW GUINEA,609
2021,Quantity (in tonnes kilogram),Fish,"CHINA, PEOPLES REPUBLIC OF",424
2021,Quantity (in tonnes kilogram),,,118149
2021,Quantity (in tonnes kilogram),Alcoholic drinks,,2962
2021,Quantity (in tonnes kilogram),Cigarettes and Tobacco,,176
2021,Quantity (in tonnes kilogram),Medicaments,,243
2021,Quantity (in tonnes kilogram),Petroleum Oils and Gasesous,,94806
2021,Quantity (in tonnes kilogram),Rice,,17448
2021,Quantity (in tonnes kilogram),Fish,,2514
2021,Quantity (in tonnes kilogram),Alcoholic drinks,AUSTRALIA,1585
2021,Quantity (in tonnes kilogram),Alcoholic drinks,FRANCE,663
2021,Quantity (in tonnes kilogram),Alcoholic drinks,NEW ZEALAND,223
2021,Quantity (in tonnes kilogram),Alcoholic drinks,SOLOMON ISLANDS,177
2021,Quantity (in tonnes kilogram),Alcoholic drinks,UNITED KINGDOM,12
2021,Quantity (in tonnes kilogram),Cigarettes and Tobacco,AUSTRALIA,141
2021,Quantity (in tonnes kilogram),Cigarettes and Tobacco,INDONESIA,35
2021,Quantity (in tonnes kilogram),Cigarettes and Tobacco,FIJI,0
2021,Quantity (in tonnes kilogram),Cigarettes and Tobacco,"CHINA, PEOPLES REPUBLIC OF",0
2021,Quantity (in tonnes kilogram),Cigarettes and Tobacco,COSTA RICA,0
2021,Quantity (in tonnes kilogram),Medicaments,NEW ZEALAND,9
2021,Quantity (in tonnes kilogram),Medicaments,AUSTRALIA,142
2021,Quantity (in tonnes kilogram),Medicaments,INDIA,17
