Year,Series,Principal Import,Main Country of Origin,Value
2017,Price per unit (vatu per kilogram/litre),Fish,"CHINA, PEOPLES REPUBLIC OF",73
2017,Price per unit (vatu per kilogram/litre),Fish,PAPUA NEW GUINEA,278
2017,Price per unit (vatu per kilogram/litre),Rice,VIET NAM,69
2017,Price per unit (vatu per kilogram/litre),Rice,SINGAPORE,83
2017,Price per unit (vatu per kilogram/litre),Rice,"CHINA, PEOPLES REPUBLIC OF",45
2017,Price per unit (vatu per kilogram/litre),Rice,UNITED STATES OF AMERICA,56
2017,Price per unit (vatu per kilogram/litre),Rice,AUSTRALIA,98
2018,Price per unit (vatu per kilogram/litre),,,94
2018,Price per unit (vatu per kilogram/litre),Alcholic drinks,,232
2018,Price per unit (vatu per kilogram/litre),Cigarettes and Tobacco,,3238
2018,Price per unit (vatu per kilogram/litre),Medicaments,,4066
2018,Price per unit (vatu per kilogram/litre),Petroleum Oils and Gasesous,,80
2018,Price per unit (vatu per kilogram/litre),Fish,,232
2018,Price per unit (vatu per kilogram/litre),Rice,,63
2018,Price per unit (vatu per kilogram/litre),Alcoholic drinks,AUSTRALIA,249
2018,Price per unit (vatu per kilogram/litre),Alcoholic drinks,FRANCE,177
2018,Price per unit (vatu per kilogram/litre),Alcoholic drinks,NEW ZEALAND,289
2018,Price per unit (vatu per kilogram/litre),Alcoholic drinks,NEW CALEDONIA,227
2018,Price per unit (vatu per kilogram/litre),Alcoholic drinks,NETHERLANDS,188
2018,Price per unit (vatu per kilogram/litre),Cigarettes and Tobacco,AUSTRALIA,3338
2018,Price per unit (vatu per kilogram/litre),Cigarettes and Tobacco,"CHINA, PEOPLES REPUBLIC OF",316
2018,Price per unit (vatu per kilogram/litre),Cigarettes and Tobacco,FIJI,8527
2018,Price per unit (vatu per kilogram/litre),Cigarettes and Tobacco,FINLAND,1435
2018,Price per unit (vatu per kilogram/litre),Cigarettes and Tobacco,HONG KONG,7756
2018,Price per unit (vatu per kilogram/litre),Medicaments,NEW ZEALAND,18568
2018,Price per unit (vatu per kilogram/litre),Medicaments,INDIA,9672
2018,Price per unit (vatu per kilogram/litre),Medicaments,AUSTRALIA,1689
2018,Price per unit (vatu per kilogram/litre),Medicaments,UNITED STATES OF AMERICA,11037
2018,Price per unit (vatu per kilogram/litre),Medicaments,FRENCH POLYNESIA,3759
2018,Price per unit (vatu per kilogram/litre),Petroleum Oils and Gasesous,SINGAPORE,77
2018,Price per unit (vatu per kilogram/litre),Petroleum Oils and Gasesous,AUSTRALIA,144
2018,Price per unit (vatu per kilogram/litre),Petroleum Oils and Gasesous,UNITED ARAB EMIRATES,310
2018,Price per unit (vatu per kilogram/litre),Petroleum Oils and Gasesous,NEW ZEALAND,106
2018,Price per unit (vatu per kilogram/litre),Petroleum Oils and Gasesous,MALAYSIA,243
2018,Price per unit (vatu per kilogram/litre),Fish,THAILAND,239
2018,Price per unit (vatu per kilogram/litre),Fish,SOLOMON ISLANDS,364
2018,Price per unit (vatu per kilogram/litre),Fish,FIJI,262
2018,Price per unit (vatu per kilogram/litre),Fish,PAPUA NEW GUINEA,247
2018,Price per unit (vatu per kilogram/litre),Fish,"CHINA, PEOPLES REPUBLIC OF",71
2018,Price per unit (vatu per kilogram/litre),Rice,VIET NAM,55
2018,Price per unit (vatu per kilogram/litre),Rice,SINGAPORE,77
2018,Price per unit (vatu per kilogram/litre),Rice,"CHINA, PEOPLES REPUBLIC OF",53
2018,Price per unit (vatu per kilogram/litre),Rice,AUSTRALIA,72
2018,Price per unit (vatu per kilogram/litre),Rice,NEW ZEALAND,71
2019,Price per unit (vatu per kilogram/litre),,,91
2019,Price per unit (vatu per kilogram/litre),Alcholic drinks,,257
2019,Price per unit (vatu per kilogram/litre),Cigarettes and Tobacco,,4326
2019,Price per unit (vatu per kilogram/litre),Medicaments,,2416
2019,Price per unit (vatu per kilogram/litre),Petroleum Oils and Gasesous,,79
2019,Price per unit (vatu per kilogram/litre),Fish,,252
2019,Price per unit (vatu per kilogram/litre),Rice,,51
2019,Price per unit (vatu per kilogram/litre),Alcoholic drinks,AUSTRALIA,25
2019,Price per unit (vatu per kilogram/litre),Alcoholic drinks,FRANCE,30
2019,Price per unit (vatu per kilogram/litre),Alcoholic drinks,NEW ZEALAND,29
2019,Price per unit (vatu per kilogram/litre),Alcoholic drinks,NETHERLANDS,17
2019,Price per unit (vatu per kilogram/litre),Alcoholic drinks,NEW CALEDONIA,19
2019,Price per unit (vatu per kilogram/litre),Cigarettes and Tobacco,AUSTRALIA,3686
2019,Price per unit (vatu per kilogram/litre),Cigarettes and Tobacco,INDONESIA,7581
2019,Price per unit (vatu per kilogram/litre),Cigarettes and Tobacco,FIJI,8318
2019,Price per unit (vatu per kilogram/litre),Cigarettes and Tobacco,SWITZERLAND,57385
2019,Price per unit (vatu per kilogram/litre),Cigarettes and Tobacco,"CHINA, PEOPLES REPUBLIC OF",3316
2019,Price per unit (vatu per kilogram/litre),Medicaments,AUSTRALIA,1902
2019,Price per unit (vatu per kilogram/litre),Medicaments,NEW ZEALAND,12068
2019,Price per unit (vatu per kilogram/litre),Medicaments,INDIA,8105
2019,Price per unit (vatu per kilogram/litre),Medicaments,UNITED STATES OF AMERICA,6153
2019,Price per unit (vatu per kilogram/litre),Medicaments,FRENCH POLYNESIA,4338
2019,Price per unit (vatu per kilogram/litre),Petroleum Oils and Gasesous,SINGAPORE,77
2019,Price per unit (vatu per kilogram/litre),Petroleum Oils and Gasesous,AUSTRALIA,135
2019,Price per unit (vatu per kilogram/litre),Petroleum Oils and Gasesous,UNITED ARAB EMIRATES,320
2019,Price per unit (vatu per kilogram/litre),Petroleum Oils and Gasesous,NEW ZEALAND,117
2019,Price per unit (vatu per kilogram/litre),Petroleum Oils and Gasesous,MALAYSIA,270
2019,Price per unit (vatu per kilogram/litre),Fish,FIJI,268
2019,Price per unit (vatu per kilogram/litre),Fish,SOLOMON ISLANDS,416
2019,Price per unit (vatu per kilogram/litre),Fish,THAILAND,273
2019,Price per unit (vatu per kilogram/litre),Fish,PAPUA NEW GUINEA,289
2019,Price per unit (vatu per kilogram/litre),Fish,"CHINA, PEOPLES REPUBLIC OF",78
2019,Price per unit (vatu per kilogram/litre),Rice,SINGAPORE,45
2019,Price per unit (vatu per kilogram/litre),Rice,VIET NAM,51
2019,Price per unit (vatu per kilogram/litre),Rice,"CHINA, PEOPLES REPUBLIC OF",61
2019,Price per unit (vatu per kilogram/litre),Rice,"TAIWAN, PROVINCE OF CHINA",45
2019,Price per unit (vatu per kilogram/litre),Rice,HONG KONG,54
2020,Price per unit (vatu per kilogram/litre),,,85
2020,Price per unit (vatu per kilogram/litre),Alcholic drinks,,225
2020,Price per unit (vatu per kilogram/litre),Cigarettes and Tobacco,,4212
2020,Price per unit (vatu per kilogram/litre),Medicaments,,2651
2020,Price per unit (vatu per kilogram/litre),Petroleum Oils and Gasesous,,68
2020,Price per unit (vatu per kilogram/litre),Fish,,236
2020,Price per unit (vatu per kilogram/litre),Rice,,52
2020,Price per unit (vatu per kilogram/litre),Alcoholic drinks,AUSTRALIA,209
2020,Price per unit (vatu per kilogram/litre),Alcoholic drinks,FRANCE,264
2020,Price per unit (vatu per kilogram/litre),Alcoholic drinks,NEW ZEALAND,295
2020,Price per unit (vatu per kilogram/litre),Alcoholic drinks,SOLOMON ISLANDS,163
2020,Price per unit (vatu per kilogram/litre),Alcoholic drinks,NEW CALEDONIA,156
2020,Price per unit (vatu per kilogram/litre),Cigarettes and Tobacco,AUSTRALIA,3622
2020,Price per unit (vatu per kilogram/litre),Cigarettes and Tobacco,INDONESIA,7522
2020,Price per unit (vatu per kilogram/litre),Cigarettes and Tobacco,FIJI,13542
2020,Price per unit (vatu per kilogram/litre),Cigarettes and Tobacco,HONG KONG,169251
2020,Price per unit (vatu per kilogram/litre),Cigarettes and Tobacco,SWITZERLAND,29789
2020,Price per unit (vatu per kilogram/litre),Medicaments,NEW ZEALAND,15828
2020,Price per unit (vatu per kilogram/litre),Medicaments,AUSTRALIA,991
2020,Price per unit (vatu per kilogram/litre),Medicaments,INDIA,17169
2020,Price per unit (vatu per kilogram/litre),Medicaments,UNITED STATES OF AMERICA,31435
2020,Price per unit (vatu per kilogram/litre),Medicaments,TURKEY,12465
2020,Price per unit (vatu per kilogram/litre),Rice,"CHINA, PEOPLES REPUBLIC OF",66
2020,Price per unit (vatu per kilogram/litre),Rice,SINGAPORE,32
2020,Price per unit (vatu per kilogram/litre),Rice,"TAIWAN, PROVINCE OF CHINA",54
2020,Price per unit (vatu per kilogram/litre),Rice,VIET NAM,52
2020,Price per unit (vatu per kilogram/litre),Rice,HONG KONG,51
2020,Price per unit (vatu per kilogram/litre),Petroleum Oils and Gasesous,SINGAPORE,64
2020,Price per unit (vatu per kilogram/litre),Petroleum Oils and Gasesous,AUSTRALIA,132
2020,Price per unit (vatu per kilogram/litre),Petroleum Oils and Gasesous,UNITED ARAB EMIRATES,321
2020,Price per unit (vatu per kilogram/litre),Petroleum Oils and Gasesous,NEW ZEALAND,103
2020,Price per unit (vatu per kilogram/litre),Petroleum Oils and Gasesous,MALAYSIA,251
2020,Price per unit (vatu per kilogram/litre),Fish,FIJI,286
2020,Price per unit (vatu per kilogram/litre),Fish,THAILAND,274
2020,Price per unit (vatu per kilogram/litre),Fish,SOLOMON ISLANDS,429
2020,Price per unit (vatu per kilogram/litre),Fish,PAPUA NEW GUINEA,234
2020,Price per unit (vatu per kilogram/litre),Fish,"CHINA, PEOPLES REPUBLIC OF",92
2021,Price per unit (vatu per kilogram/litre),,,85
2021,Price per unit (vatu per kilogram/litre),Alcoholic drinks,,207
2021,Price per unit (vatu per kilogram/litre),Cigarettes and Tobacco,,4382
2021,Price per unit (vatu per kilogram/litre),Medicaments,,2587
2021,Price per unit (vatu per kilogram/litre),Petroleum Oils and Gasesous,,68
2021,Price per unit (vatu per kilogram/litre),Rice,,54
2021,Price per unit (vatu per kilogram/litre),Fish,,241
2021,Price per unit (vatu per kilogram/litre),Alcoholic drinks,AUSTRALIA,179
2021,Price per unit (vatu per kilogram/litre),Alcoholic drinks,FRANCE,260
2021,Price per unit (vatu per kilogram/litre),Alcoholic drinks,NEW ZEALAND,247
2021,Price per unit (vatu per kilogram/litre),Alcoholic drinks,SOLOMON ISLANDS,235
2021,Price per unit (vatu per kilogram/litre),Alcoholic drinks,UNITED KINGDOM,875
2021,Price per unit (vatu per kilogram/litre),Cigarettes and Tobacco,AUSTRALIA,3543
2021,Price per unit (vatu per kilogram/litre),Cigarettes and Tobacco,INDONESIA,7718
2021,Price per unit (vatu per kilogram/litre),Cigarettes and Tobacco,FIJI,9015
2021,Price per unit (vatu per kilogram/litre),Cigarettes and Tobacco,"CHINA, PEOPLES REPUBLIC OF",4288
2021,Price per unit (vatu per kilogram/litre),Cigarettes and Tobacco,COSTA RICA,11171
2021,Price per unit (vatu per kilogram/litre),Medicaments,NEW ZEALAND,19206
2021,Price per unit (vatu per kilogram/litre),Medicaments,AUSTRALIA,1072
2021,Price per unit (vatu per kilogram/litre),Medicaments,INDIA,6811
2021,Price per unit (vatu per kilogram/litre),Medicaments,NETHERLANDS,996
2021,Price per unit (vatu per kilogram/litre),Medicaments,UNITED STATES OF AMERICA,5365
2021,Price per unit (vatu per kilogram/litre),Petroleum Oils and Gasesous,SINGAPORE,65
2021,Price per unit (vatu per kilogram/litre),Petroleum Oils and Gasesous,AUSTRALIA,151
2021,Price per unit (vatu per kilogram/litre),Petroleum Oils and Gasesous,NEW ZEALAND,100
2021,Price per unit (vatu per kilogram/litre),Petroleum Oils and Gasesous,UNITED ARAB EMIRATES,309
2021,Price per unit (vatu per kilogram/litre),Petroleum Oils and Gasesous,MALAYSIA,258
2021,Price per unit (vatu per kilogram/litre),Rice,"CHINA, PEOPLES REPUBLIC OF",65
2021,Price per unit (vatu per kilogram/litre),Rice,"TAIWAN, PROVINCE OF CHINA",56
2021,Price per unit (vatu per kilogram/litre),Rice,VIET NAM,36
2021,Price per unit (vatu per kilogram/litre),Rice,FIJI,95
2021,Price per unit (vatu per kilogram/litre),Rice,AUSTRALIA,71
2021,Price per unit (vatu per kilogram/litre),Fish,FIJI,317
2021,Price per unit (vatu per kilogram/litre),Fish,PAPUA NEW GUINEA,284
2021,Price per unit (vatu per kilogram/litre),Fish,SOLOMON ISLANDS,453
2021,Price per unit (vatu per kilogram/litre),Fish,THAILAND,231
2021,Price per unit (vatu per kilogram/litre),Fish,"CHINA, PEOPLES REPUBLIC OF",96
