Value,Disaggregation combinations using this value,Number of indicators
15 - 19,18,1
15-30,12,1
20 - 24,18,1
25 - 29,18,1
30 - 34,18,1
31-64,12,1
35 - 39,18,1
40 - 44,18,1
45 - 49,18,1
50 - 54,18,1
55 - 59,18,1
60 - 64,18,1
65 - 69,18,1
65+,12,1
70+,18,1
