Value,Disaggregation combinations using this value,Number of indicators
Australia,3,1
China,3,1
Fiji,3,1
France,3,1
Hong Kong,3,1
India,3,1
Indonesia,3,1
Japan,3,1
Malaysia,3,1
Netherlands,3,1
New Caledonia,3,1
New Zealand,3,1
Papua New Guinea,3,1
Philippines,3,1
Republic of Korea,3,1
Singapore,3,1
Solomon Islands,3,1
Thailand,3,1
United Kingdom,3,1
USA,3,1
