Value,Disaggregation combinations using this value,Number of indicators
Luganville,31,4
Malampa,32,5
malampa,12,1
Penama,32,5
penama,12,1
Port Vila,29,3
PortVila,2,1
Rural,13,8
rural,12,1
Sanma,32,5
sanma,12,1
Shefa,32,5
shefa,12,1
Tafea,32,5
tafea,12,1
Torba,32,5
torba,12,1
Urban,13,8
urban,12,1
vanuatu,11,1
