Value,Disaggregation combinations using this value,Number of indicators
Beef,18,1
Ccoconutoil,15,1
Cocoa,30,1
CoconutOil,3,1
Coconutoil,33,1
Copra,21,1
Kava,18,1
Wood,27,1
