Indicator,Disaggregation combinations using this value
#ENV2-1-1,1
#ENV3-1-2,1
#ENV3-1-3,1
#ENV3-2-1,1
#ENV3-3-1,1
#ENV3-3-3,1
#ENV3-4-1,1
#ENV3-4-2,1
